symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
RAKCERAMIC,2025-05-13,20.7,20.1,20.8,19.9,80804,1.637,153,-0.5,8816155000.0,2025-05-13 16:33:24.175,0,20.1,20.1,20.1
RAKCERAMIC,2025-05-14,20.1,19.2,20.1,19.2,108459,2.11,221,-0.9,8602171000.0,2025-05-14 11:51:38.807,0,20.549999999999997,19.65,18.75
RAKCERAMIC,2025-05-15,19.3,19.1,19.5,18.9,50625,0.969,112,,8216999000.0,2025-05-15 09:17:58.569,0,20.366049170882135,19.46666666666667,18.5672841624512
RAKCERAMIC,2025-05-17,19.0,18.6,19.0,18.5,80072,1.499,204,-0.3,8174.202,2025-05-17 09:52:27.196,0,20.331665382639194,19.25,18.168334617360806
RAKCERAMIC,2025-05-18,19.2,18.6,19.2,18.5,36825,0.693,112,,7960.218,2025-05-18 11:04:16.750,0,20.218362417419677,19.12,18.021637582580325
RAKCERAMIC,2025-05-19,18.6,18.8,18.9,18.5,44810,0.838,70,0.3,7960.218,2025-05-19 11:02:51.003,0,20.09730832224935,19.066666666666666,18.036025011083982
RAKCERAMIC,2025-05-20,19.0,18.6,19.1,18.4,30499,0.567,79,,8045.812,2025-05-20 11:03:26.101,0,20.00853500541273,19.0,17.99146499458727
RAKCERAMIC,2025-05-21,18.6,18.4,18.9,18.3,86870,1.601,160,,7960.218,2025-05-21 11:39:42.994,0,19.948474474522936,18.925,17.901525525477066
RAKCERAMIC,2025-05-22,18.8,18.5,18.8,18.4,85092,1.575,117,0.1,7874.624,2025-05-22 11:03:52.465,0,19.87901158453945,18.87777777777778,17.87654397101611
RAKCERAMIC,2025-05-24,18.6,18.5,18.7,18.3,77077,1.424,90,,7917.421,2025-05-24 11:40:20.316,0,19.816524449258697,18.84,17.863475550741303
RAKCERAMIC,2025-05-25,18.4,18.6,18.8,18.3,27687,0.514,68,0.3,7917.421,2025-05-25 11:38:55.724,0,19.75943120767598,18.818181818181817,17.876932428687653
RAKCERAMIC,2025-05-26,18.8,18.5,18.8,18.4,26790,0.497,84,-0.1,7960.218,2025-05-26 11:03:44.729,0,19.709847234722623,18.791666666666668,17.873486098610712
RAKCERAMIC,2025-05-27,18.4,18.2,18.5,18.1,59292,1.08,145,-0.3,7917.421,2025-05-27 11:02:24.534,0,19.682974606008514,18.74615384615385,17.809333086299183
RAKCERAMIC,2025-05-28,18.1,18.0,18.6,17.8,55399,0.996,94,-0.2,7789.03,2025-05-28 11:38:19.190,0,19.67400599049673,18.692857142857143,17.711708295217555
RAKCERAMIC,2025-05-29,18.1,18.0,18.4,18.0,31084,0.561,67,,7703.437,2025-05-29 11:37:49.426,0,19.655604501994272,18.646666666666665,17.637728831339057
RAKCERAMIC,2025-06-01,18.1,18.4,18.5,18.1,5463,0.1,21,0.4,7703.437,2025-06-01 11:04:22.027,0,19.61542160597124,18.63125,17.647078394028764
RAKCERAMIC,2025-06-02,18.3,18.4,18.6,18.3,32775,0.605,63,0.2,7874.624,2025-06-02 11:03:09.121,0,19.578615428548808,18.61764705882353,17.65667868909825
RAKCERAMIC,2025-06-03,18.5,18.7,18.9,18.4,27048,0.504,68,0.3,7874.624,2025-06-03 11:02:55.685,0,19.55687737088058,18.62222222222222,17.68756707356386
RAKCERAMIC,2025-06-04,18.2,18.7,18.9,18.2,10957,0.205,40,0.1,8003.015,2025-06-04 11:03:29.863,0,19.148954244832687,18.54444444444444,17.939934644056194
