symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
RANFOUNDRY,2025-05-13,133.8,132.3,133.8,132.1,4133,0.549,50,-2.8,1349000000.0,2025-05-13 16:28:15.697,0,132.3,132.3,132.3
RANFOUNDRY,2025-05-14,135.5,133.9,135.7,133.5,505,0.068,11,1.2,1323000000.0,2025-05-14 11:46:21.856,0,134.7,133.10000000000002,131.50000000000006
RANFOUNDRY,2025-05-15,133.5,131.7,133.5,131.3,3569,0.472,44,-2.2,1339000000.0,2025-05-15 09:12:24.248,0,134.49045177029123,132.63333333333333,130.77621489637542
RANFOUNDRY,2025-05-17,128.3,131.3,133.0,128.1,3693,0.484,31,1.3,1317.0,2025-05-17 09:17:29.617,0,134.27989898732235,132.3,130.32010101267767
RANFOUNDRY,2025-05-18,131.8,131.7,132.1,131.4,1222,0.161,19,0.7,1313.0,2025-05-18 10:57:25.807,0,134.01477519058878,132.18,130.34522480941123
RANFOUNDRY,2025-05-19,132.0,130.2,132.0,130.0,2404,0.314,37,0.3,1317.0,2025-05-19 10:57:13.116,0,134.08233808670045,131.85,129.61766191329954
RANFOUNDRY,2025-05-20,130.6,130.6,134.0,130.4,253,0.033,10,0.5,1302.0,2025-05-20 10:56:58.304,0,133.9156956441892,131.67142857142858,129.42716149866794
RANFOUNDRY,2025-05-21,130.9,133.5,134.0,130.9,381,0.051,14,0.7,1306.0,2025-05-21 11:03:48.503,0,134.32280828791716,131.9,129.47719171208286
RANFOUNDRY,2025-05-22,134.5,133.2,134.5,132.4,266,0.035,6,-1.1,1335.0,2025-05-22 10:57:08.173,0,134.4704353963578,132.04444444444445,129.6184534925311
RANFOUNDRY,2025-05-24,135.3,133.6,135.4,131.2,878,0.117,42,-1.1,1332.0,2025-05-24 11:03:19.064,0,134.68354585220405,132.2,129.71645414779593
RANFOUNDRY,2025-05-25,133.5,130.1,133.5,130.0,1049,0.137,25,-3.6,1336.0,2025-05-25 11:03:51.378,0,134.66712100051993,132.0090909090909,129.35106081766187
RANFOUNDRY,2025-05-26,132.2,130.3,132.2,130.2,666,0.087,27,0.2,1301.0,2025-05-26 10:57:47.260,0,134.58123640953366,131.86666666666667,129.1520969237997
RANFOUNDRY,2025-05-27,134.7,130.6,134.7,130.0,1802,0.236,42,-0.3,1303.0,2025-05-27 10:56:54.704,0,134.4632522018274,131.76923076923077,129.07520933663415
RANFOUNDRY,2025-05-28,129.1,129.1,130.0,129.0,1684,0.218,27,-1.5,1306.0,2025-05-28 11:03:08.872,0,134.516188121868,131.57857142857142,128.64095473527485
RANFOUNDRY,2025-05-29,131.9,131.5,131.9,130.0,89,0.012,5,0.9,1291.0,2025-05-29 11:03:18.128,0,134.41161137154984,131.57333333333332,128.7350552951168
RANFOUNDRY,2025-06-01,130.1,131.6,132.9,130.0,297,0.039,10,-1.2,1315.0,2025-06-01 10:57:31.192,0,134.32318121673225,131.575,128.82681878326773
RANFOUNDRY,2025-06-02,134.0,134.0,134.0,134.0,279,0.037,5,2.4,1316.0,2025-06-02 10:57:07.205,0,134.61773654557078,131.71764705882353,128.81755757207628
RANFOUNDRY,2025-06-03,131.0,131.4,132.6,131.0,384,0.05,4,-1.4,1340.0,2025-06-03 10:57:03.668,0,134.52213473180223,131.7,128.87786526819775
RANFOUNDRY,2025-06-04,134.0,134.0,134.5,133.8,1232,0.165,27,2.6,1314.0,2025-06-04 10:57:36.519,0,134.79849520760646,131.79444444444442,128.79039368128238
