symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
REGENTTEX,2025-05-13,3.5,3.6,3.7,3.5,3463,0.012,14,-0.2,475865000.0,2025-05-13 16:38:17.110,0,3.6,3.6,3.6
REGENTTEX,2025-05-14,3.6,3.4,3.6,3.3,46348,0.16,36,-0.2,463004000.0,2025-05-14 11:56:56.878,0,3.7,3.5,3.3
REGENTTEX,2025-05-15,3.3,3.2,3.3,3.1,33021,0.105,31,-0.1,437281000.0,2025-05-15 09:23:23.064,0,3.7265986323710902,3.4,3.0734013676289096
REGENTTEX,2025-05-17,3.1,3.2,3.4,3.1,10002,0.032,12,0.2,411.559,2025-05-17 10:24:19.315,0,3.68166247903554,3.35,3.0183375209644603
REGENTTEX,2025-05-18,3.4,3.2,3.4,3.2,31149,0.1,28,,411.559,2025-05-18 11:10:09.806,0,3.64,3.3200000000000003,3.0000000000000004
REGENTTEX,2025-05-19,3.2,3.4,3.5,3.2,30944,0.103,30,0.3,411.559,2025-05-19 11:08:16.078,0,3.6314757303333054,3.3333333333333335,3.0351909363333616
REGENTTEX,2025-05-20,3.3,3.2,3.4,3.2,59568,0.192,34,-0.1,437.281,2025-05-20 11:09:16.636,0,3.6056582579195875,3.314285714285714,3.0229131706518406
REGENTTEX,2025-05-21,3.2,3.3,3.4,3.2,2670,0.009,15,0.2,411.559,2025-05-21 12:11:33.461,0,3.5852178028658925,3.3125,3.0397821971341075
REGENTTEX,2025-05-22,3.5,3.3,3.5,3.2,41015,0.136,29,,424.42,2025-05-22 11:11:47.615,0,3.568351931173116,3.3111111111111113,3.0538702910491065
REGENTTEX,2025-05-24,3.3,3.3,3.3,3.3,9300,0.031,5,,424.42,2025-05-24 12:12:28.565,0,3.554131112314674,3.31,3.065868887685326
REGENTTEX,2025-05-25,3.3,3.3,3.3,3.2,9976,0.033,10,-0.1,424.42,2025-05-25 12:10:52.085,0,3.5419317904521033,3.309090909090909,3.076250027729715
REGENTTEX,2025-05-26,3.3,3.3,3.3,3.3,23166,0.076,9,,424.42,2025-05-26 11:09:03.951,0,3.5313181360043275,3.3083333333333336,3.0853485306623396
REGENTTEX,2025-05-27,3.2,3.2,3.3,3.2,24220,0.078,25,-0.1,424.42,2025-05-27 11:07:42.909,0,3.521880078490091,3.3,3.0781199215099084
REGENTTEX,2025-05-28,3.2,3.2,3.2,3.1,19046,0.061,26,-0.1,411.559,2025-05-28 12:10:18.102,0,3.512782918833438,3.292857142857143,3.0729313668808484
REGENTTEX,2025-05-29,3.2,3.2,3.3,3.0,11692,0.037,17,-0.1,411.559,2025-05-29 12:10:05.583,0,3.5041267524040007,3.2866666666666666,3.0692065809293325
REGENTTEX,2025-06-01,3.2,3.2,3.2,3.1,14640,0.047,20,,411.559,2025-06-01 11:10:13.478,0,3.4959445504664703,3.28125,3.0665554495335297
REGENTTEX,2025-06-02,3.1,3.2,3.3,3.1,17818,0.057,11,,411.559,2025-06-02 11:08:26.924,0,3.488235294117647,3.2764705882352945,3.064705882352942
REGENTTEX,2025-06-03,3.2,3.1,3.2,3.1,6000,0.019,3,,411.559,2025-06-03 11:09:01.692,0,3.487774986023693,3.2666666666666666,3.0455583473096404
REGENTTEX,2025-06-04,3.2,3.2,3.3,3.1,3631,0.012,5,,398.698,2025-06-04 11:09:30.144,0,3.3967923244533553,3.2444444444444445,3.0920965644355336
