symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
RELIANCE1,2025-05-13,20.0,19.4,20.2,19.1,549649,10.775,412,-0.6,1210000000.0,2025-05-13 16:33:34.315,0,19.4,19.4,19.4
RELIANCE1,2025-05-14,19.5,19.5,19.7,19.3,281319,5.495,376,0.1,1173700000.0,2025-05-14 11:51:30.105,0,19.55,19.45,19.349999999999998
RELIANCE1,2025-05-15,19.5,19.5,19.9,19.1,393921,7.667,381,,1179750000.0,2025-05-15 09:17:55.944,0,19.560947570824872,19.466666666666665,19.372385762508458
RELIANCE1,2025-05-17,19.2,19.4,19.7,19.2,396540,7.685,309,-0.1,1179.75,2025-05-17 09:51:21.946,0,19.55,19.45,19.349999999999998
RELIANCE1,2025-05-18,19.4,18.6,19.8,18.4,437921,8.379,372,-0.8,1173.7,2025-05-18 11:04:20.635,0,19.96585712797929,19.28,18.59414287202071
RELIANCE1,2025-05-19,19.0,19.2,19.5,18.8,803773,15.381,404,0.6,1125.3,2025-05-19 11:02:46.786,0,19.895598742137103,19.266666666666666,18.637734591196228
RELIANCE1,2025-05-20,19.3,19.1,19.6,18.8,743123,14.185,345,-0.1,1161.6,2025-05-20 11:03:24.673,0,19.83670313402361,19.24285714285714,18.64901115169067
RELIANCE1,2025-05-21,19.3,19.2,19.4,19.0,1524916,29.104,391,0.1,1155.55,2025-05-21 11:39:17.912,0,19.793714886532175,19.2375,18.681285113467826
RELIANCE1,2025-05-22,19.5,19.0,19.5,18.8,695495,13.27,330,-0.2,1161.6,2025-05-22 11:03:42.169,0,19.756348628728237,19.211111111111112,18.665873593493988
RELIANCE1,2025-05-24,19.0,17.6,19.1,17.1,968680,17.535,516,-1.4,1149.5,2025-05-24 11:41:58.115,0,20.14635760589326,19.05,17.95364239410674
RELIANCE1,2025-05-25,18.0,17.3,18.0,16.1,904988,15.403,641,0.1,1064.8,2025-05-25 11:40:35.759,0,20.341813624964363,18.89090909090909,17.44000455685382
RELIANCE1,2025-05-26,17.6,18.4,18.6,17.0,1248076,21.915,474,1.1,1046.65,2025-05-26 11:03:47.442,0,20.265391583037474,18.849999999999998,17.434608416962522
RELIANCE1,2025-05-27,18.3,18.3,18.6,18.0,664700,12.193,398,-0.1,1113.2,2025-05-27 11:02:23.330,0,20.198788252979362,18.807692307692307,17.41659636240525
RELIANCE1,2025-05-28,18.1,18.3,18.7,18.1,1461029,26.62,928,,1107.15,2025-05-28 11:37:32.753,0,20.137190674596244,18.771428571428572,17.4056664682609
RELIANCE1,2025-05-29,18.4,17.8,18.5,17.6,1342531,24.004,503,-0.5,1107.15,2025-05-29 11:38:58.634,0,20.112306102020636,18.706666666666667,17.3010272313127
RELIANCE1,2025-06-01,18.4,18.0,18.4,17.7,1013679,18.334,576,0.2,1076.9,2025-06-01 11:04:33.226,0,20.06584422006862,18.6625,17.259155779931383
RELIANCE1,2025-06-02,18.0,17.7,18.2,17.5,1143221,20.427,371,-0.3,1089.0,2025-06-02 11:03:24.477,0,20.040694229497564,18.605882352941176,17.171070476384788
RELIANCE1,2025-06-03,18.0,17.6,18.0,17.4,324435,5.72,338,0.1,1070.85,2025-06-03 11:03:18.841,0,20.01855938479404,18.549999999999997,17.081440615205953
RELIANCE1,2025-06-04,17.9,17.9,18.1,17.3,571018,10.062,338,0.3,1064.8,2025-06-04 11:04:03.380,0,19.90271061523587,18.46666666666667,17.03062271809747
