symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
RELIANCINS,2025-05-13,52.3,50.4,52.5,49.0,41374,2.105,168,-1.5,5457860000.0,2025-05-13 16:29:58.065,0,50.4,50.4,50.4
RELIANCINS,2025-05-14,51.0,50.6,51.0,50.4,11080,0.563,65,0.2,5300119000.0,2025-05-14 11:47:51.428,0,50.7,50.5,50.3
RELIANCINS,2025-05-17,51.4,49.2,51.4,49.0,18117,0.892,67,1.3,5173.925,2025-05-17 09:28:02.026,0,51.303149132732756,50.06666666666666,48.83018420060057
RELIANCINS,2025-05-18,51.3,49.9,51.3,49.6,21270,1.068,67,0.5,5173.925,2025-05-18 10:59:37.825,0,51.10550913924872,50.025,48.94449086075128
RELIANCINS,2025-05-19,50.3,49.7,50.5,49.0,12468,0.617,81,-0.7,5247.538,2025-05-19 10:59:11.518,0,50.96079968025575,49.96,48.959200319744255
RELIANCINS,2025-05-20,50.1,49.6,50.4,49.2,2150,0.107,24,0.2,5226.506,2025-05-20 10:58:53.766,0,50.852190457139045,49.9,48.94780954286095
RELIANCINS,2025-05-21,50.6,49.1,50.6,48.8,20635,1.016,102,-0.6,5215.99,2025-05-21 11:15:43.727,0,50.83003810757126,49.785714285714285,48.74139046385731
RELIANCINS,2025-05-22,49.9,49.5,50.2,49.0,4414,0.218,29,0.5,5163.409,2025-05-22 10:59:25.431,0,50.74498743710662,49.75,48.75501256289338
RELIANCINS,2025-05-24,49.9,49.1,49.9,48.8,8411,0.413,63,-0.4,5205.474,2025-05-24 11:14:51.220,0,50.70096572739746,49.67777777777778,48.654589828158095
RELIANCINS,2025-05-25,49.8,49.2,50.4,49.0,5238,0.261,31,-0.1,5163.409,2025-05-25 11:14:37.559,0,50.64212647431041,49.63,48.617873525689596
RELIANCINS,2025-05-26,49.0,49.1,49.9,48.9,10244,0.504,74,-0.1,5173.925,2025-05-26 10:59:30.536,0,50.59381236727824,49.58181818181818,48.56982399635812
RELIANCINS,2025-05-27,50.4,48.7,50.4,48.5,13805,0.681,110,0.3,5163.409,2025-05-27 10:58:24.203,0,50.59294796023494,49.50833333333333,48.42371870643173
RELIANCINS,2025-05-28,50.1,48.1,50.3,47.7,21636,1.047,87,-0.3,5121.345,2025-05-28 11:13:17.876,0,50.68422380028981,49.400000000000006,48.115776199710204
RELIANCINS,2025-05-29,49.8,48.0,49.8,47.8,12483,0.601,71,-0.1,5058.248,2025-05-29 11:14:18.329,0,50.73228089822793,49.300000000000004,47.86771910177208
RELIANCINS,2025-06-01,48.1,48.0,49.5,47.9,18712,0.898,85,,5047.732,2025-06-01 10:59:39.153,0,50.74149853673541,49.21333333333334,47.68516812993126
RELIANCINS,2025-06-02,48.5,48.1,48.8,48.0,18426,0.886,61,0.1,5047.732,2025-06-02 10:59:11.769,0,50.71850196459634,49.143750000000004,47.568998035403666
RELIANCINS,2025-06-03,48.3,47.8,48.3,47.8,13842,0.663,62,-0.1,5058.248,2025-06-03 10:59:10.049,0,50.71813892618926,49.06470588235294,47.411272838516616
RELIANCINS,2025-06-04,48.7,48.8,49.0,48.6,9485,0.462,51,1.1,5026.7,2025-06-04 10:59:36.486,0,50.66141759536958,49.05,47.43858240463042
