symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
RENWICKJA,2025-05-13,649.0,580.1,649.0,577.0,403,0.234,41,-4.3,1246400000.0,2025-05-13 16:27:17.818,0,580.1,580.1,580.1
RENWICKJA,2025-05-14,580.1,594.5,623.0,580.0,576,0.34,38,39.8,1160200000.0,2025-05-14 11:45:32.463,0,601.7,587.3,572.8999999999999
RENWICKJA,2025-05-15,628.9,591.6,628.9,588.0,356,0.213,42,23.1,1189000000.0,2025-05-15 09:11:17.697,0,601.1701961031623,588.7333333333333,576.2964705635044
RENWICKJA,2025-05-17,620.0,590.0,620.9,590.0,2270,1.345,50,-1.6,1183.2,2025-05-17 09:11:48.970,0,599.8763567279117,589.05,578.2236432720882
RENWICKJA,2025-05-18,591.0,580.9,614.9,580.2,1489,0.866,53,24.9,1180.0,2025-05-18 10:56:30.395,0,599.0938339888829,587.42,575.746166011117
RENWICKJA,2025-05-19,590.0,589.9,621.3,582.0,24,0.014,6,40.4,1161.8,2025-05-19 10:56:11.500,0,598.6491653504379,587.8333333333334,577.0175013162288
RENWICKJA,2025-05-20,632.7,601.7,632.7,586.1,17,0.01,6,-3.8,1179.8,2025-05-20 10:56:05.128,0,603.7588406460467,589.8142857142857,575.8697307825247
RENWICKJA,2025-05-21,619.7,600.0,619.7,590.0,11,0.007,3,-1.7,1203.4,2025-05-21 10:57:57.674,0,605.7685890263632,591.0875,576.4064109736368
RENWICKJA,2025-05-22,634.8,607.1,634.8,590.0,39,0.024,11,20.0,1200.0,2025-05-22 10:55:52.503,0,609.9804038388919,592.8666666666667,575.7529294944414
RENWICKJA,2025-05-25,600.0,599.2,600.0,590.0,146,0.087,19,-17.1,1214.2,2025-05-25 10:57:58.129,0,610.1742915891501,593.5,576.8257084108499
RENWICKJA,2025-05-26,623.1,623.0,623.1,622.9,81,0.05,14,23.8,1198.4,2025-05-26 10:56:45.531,0,619.4292333940431,596.1818181818181,572.9344029695932
RENWICKJA,2025-05-27,669.5,656.0,669.5,609.0,47,0.031,6,15.5,1246.0,2025-05-27 10:55:53.485,0,641.0257796634318,601.1666666666666,561.3075536699015
RENWICKJA,2025-05-28,611.0,670.2,699.0,608.0,1028,0.668,104,15.5,1312.0,2025-05-28 10:57:30.676,0,659.5813574185632,606.4769230769231,553.3724887352829
RENWICKJA,2025-05-29,650.0,650.0,650.0,650.0,48,0.031,1,-20.2,1340.4,2025-05-29 10:57:40.709,0,665.4534589865629,609.5857142857143,553.7179695848657
RENWICKJA,2025-06-01,677.9,675.5,679.0,627.1,340,0.229,36,28.0,1300.0,2025-06-01 10:56:19.248,0,677.181822758525,613.98,550.7781772414751
RENWICKJA,2025-06-02,625.9,641.2,681.0,625.9,93,0.06,13,-25.5,1351.0,2025-06-02 10:56:03.705,0,678.2789423995606,615.68125,553.0835576004393
RENWICKJA,2025-06-03,676.0,635.6,676.0,630.0,107,0.068,7,-6.2,1282.4,2025-06-03 10:56:04.690,0,678.3007714697435,616.8529411764706,555.4051108831977
RENWICKJA,2025-06-04,630.1,630.0,630.1,630.0,97,0.061,10,-5.6,1271.2,2025-06-04 10:56:33.881,0,677.6028579343608,617.5833333333334,557.5638087323059
