symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
REPUBLIC,2025-05-13,27.8,27.7,28.8,27.5,14316,0.398,34,-0.3,1458778000.0,2025-05-13 16:31:49.561,0,27.7,27.7,27.7
REPUBLIC,2025-05-14,27.2,27.1,28.1,26.8,21227,0.582,56,-0.4,1443148000.0,2025-05-14 11:50:01.362,0,27.999999999999993,27.4,26.800000000000004
REPUBLIC,2025-05-15,27.5,26.0,27.5,25.2,52030,1.371,114,-0.7,1411888000.0,2025-05-15 09:16:11.485,0,28.341247472129524,26.933333333333334,25.525419194537143
REPUBLIC,2025-05-17,27.0,27.0,27.3,25.6,53987,1.424,77,1.0,1354.579,2025-05-17 09:40:27.405,0,28.17065556157337,26.95,25.72934443842663
REPUBLIC,2025-05-18,27.0,27.2,27.9,27.0,42407,1.157,110,0.3,1406.678,2025-05-18 11:02:04.255,0,28.109954954040926,27.0,25.890045045959074
REPUBLIC,2025-05-19,27.3,27.3,27.5,27.2,75432,2.054,139,,1417.098,2025-05-19 11:00:55.571,0,28.087625494418226,27.05,26.012374505581775
REPUBLIC,2025-05-20,27.2,27.0,27.8,26.8,26159,0.708,73,-0.3,1422.308,2025-05-20 11:01:09.047,0,28.004148790929186,27.042857142857144,26.081565494785103
REPUBLIC,2025-05-21,26.8,27.0,27.7,26.8,13433,0.364,51,0.2,1406.678,2025-05-21 11:27:37.437,0,27.93715271077233,27.0375,26.137847289227672
REPUBLIC,2025-05-22,26.8,26.8,27.4,26.7,30212,0.811,58,-0.2,1406.678,2025-05-22 11:01:35.123,0,27.872347661114492,27.01111111111111,26.149874561107726
REPUBLIC,2025-05-24,27.3,26.7,27.5,26.6,24401,0.655,87,0.2,1396.258,2025-05-24 11:26:57.344,0,27.81809307359028,26.98,26.14190692640972
REPUBLIC,2025-05-26,25.1,25.0,26.3,24.9,38639,0.969,88,-1.7,1460.601,2025-05-26 11:01:55.387,0,28.190879381738565,26.8,25.409120618261436
REPUBLIC,2025-05-27,25.0,24.5,26.0,24.4,33596,0.838,56,-0.5,1367.604,2025-05-27 11:00:49.376,0,28.44945316165039,26.608333333333334,24.76721350501628
REPUBLIC,2025-05-28,24.1,24.0,25.5,24.0,21650,0.521,65,-0.3,1340.252,2025-05-28 11:28:33.472,0,28.657426019745344,26.407692307692308,24.157958595639272
REPUBLIC,2025-05-29,23.6,24.0,24.8,23.1,32504,0.767,54,0.4,1312.9,2025-05-29 11:28:25.764,0,28.733264105445784,26.235714285714288,23.73816446598279
REPUBLIC,2025-06-01,24.0,24.3,25.2,24.0,11395,0.279,36,0.5,1312.9,2025-06-01 11:02:29.721,0,28.705606621511507,26.10666666666667,23.50772671182183
REPUBLIC,2025-06-02,23.5,24.0,25.1,23.5,17304,0.418,49,-0.1,1329.311,2025-06-02 11:01:26.858,0,28.690234796477096,25.975,23.259765203522907
REPUBLIC,2025-06-03,23.5,24.1,24.8,23.5,7842,0.189,34,,1312.9,2025-06-03 11:01:29.999,0,28.642721404666403,25.86470588235294,23.086690360039476
REPUBLIC,2025-06-04,23.9,24.4,24.9,23.9,8369,0.203,36,0.3,1318.37,2025-06-04 11:01:53.081,0,28.56521918449418,25.783333333333335,23.00144748217249
