symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ROBI,2025-05-13,25.1,24.9,25.1,24.8,819408,20.428,568,,130424529000.0,2025-05-13 16:32:17.901,0,24.9,24.9,24.9
ROBI,2025-05-14,25.0,24.9,25.0,24.5,1305133,32.275,730,,130424529000.0,2025-05-14 11:50:22.112,0,24.9,24.9,24.9
ROBI,2025-05-15,24.9,24.6,24.9,24.5,704095,17.311,592,-0.3,130424529000.0,2025-05-15 09:16:28.589,0,25.08284271247462,24.8,24.517157287525382
ROBI,2025-05-17,24.7,24.4,24.7,24.0,1117417,27.107,794,-0.2,128853.149,2025-05-17 09:44:01.230,0,25.124264068711927,24.7,24.27573593128807
ROBI,2025-05-18,24.4,24.1,24.6,24.0,544277,13.197,612,-0.3,127805.563,2025-05-18 11:02:49.517,0,25.191882341631135,24.580000000000002,23.968117658368868
ROBI,2025-05-19,24.0,24.0,24.2,23.9,549275,13.198,516,-0.1,126234.183,2025-05-19 11:01:28.860,0,25.189654003347236,24.483333333333334,23.777012663319432
ROBI,2025-05-20,24.2,24.1,24.2,24.0,392208,9.443,437,0.1,125710.389,2025-05-20 11:01:40.827,0,25.135389535820167,24.428571428571427,23.721753321322687
ROBI,2025-05-21,24.2,24.1,24.3,24.0,630865,15.217,539,,126234.183,2025-05-21 11:30:51.141,0,25.083470545353748,24.3875,23.69152945464625
ROBI,2025-05-22,24.3,24.0,24.3,23.9,599917,14.422,512,-0.1,126234.183,2025-05-22 11:02:15.554,0,25.044356255467715,24.344444444444445,23.644532633421175
ROBI,2025-05-24,24.0,23.8,24.1,23.7,410216,9.789,505,-0.2,125710.389,2025-05-24 11:31:23.993,0,25.029999999999998,24.29,23.55
ROBI,2025-05-25,23.8,23.8,24.1,23.7,535703,12.781,436,,124662.803,2025-05-25 11:30:13.425,0,25.005184815119133,24.245454545454546,23.48572427578996
ROBI,2025-05-26,23.8,23.5,24.0,23.4,1056105,24.981,807,-0.3,124662.803,2025-05-26 11:02:17.812,0,25.019329080265628,24.183333333333334,23.34733758640104
ROBI,2025-05-27,23.6,23.1,23.6,23.0,658712,15.302,901,-0.4,123091.423,2025-05-27 11:01:14.269,0,25.089172148041754,24.1,23.11082785195825
ROBI,2025-05-28,23.1,22.9,23.3,22.6,1002052,22.96,806,-0.2,120996.25,2025-05-28 11:30:18.461,0,25.1503368772612,24.014285714285712,22.878234551310225
ROBI,2025-05-29,22.9,23.5,23.7,22.7,908063,21.159,778,0.6,119948.663,2025-05-29 11:29:18.021,0,25.10712022428843,23.98,22.85287977571157
ROBI,2025-06-01,23.5,23.5,23.9,23.4,768286,18.127,631,,123091.423,2025-06-01 11:02:50.001,0,25.06579568022107,23.95,22.83420431977893
ROBI,2025-06-02,23.6,23.8,23.9,23.5,757948,17.96,480,0.3,123091.423,2025-06-02 11:01:38.288,0,25.025956358327814,23.941176470588236,22.856396582848657
ROBI,2025-06-03,23.9,23.8,24.0,23.6,587953,13.989,448,,124662.803,2025-06-03 11:01:32.453,0,24.989531967850326,23.933333333333334,22.87713469881634
ROBI,2025-06-04,23.9,24.0,24.1,23.7,533258,12.767,440,0.2,124662.803,2025-06-04 11:01:55.801,0,24.831430843555196,23.883333333333336,22.935235823111476
