symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
RUPALIBANK,2025-05-13,19.5,19.2,19.8,19.2,120060,2.325,133,-0.1,9417089000.0,2025-05-13 16:33:43.315,0,19.2,19.2,19.2
RUPALIBANK,2025-05-14,19.1,18.8,19.3,18.8,101245,1.93,226,-0.3,9368296000.0,2025-05-14 11:51:43.440,0,19.4,19.0,18.6
RUPALIBANK,2025-05-15,19.1,18.0,19.2,17.7,230629,4.228,348,-0.8,9173123000.0,2025-05-15 09:18:08.966,0,19.664441969806386,18.666666666666668,17.66889136352695
RUPALIBANK,2025-05-17,18.2,18.1,18.4,17.6,141810,2.54,169,0.4,8782.777,2025-05-17 09:52:49.867,0,19.51873034571759,18.525,17.531269654282408
RUPALIBANK,2025-05-18,18.4,18.0,18.8,17.9,123105,2.254,202,-0.1,8831.57,2025-05-18 11:04:32.038,0,19.40305645819556,18.419999999999998,17.436943541804435
RUPALIBANK,2025-05-19,18.6,17.9,18.6,17.7,129423,2.309,177,-0.1,8782.777,2025-05-19 11:03:02.267,0,19.31085855324101,18.333333333333332,17.355808113425653
RUPALIBANK,2025-05-20,18.0,18.1,18.2,17.9,23712,0.428,60,0.2,8733.984,2025-05-20 11:03:39.556,0,19.21962725368178,18.3,17.380372746318223
RUPALIBANK,2025-05-21,18.3,18.5,18.6,18.0,63247,1.161,117,0.4,8831.57,2025-05-21 11:40:04.113,0,19.195344759276463,18.325,17.454655240723536
RUPALIBANK,2025-05-22,18.5,18.4,18.7,18.3,118428,2.189,179,-0.1,9026.743,2025-05-22 11:03:54.145,0,19.155255200395864,18.333333333333332,17.5114114662708
RUPALIBANK,2025-05-24,18.3,18.4,18.7,18.3,121886,2.253,155,,8977.95,2025-05-24 11:40:43.456,0,19.120768851837727,18.34,17.559231148162272
RUPALIBANK,2025-05-25,18.3,18.2,18.5,18.0,89584,1.633,162,-0.2,8977.95,2025-05-25 11:39:46.909,0,19.07604582843542,18.327272727272728,17.578499626110037
RUPALIBANK,2025-05-26,18.5,18.1,18.5,17.8,245413,4.436,199,-0.1,8880.364,2025-05-26 11:03:52.096,0,19.036153518696604,18.308333333333334,17.580513147970063
RUPALIBANK,2025-05-27,18.3,18.0,18.7,17.8,403801,7.421,359,-0.1,8831.57,2025-05-27 11:02:32.654,0,19.00293030953408,18.284615384615385,17.56630045969669
RUPALIBANK,2025-05-28,18.0,17.2,18.0,17.0,217269,3.766,285,-0.8,8782.777,2025-05-28 11:39:59.290,0,19.09665086148904,18.20714285714286,17.31763485279668
RUPALIBANK,2025-05-29,17.7,16.8,17.7,16.6,145170,2.454,207,-0.4,8392.432,2025-05-29 11:40:21.218,0,19.222967907816706,18.113333333333333,17.00369875884996
RUPALIBANK,2025-06-01,16.4,17.5,17.8,16.4,591337,10.188,426,0.7,8197.259,2025-06-01 11:04:45.206,0,19.1896748404804,18.075,16.9603251595196
RUPALIBANK,2025-06-02,18.0,17.4,18.0,17.1,270598,4.71,300,-0.1,8538.811,2025-06-02 11:03:35.320,0,19.16237504583506,18.03529411764706,16.908213189459058
RUPALIBANK,2025-06-03,17.3,17.1,17.5,17.0,62950,1.082,87,-0.3,8490.018,2025-06-03 11:03:41.900,0,19.159485250958493,17.983333333333334,16.807181415708175
RUPALIBANK,2025-06-04,17.2,17.2,17.4,16.8,176314,2.996,193,0.1,8343.638,2025-06-04 11:04:10.097,0,18.940565811472126,17.87222222222222,16.803878632972314
