symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
RUPALIINS,2025-05-13,21.4,20.5,21.4,20.3,113308,2.354,149,-0.4,1602307000.0,2025-05-13 16:33:16.972,0,20.5,20.5,20.5
RUPALIINS,2025-05-14,21.0,20.2,21.0,20.1,110288,2.27,155,-0.3,1571641000.0,2025-05-14 11:51:23.928,0,20.650000000000006,20.35,20.049999999999997
RUPALIINS,2025-05-15,20.2,20.0,20.8,20.0,28904,0.581,59,-0.2,1548641000.0,2025-05-15 09:17:43.783,0,20.644294266864602,20.233333333333334,19.822372399802067
RUPALIINS,2025-05-17,20.6,20.1,20.6,19.7,33862,0.677,103,0.1,1533.308,2025-05-17 09:50:58.692,0,20.574165738677394,20.2,19.825834261322605
RUPALIINS,2025-05-18,20.2,20.0,20.5,19.9,69856,1.411,143,-0.1,1540.975,2025-05-18 11:03:56.430,0,20.53094473981983,20.16,19.78905526018017
RUPALIINS,2025-05-19,19.9,19.9,20.1,19.8,43308,0.861,90,-0.2,1533.308,2025-05-19 11:02:37.943,0,20.506823330357324,20.116666666666667,19.72651000297601
RUPALIINS,2025-05-20,20.3,19.8,20.3,19.7,23605,0.469,41,-0.1,1525.642,2025-05-20 11:03:07.780,0,20.49521134211976,20.071428571428573,19.647645800737386
RUPALIINS,2025-05-21,21.0,20.6,21.2,20.0,356395,7.388,376,0.8,1517.975,2025-05-21 11:37:08.278,0,20.666059362796652,20.1375,19.608940637203347
RUPALIINS,2025-05-22,20.9,20.3,20.9,20.2,53028,1.079,65,-0.3,1579.307,2025-05-22 11:03:17.650,0,20.664245472989318,20.155555555555555,19.646865638121792
RUPALIINS,2025-05-24,20.2,20.1,20.4,19.9,50231,1.009,67,-0.2,1556.308,2025-05-24 11:37:12.920,0,20.633735464897914,20.15,19.666264535102083
RUPALIINS,2025-05-25,20.5,19.8,20.5,19.7,54650,1.085,67,-0.3,1540.975,2025-05-25 11:36:57.391,0,20.621394636476296,20.11818181818182,19.614968999887346
RUPALIINS,2025-05-26,20.2,19.7,20.2,19.6,35754,0.705,59,-0.1,1517.975,2025-05-26 11:03:23.883,0,20.617707318062713,20.083333333333332,19.54895934860395
RUPALIINS,2025-05-27,19.7,19.7,20.0,19.6,24747,0.488,39,,1510.309,2025-05-27 11:02:04.677,0,20.606408769109784,20.053846153846152,19.50128353858252
RUPALIINS,2025-05-28,19.8,19.5,20.0,19.3,26296,0.516,49,-0.2,1510.309,2025-05-28 11:36:20.742,0,20.618353557481885,20.014285714285712,19.41021787108954
RUPALIINS,2025-06-01,18.5,18.0,19.3,17.9,245090,4.432,318,-1.5,1494.976,2025-06-01 11:04:29.258,0,21.04206712370672,19.88,18.71793287629328
RUPALIINS,2025-06-02,19.5,18.2,19.5,17.7,65750,1.178,117,0.2,1379.977,2025-06-02 11:03:17.436,0,21.163344337691484,19.775,18.386655662308513
RUPALIINS,2025-06-03,18.3,17.9,18.3,17.7,57069,1.023,112,-0.3,1395.31,2025-06-03 11:03:15.336,0,21.274881139851825,19.66470588235294,18.054530624854056
RUPALIINS,2025-06-04,18.4,18.0,18.4,17.9,34140,0.615,68,0.3,1372.311,2025-06-04 11:03:51.630,0,21.312982663403105,19.572222222222223,17.83146178104134
