symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
RUPALILIFE,2025-05-13,75.7,73.0,76.0,72.5,56168,4.182,345,-2.7,2272078000.0,2025-05-13 16:29:14.329,0,73.0,73.0,73.0
RUPALILIFE,2025-05-14,73.0,72.1,74.2,72.0,47120,3.419,215,-0.9,2191039000.0,2025-05-14 11:47:18.501,0,73.45,72.55,71.64999999999999
RUPALILIFE,2025-05-15,72.1,69.0,72.1,68.3,77072,5.392,370,-3.1,2164026000.0,2025-05-15 09:13:27.240,0,74.79335927357236,71.36666666666666,67.93997405976096
RUPALILIFE,2025-05-17,70.4,70.1,70.9,69.0,40293,2.809,171,1.1,2070.982,2025-05-17 09:24:27.471,0,74.21385840391127,71.05,67.88614159608872
RUPALILIFE,2025-05-18,72.0,69.6,72.2,69.4,105327,7.4,433,-0.5,2103.998,2025-05-18 10:58:40.514,0,73.81836557657843,70.75999999999999,67.70163442342155
RUPALILIFE,2025-05-19,69.1,68.9,70.5,68.5,57147,3.945,237,-0.7,2088.991,2025-05-19 10:58:25.657,0,73.5671568242016,70.45,67.3328431757984
RUPALILIFE,2025-05-20,70.9,69.5,70.9,68.6,34175,2.37,167,1.1,2067.981,2025-05-20 10:58:14.595,0,73.27580766167998,70.31428571428572,67.35276376689146
RUPALILIFE,2025-05-21,70.9,70.5,71.5,70.0,72436,5.119,343,1.0,2085.989,2025-05-21 11:10:44.419,0,73.11047223210042,70.3375,67.56452776789959
RUPALILIFE,2025-05-22,71.0,73.0,73.9,70.3,156966,11.374,584,2.5,2116.004,2025-05-22 10:58:20.880,0,73.73745246048608,70.63333333333334,67.5292142061806
RUPALILIFE,2025-05-24,73.9,75.4,76.7,73.0,254664,19.199,1041,2.4,2191.039,2025-05-24 11:09:32.720,0,75.21507003594336,71.11,67.00492996405664
RUPALILIFE,2025-05-25,76.7,73.2,76.7,73.0,101945,7.525,388,-2.2,2263.073,2025-05-25 11:09:48.178,0,75.39434199397613,71.3,67.20565800602387
RUPALILIFE,2025-05-26,73.0,71.4,74.0,71.1,87178,6.304,462,-1.8,2197.042,2025-05-26 10:58:40.035,0,75.2287570632664,71.30833333333334,67.38790960340027
RUPALILIFE,2025-05-27,70.2,70.8,72.8,70.2,61154,4.362,269,-0.6,2143.016,2025-05-27 10:57:50.415,0,75.04558197143203,71.26923076923077,67.49287956702952
RUPALILIFE,2025-05-28,72.0,69.9,72.0,69.0,85275,5.969,298,-0.9,2125.008,2025-05-28 11:09:10.715,0,74.87812411284206,71.17142857142856,67.46473303001507
RUPALILIFE,2025-05-29,71.9,70.5,71.9,69.0,41862,2.942,241,0.6,2097.995,2025-05-29 11:09:33.985,0,74.72330707435582,71.12666666666668,67.53002625897754
RUPALILIFE,2025-06-01,70.0,70.1,71.0,69.9,22832,1.601,121,-0.5,2116.004,2025-06-01 10:58:51.015,0,74.58022298511409,71.0625,67.54477701488591
RUPALILIFE,2025-06-02,70.5,70.0,71.0,69.6,48036,3.362,227,-0.1,2103.998,2025-06-02 10:58:18.533,0,74.44912606151694,71.0,67.55087393848306
RUPALILIFE,2025-06-03,71.0,69.5,71.0,69.0,32157,2.233,155,,2100.997,2025-06-03 10:58:18.312,0,74.33832968014094,70.91666666666667,67.4950036531924
RUPALILIFE,2025-06-04,70.8,69.8,70.8,69.0,16907,1.179,101,0.3,2085.989,2025-06-04 10:58:55.563,0,74.03948741298781,70.73888888888888,67.43829036478995
