symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SAIHAMTEX,2025-05-13,13.0,12.8,13.2,12.6,215542,2.769,143,-0.2,1177313000.0,2025-05-13 16:34:50.893,0,12.8,12.8,12.8
SAIHAMTEX,2025-05-14,12.6,12.6,13.0,12.6,41046,0.523,47,-0.2,1159200000.0,2025-05-14 11:53:11.393,0,12.899999999999999,12.7,12.5
SAIHAMTEX,2025-05-15,12.5,12.4,12.7,12.3,207607,2.587,96,-0.2,1141088000.0,2025-05-15 09:19:28.892,0,12.926598632371089,12.6,12.27340136762891
SAIHAMTEX,2025-05-17,12.3,12.5,12.7,12.3,44379,0.555,24,0.2,1122.975,2025-05-17 10:01:43.032,0,12.870803989154979,12.575,12.27919601084502
SAIHAMTEX,2025-05-18,12.4,12.4,12.9,12.4,112906,1.417,88,-0.1,1132.031,2025-05-18 11:05:57.896,0,12.839332590941915,12.540000000000001,12.240667409058087
SAIHAMTEX,2025-05-19,12.4,12.6,13.0,12.4,156435,1.996,110,0.2,1122.975,2025-05-19 11:04:30.059,0,12.826887462097266,12.549999999999999,12.273112537902731
SAIHAMTEX,2025-05-20,12.5,12.6,12.7,12.4,182444,2.294,105,,1141.088,2025-05-20 11:05:01.694,0,12.815868146803927,12.557142857142859,12.29841756748179
SAIHAMTEX,2025-05-21,12.6,12.8,13.0,12.6,125719,1.614,117,0.2,1141.088,2025-05-21 11:49:19.707,0,12.877973750965555,12.5875,12.297026249034445
SAIHAMTEX,2025-05-22,12.7,12.6,12.9,12.6,93220,1.183,74,-0.2,1159.2,2025-05-22 11:07:39.206,0,12.862862844576398,12.588888888888889,12.31491493320138
SAIHAMTEX,2025-05-24,12.8,12.5,12.8,12.5,79465,0.999,51,-0.1,1141.088,2025-05-24 11:49:19.961,0,12.845329983228432,12.58,12.314670016771569
SAIHAMTEX,2025-05-25,12.5,12.7,12.8,12.5,113590,1.439,123,0.2,1132.031,2025-05-25 11:48:04.032,0,12.853131001851926,12.590909090909092,12.328687179966257
SAIHAMTEX,2025-05-26,12.5,12.6,12.9,12.5,113311,1.438,101,-0.1,1150.144,2025-05-26 11:05:01.060,0,12.842775319555322,12.591666666666667,12.340558013778011
SAIHAMTEX,2025-05-27,12.9,12.5,12.9,12.4,37895,0.475,53,-0.1,1141.088,2025-05-27 11:03:37.047,0,12.83076923076923,12.584615384615384,12.338461538461539
SAIHAMTEX,2025-05-28,12.7,12.3,12.7,12.2,118240,1.453,127,-0.3,1132.031,2025-05-28 11:47:15.554,0,12.843131732799188,12.564285714285715,12.285439695772242
SAIHAMTEX,2025-05-29,12.0,12.1,12.6,12.0,393428,4.812,164,-0.2,1113.919,2025-05-29 11:46:55.931,0,12.888611002519312,12.533333333333333,12.178055664147355
SAIHAMTEX,2025-06-02,12.6,12.3,12.6,12.3,55752,0.692,81,-0.1,1122.975,2025-06-02 11:04:45.053,0,12.880818708949006,12.51875,12.156681291050996
SAIHAMTEX,2025-06-03,12.2,12.4,12.6,12.2,28819,0.357,42,0.1,1113.919,2025-06-03 11:04:57.278,0,12.86744038724308,12.511764705882353,12.156089024521625
SAIHAMTEX,2025-06-04,12.5,12.3,12.6,12.3,171009,2.121,29,0.2,1122.975,2025-06-04 11:05:16.509,0,12.859010987142298,12.5,12.140989012857702
