symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SALAMCRST,2025-05-13,19.8,17.8,19.8,17.6,1002614,18.422,968,-1.7,1918236000.0,2025-05-13 16:34:02.156,0,17.8,17.8,17.8
SALAMCRST,2025-05-14,17.9,17.3,18.7,17.1,594137,10.528,680,-0.5,1751006000.0,2025-05-14 11:52:19.048,0,18.05,17.55,17.05
SALAMCRST,2025-05-15,18.0,16.5,18.0,16.2,887633,14.903,727,-0.8,1701820000.0,2025-05-15 09:18:37.037,0,18.270825226947267,17.2,16.129174773052732
SALAMCRST,2025-05-17,16.7,17.9,18.0,15.9,1230155,21.346,1070,1.4,1623.123,2025-05-17 09:53:36.891,0,18.482925990308015,17.375,16.267074009691985
SALAMCRST,2025-05-18,18.2,18.3,19.1,18.0,2059203,38.255,1519,0.4,1760.843,2025-05-18 11:04:27.737,0,18.796769986699225,17.56,16.323230013300773
SALAMCRST,2025-05-19,18.2,17.7,18.6,17.3,1097668,19.724,1000,-0.6,1800.191,2025-05-19 11:03:03.814,0,18.717156756779662,17.583333333333332,16.449509909887002
SALAMCRST,2025-05-20,17.8,17.8,18.3,17.6,1049596,18.757,842,0.1,1741.168,2025-05-20 11:03:46.402,0,18.674897782472605,17.614285714285714,16.553673646098822
SALAMCRST,2025-05-21,18.2,18.2,18.7,18.1,1044486,19.235,799,0.4,1751.006,2025-05-21 11:40:30.812,0,18.75257042020704,17.6875,16.62242957979296
SALAMCRST,2025-05-22,18.4,19.5,19.9,18.3,3071766,59.873,1889,1.3,1790.354,2025-05-22 11:03:35.354,0,19.407497738957325,17.88888888888889,16.370280038820454
SALAMCRST,2025-05-24,20.0,21.4,21.4,20.0,3225845,68.724,1081,1.9,1918.236,2025-05-24 11:35:11.736,0,20.792175542551885,18.240000000000002,15.68782445744812
SALAMCRST,2025-05-25,22.9,21.5,22.9,20.9,2977381,64.832,2237,0.1,2105.142,2025-05-25 11:34:30.399,0,21.60796106177629,18.536363636363635,15.464766210950982
SALAMCRST,2025-05-26,21.6,22.8,23.5,21.2,3326366,75.069,2388,1.3,2114.979,2025-05-26 11:02:23.645,0,22.66036081126842,18.891666666666666,15.122972522064913
SALAMCRST,2025-05-27,22.8,21.6,23.4,21.2,2842932,63.845,2090,-1.2,2242.861,2025-05-27 11:01:40.667,0,22.99792844391045,19.1,15.202071556089551
SALAMCRST,2025-05-28,21.7,21.0,22.0,19.9,1703382,35.969,1411,-0.6,2124.816,2025-05-28 11:33:37.081,0,23.117250905483864,19.235714285714288,15.354177665944711
SALAMCRST,2025-05-29,22.1,21.4,22.1,21.2,1301052,28.113,1255,0.4,2065.793,2025-05-29 11:33:17.227,0,23.282272841990075,19.38,15.477727158009921
SALAMCRST,2025-06-01,19.9,20.6,21.6,19.9,1384424,28.958,1206,-0.8,2105.142,2025-06-01 11:04:00.094,0,23.280494206375945,19.45625,15.632005793624057
SALAMCRST,2025-06-02,20.8,20.1,21.0,19.8,1186850,24.143,1164,-0.5,2026.445,2025-06-02 11:02:49.086,0,23.21652710598872,19.49411764705882,15.771708188128924
SALAMCRST,2025-06-03,20.2,19.4,20.3,19.2,1010836,19.872,1066,-0.7,1977.259,2025-06-03 11:02:46.860,0,23.106677586661107,19.48888888888889,15.871100191116676
SALAMCRST,2025-06-04,19.6,21.2,21.3,19.5,1490844,30.765,1571,1.8,1908.399,2025-06-04 11:02:52.969,0,23.278120696973453,19.677777777777777,16.0774348585821
