symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SALVOCHEM,2025-05-13,20.0,19.2,20.0,19.0,223839,4.326,230,-0.5,1280949000.0,2025-05-13 16:33:44.943,0,19.2,19.2,19.2
SALVOCHEM,2025-05-14,19.0,18.6,19.4,18.4,251635,4.706,400,-0.6,1248438000.0,2025-05-14 11:51:47.356,0,19.499999999999993,18.9,18.300000000000004
SALVOCHEM,2025-05-15,18.6,18.4,18.9,18.0,125948,2.325,192,-0.2,1209424000.0,2025-05-15 09:18:02.834,0,19.41320260181237,18.733333333333334,18.0534640648543
SALVOCHEM,2025-05-17,18.8,18.9,19.0,18.3,105558,1.972,133,0.5,1196.419,2025-05-17 09:52:05.269,0,19.381217782649102,18.775,18.168782217350895
SALVOCHEM,2025-05-18,19.2,18.2,19.3,18.0,355623,6.592,362,-0.7,1228.931,2025-05-18 11:04:29.202,0,19.371055553385247,18.66,17.948944446614753
SALVOCHEM,2025-05-19,18.5,18.7,19.1,18.0,235457,4.368,273,0.5,1183.415,2025-05-19 11:02:52.218,0,19.316452956320596,18.666666666666668,18.01688037701274
SALVOCHEM,2025-05-20,18.7,19.0,19.4,18.4,374356,7.1,314,0.6,1215.926,2025-05-20 11:03:18.899,0,19.35951941660778,18.714285714285715,18.06905201196365
SALVOCHEM,2025-05-21,19.3,19.2,19.4,19.0,247694,4.739,208,0.2,1235.433,2025-05-21 11:38:56.771,0,19.458739716558863,18.775,18.091260283441134
SALVOCHEM,2025-05-22,19.2,18.7,19.4,18.6,298332,5.63,325,-0.5,1248.438,2025-05-22 11:03:46.894,0,19.41302398098884,18.766666666666666,18.120309352344492
SALVOCHEM,2025-05-24,18.7,18.4,19.0,18.3,247952,4.579,208,-0.3,1215.926,2025-05-24 11:40:22.242,0,19.38145989899609,18.729999999999997,18.078540101003902
SALVOCHEM,2025-05-25,18.3,18.4,18.8,18.2,197000,3.635,217,,1196.419,2025-05-25 11:39:19.776,0,19.34947531270879,18.7,18.050524687291208
SALVOCHEM,2025-05-26,18.4,19.3,19.7,18.4,561797,10.743,517,1.3,1196.419,2025-05-26 11:03:22.520,0,19.4547458170622,18.75,18.0452541829378
SALVOCHEM,2025-05-27,19.4,19.5,20.3,19.3,646371,12.826,644,0.2,1254.94,2025-05-27 11:02:05.936,0,19.5939650670265,18.807692307692307,18.021419548358114
SALVOCHEM,2025-05-28,19.5,19.5,20.3,19.3,621473,12.269,480,,1267.944,2025-05-28 11:36:19.308,0,19.694534336557304,18.857142857142858,18.01975137772841
SALVOCHEM,2025-05-29,19.8,19.6,20.0,19.3,248968,4.878,265,0.1,1267.944,2025-05-29 11:36:19.890,0,19.79651059805139,18.90666666666667,18.01682273528195
SALVOCHEM,2025-06-01,19.8,19.0,19.8,18.8,219868,4.209,250,-0.6,1274.447,2025-06-01 11:04:13.472,0,19.77527169633687,18.9125,18.049728303663134
SALVOCHEM,2025-06-02,19.1,19.2,19.4,18.9,181934,3.487,212,0.2,1235.433,2025-06-02 11:02:58.618,0,19.77728718808128,18.929411764705883,18.081536341330484
SALVOCHEM,2025-06-03,19.2,18.6,19.2,18.4,179031,3.348,288,-0.6,1248.438,2025-06-03 11:02:56.982,0,19.74880341444314,18.91111111111111,18.07341880777908
SALVOCHEM,2025-06-04,19.0,18.8,19.0,18.6,110736,2.071,125,0.2,1209.424,2025-06-04 11:03:33.904,0,19.715901958485706,18.88888888888889,18.061875819292073
