symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SAMATALETH,2025-05-13,48.7,49.0,50.4,48.0,222339,10.942,797,1.2,493296000.0,2025-05-13 16:30:09.938,0,49.0,49.0,49.0
SAMATALETH,2025-05-14,48.0,49.6,50.3,48.0,122963,6.11,466,0.6,505680000.0,2025-05-14 11:47:57.001,0,49.900000000000006,49.3,48.69999999999999
SAMATALETH,2025-05-15,49.8,49.8,51.1,48.5,163691,8.195,918,0.2,511872000.0,2025-05-15 09:14:04.876,0,50.146535935145714,49.46666666666667,48.78679739818762
SAMATALETH,2025-05-17,49.5,50.0,50.5,48.7,60945,3.041,452,0.2,513.936,2025-05-17 09:28:24.019,0,50.3483314773548,49.6,48.851668522645205
SAMATALETH,2025-05-18,51.0,49.1,51.1,48.8,139801,6.981,513,-0.9,516.0,2025-05-18 10:59:41.160,0,50.279743547584715,49.5,48.720256452415285
SAMATALETH,2025-05-19,49.1,49.1,49.8,47.5,42991,2.094,299,,506.712,2025-05-19 10:59:12.806,0,50.20505579351935,49.43333333333334,48.661610873147325
SAMATALETH,2025-05-20,49.7,53.3,53.8,48.4,300553,15.52,849,4.2,506.712,2025-05-20 10:58:43.607,0,52.78454786200193,49.98571428571428,47.18688070942663
SAMATALETH,2025-05-21,53.5,55.1,55.5,53.4,249087,13.607,933,1.8,550.056,2025-05-21 11:13:13.071,0,54.902557714397325,50.625,46.347442285602675
SAMATALETH,2025-05-22,55.3,55.5,56.9,54.2,255187,14.196,873,0.4,568.632,2025-05-22 10:58:58.500,0,56.23157864352603,51.166666666666664,46.1017546898073
SAMATALETH,2025-05-24,54.5,52.9,55.5,52.5,112386,6.047,367,-2.6,572.76,2025-05-24 11:13:37.504,0,56.25625874013971,51.339999999999996,46.423741259860286
SAMATALETH,2025-05-25,53.4,52.7,54.0,51.7,72980,3.836,412,0.9,545.928,2025-05-25 11:13:47.928,0,56.2158781138941,51.46363636363637,46.71139461337864
SAMATALETH,2025-05-26,54.7,54.8,55.5,53.0,133253,7.285,540,2.1,543.864,2025-05-26 10:59:23.288,0,56.651152948912056,51.74166666666667,46.83218038442128
SAMATALETH,2025-05-27,55.6,54.0,56.8,53.0,239147,13.221,862,-0.8,565.536,2025-05-27 10:58:18.745,0,56.783393940858375,51.91538461538461,47.047375289910846
SAMATALETH,2025-05-28,53.5,53.6,55.0,52.0,63962,3.408,432,-0.4,557.28,2025-05-28 11:12:28.262,0,56.80622317911768,52.035714285714285,47.26520539231089
SAMATALETH,2025-05-29,53.0,53.2,54.8,52.4,54705,2.924,319,-0.4,553.152,2025-05-29 11:12:40.786,0,56.75854113875557,52.11333333333334,47.468125527911106
SAMATALETH,2025-06-01,53.0,51.6,53.7,50.9,63625,3.305,219,-1.6,549.024,2025-06-01 10:59:26.781,0,56.58581365811385,52.08125,47.576686341886145
SAMATALETH,2025-06-02,52.1,52.0,52.4,51.0,73539,3.789,271,0.4,532.512,2025-06-02 10:59:02.118,0,56.44670650151461,52.07647058823529,47.706234674955965
SAMATALETH,2025-06-03,52.0,54.7,54.9,52.0,125896,6.797,625,2.7,536.64,2025-06-03 10:58:44.251,0,56.636117229560135,52.22222222222222,47.80832721488431
SAMATALETH,2025-06-04,55.1,55.4,55.6,53.4,74613,4.091,392,0.7,564.504,2025-06-04 10:59:20.871,0,56.92675239795133,52.577777777777776,48.22880315760422
