symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SANDHANINS,2025-05-13,19.2,18.6,19.3,18.5,92630,1.741,203,-0.6,2106214000.0,2025-05-13 16:33:49.697,0,18.6,18.6,18.6
SANDHANINS,2025-05-14,18.6,18.2,18.8,18.1,129331,2.386,166,-0.4,2040395000.0,2025-05-14 11:51:56.770,0,18.799999999999997,18.4,18.0
SANDHANINS,2025-05-15,18.5,17.7,18.5,17.6,99349,1.786,178,-0.5,1996515000.0,2025-05-15 09:18:11.883,0,18.903024067812485,18.166666666666668,17.43030926552085
SANDHANINS,2025-05-17,18.0,17.9,18.0,17.7,52818,0.942,132,0.2,1941.666,2025-05-17 09:53:35.402,0,18.778232998312525,18.1,17.421767001687478
SANDHANINS,2025-05-18,18.7,17.9,18.7,17.8,67140,1.21,112,,1963.606,2025-05-18 11:04:40.899,0,18.68737548565432,18.06,17.432624514345676
SANDHANINS,2025-05-19,17.8,17.7,18.0,17.6,104508,1.847,117,-0.2,1963.606,2025-05-19 11:03:05.399,0,18.632455532033674,18.0,17.367544467966326
SANDHANINS,2025-05-20,17.7,17.9,18.1,17.6,28706,0.513,74,0.3,1941.666,2025-05-20 11:03:40.925,0,18.575421926872863,17.985714285714284,17.396006644555705
SANDHANINS,2025-05-21,18.2,18.1,18.2,17.9,73568,1.329,124,0.2,1963.606,2025-05-21 11:40:57.976,0,18.556776436283002,18.0,17.443223563716998
SANDHANINS,2025-05-22,18.0,18.2,18.3,18.0,49523,0.9,81,0.1,1985.545,2025-05-22 11:04:00.830,0,18.561998124510716,18.022222222222222,17.48244631993373
SANDHANINS,2025-05-24,18.1,18.0,18.6,17.9,67573,1.227,130,-0.2,1996.515,2025-05-24 11:41:11.068,0,18.532249938994628,18.02,17.50775006100537
SANDHANINS,2025-05-25,17.6,17.7,18.1,17.6,110449,1.96,159,-0.3,1974.575,2025-05-25 11:40:40.377,0,18.512825457978447,17.990909090909092,17.468992723839737
SANDHANINS,2025-05-26,17.7,17.6,17.9,17.5,70057,1.239,111,-0.1,1941.666,2025-05-26 11:03:58.006,0,18.502749432368702,17.958333333333332,17.413917234297962
SANDHANINS,2025-05-27,17.7,17.5,17.8,17.5,43395,0.765,97,-0.1,1930.696,2025-05-27 11:02:33.822,0,18.5003588627475,17.923076923076923,17.345794983406346
SANDHANINS,2025-05-28,17.5,17.2,17.6,17.1,91597,1.579,99,-0.3,1919.726,2025-05-28 11:40:24.037,0,18.540878543649143,17.87142857142857,17.201978599207997
SANDHANINS,2025-05-29,17.2,17.3,17.6,17.0,92157,1.6,132,0.1,1886.816,2025-05-29 11:39:31.600,0,18.54012577497059,17.833333333333332,17.126540891696074
SANDHANINS,2025-06-01,17.6,17.3,17.7,17.3,50153,0.876,107,,1897.786,2025-06-01 11:04:55.460,0,18.531436941916393,17.8,17.06856305808361
SANDHANINS,2025-06-02,17.6,17.6,17.8,17.4,60703,1.069,82,0.3,1897.786,2025-06-02 11:03:31.389,0,18.504047799772998,17.788235294117644,17.07242278846229
SANDHANINS,2025-06-03,17.3,17.4,17.9,17.3,33878,0.591,117,-0.2,1930.696,2025-06-03 11:03:35.923,0,18.48468864095127,17.766666666666666,17.048644692382062
SANDHANINS,2025-06-04,17.7,17.7,17.8,17.4,17236,0.303,85,0.3,1908.756,2025-06-04 11:04:07.633,0,18.310149793825495,17.716666666666665,17.123183539507835
