symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SAPORTL,2025-05-13,22.7,21.9,22.7,21.8,495270,10.981,454,-0.5,5305824000.0,2025-05-13 16:32:59.374,0,21.9,21.9,21.9
SAPORTL,2025-05-14,22.2,21.1,22.2,21.0,470257,10.103,562,-0.6,5187390000.0,2025-05-14 11:51:14.230,0,22.299999999999997,21.5,20.700000000000003
SAPORTL,2025-05-15,21.4,21.0,21.5,20.2,529610,11.018,596,-0.1,4997896000.0,2025-05-15 09:17:28.625,0,22.138869731572967,21.333333333333332,20.527796935093697
SAPORTL,2025-05-17,21.3,21.3,21.4,20.7,155280,3.282,299,0.3,4974.21,2025-05-17 09:48:43.757,0,22.023212002188444,21.325,20.626787997811554
SAPORTL,2025-05-18,21.5,21.1,21.8,21.1,222082,4.745,231,-0.2,5045.27,2025-05-18 11:03:38.521,0,21.929923072370876,21.28,20.630076927629126
SAPORTL,2025-05-19,21.3,20.8,21.4,20.6,265702,5.555,330,-0.3,4997.896,2025-05-19 11:02:25.360,0,21.89282032302755,21.2,20.50717967697245
SAPORTL,2025-05-20,21.1,21.3,21.4,20.8,224650,4.746,277,0.5,4926.836,2025-05-20 11:02:40.625,0,21.859519416607785,21.214285714285715,20.569052011963645
SAPORTL,2025-05-21,21.3,21.5,21.7,21.3,301303,6.468,255,0.2,5045.27,2025-05-21 11:35:36.795,0,21.882455532033674,21.25,20.617544467966326
SAPORTL,2025-05-22,21.8,21.3,21.9,21.3,255778,5.518,388,-0.2,5092.643,2025-05-22 11:03:02.851,0,21.852667948557528,21.255555555555556,20.658443162553585
SAPORTL,2025-05-24,21.2,21.2,21.4,21.1,170649,3.632,198,-0.1,5045.27,2025-05-24 11:35:55.691,0,21.817450438364443,21.25,20.682549561635557
SAPORTL,2025-05-25,21.3,21.2,21.4,21.1,149750,3.183,165,,5021.583,2025-05-25 11:34:55.095,0,21.787260524572776,21.245454545454546,20.703648566336316
SAPORTL,2025-05-26,21.4,21.2,21.5,21.2,109686,2.338,185,,5021.583,2025-05-26 11:02:54.014,0,21.761014548362763,21.241666666666667,20.72231878497057
SAPORTL,2025-05-27,21.3,21.0,21.6,20.8,193950,4.11,248,-0.2,5021.583,2025-05-27 11:01:48.282,0,21.738404129982897,21.22307692307692,20.707749716170945
SAPORTL,2025-05-28,21.2,20.8,21.2,20.7,177204,3.704,228,-0.2,4974.21,2025-05-28 11:34:00.643,0,21.73515008274578,21.192857142857143,20.650564202968507
SAPORTL,2025-05-29,20.8,20.9,21.1,20.7,208183,4.357,245,0.1,4926.836,2025-05-29 11:34:03.857,0,21.717228748116565,21.173333333333336,20.629437918550106
SAPORTL,2025-06-01,21.0,21.1,21.2,20.8,132821,2.795,173,0.2,4950.523,2025-06-01 11:03:40.460,0,21.696569808267935,21.16875,20.640930191732064
SAPORTL,2025-06-02,21.2,21.2,21.3,21.1,141854,3.005,176,0.1,4997.896,2025-06-02 11:02:26.011,0,21.682859789578284,21.170588235294115,20.658316681009946
SAPORTL,2025-06-03,21.2,20.9,21.3,20.8,108322,2.268,114,-0.3,5021.583,2025-06-03 11:02:19.551,0,21.66859539469401,21.155555555555555,20.6425157164171
SAPORTL,2025-06-04,20.8,21.1,21.3,20.8,154595,3.247,166,0.2,4950.523,2025-06-04 11:02:59.032,0,21.475582654819036,21.11111111111111,20.746639567403186
