symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SEAPEARL,2025-05-13,41.5,41.9,43.1,40.4,894378,37.31,781,,5059425000.0,2025-05-13 16:30:40.750,0,41.9,41.9,41.9
SEAPEARL,2025-05-14,42.4,41.3,42.4,40.9,255816,10.619,476,-0.6,5059425000.0,2025-05-14 11:48:40.235,0,42.19999999999999,41.599999999999994,41.0
SEAPEARL,2025-05-15,41.6,43.8,44.0,41.0,1303145,55.512,2235,2.5,4986975000.0,2025-05-15 09:14:48.934,0,44.46458231508611,42.333333333333336,40.20208435158056
SEAPEARL,2025-05-17,44.1,43.9,45.0,43.4,741102,32.833,1085,0.1,5288.85,2025-05-17 09:31:29.775,0,45.01574223779106,42.724999999999994,40.43425776220893
SEAPEARL,2025-05-18,44.0,42.9,44.3,42.8,294892,12.751,627,-1.0,5300.925,2025-05-18 11:00:29.113,0,44.81367962447895,42.76,40.706320375521045
SEAPEARL,2025-05-19,42.8,42.9,43.5,42.7,383570,16.481,642,,5180.175,2025-05-19 10:59:37.704,0,44.66097961406769,42.78333333333333,40.90568705259897
SEAPEARL,2025-05-20,43.4,43.0,43.6,42.5,522249,22.364,485,0.1,5180.175,2025-05-20 10:59:31.873,0,44.55924931252599,42.81428571428571,41.06932211604543
SEAPEARL,2025-05-21,43.6,43.5,43.9,43.1,200864,8.725,306,0.5,5192.25,2025-05-21 11:18:53.697,0,44.59410743460975,42.9,41.20589256539025
SEAPEARL,2025-05-22,43.8,44.6,44.8,43.4,501219,22.094,831,1.1,5252.625,2025-05-22 10:59:56.767,0,45.01056511192253,43.08888888888889,41.167212665855246
SEAPEARL,2025-05-24,44.8,44.5,45.0,43.8,448706,19.817,572,0.4,5385.45,2025-05-24 11:17:14.770,0,45.24007462548037,43.230000000000004,41.21992537451964
SEAPEARL,2025-05-25,45.0,47.5,48.7,44.5,896757,41.659,1617,3.0,5373.375,2025-05-25 11:15:24.696,0,46.732743724416565,43.61818181818182,40.50361991194707
SEAPEARL,2025-05-26,48.0,46.9,49.0,46.8,704100,33.37,1198,-0.6,5735.625,2025-05-26 10:59:49.377,0,47.38209007301089,43.89166666666667,40.40124326032245
SEAPEARL,2025-05-27,46.8,46.8,47.0,46.4,487993,22.855,515,-0.1,5663.175,2025-05-27 10:58:35.257,0,47.809743020259354,44.11538461538461,40.42102621050987
SEAPEARL,2025-05-28,47.0,45.0,47.1,42.3,886555,40.804,876,-1.8,5651.1,2025-05-28 11:16:15.154,0,47.76758527755046,44.17857142857143,40.5895575795924
SEAPEARL,2025-05-29,45.5,44.5,45.5,44.1,485730,21.758,604,-0.5,5433.75,2025-05-29 11:16:40.422,0,47.67102290398667,44.2,40.72897709601334
SEAPEARL,2025-06-01,45.4,44.9,45.5,44.6,235717,10.604,385,0.4,5373.375,2025-06-01 11:00:02.807,0,47.62159602224554,44.24375,40.865903977754456
SEAPEARL,2025-06-02,45.2,45.0,46.6,44.7,270101,12.252,373,0.1,5421.675,2025-06-02 10:59:30.595,0,47.58449510179713,44.28823529411765,40.991975486438164
SEAPEARL,2025-06-03,46.1,48.5,49.0,45.8,2815157,135.895,2861,3.5,5433.75,2025-06-03 10:59:03.976,0,48.261833346125975,44.52222222222222,40.78261109831846
SEAPEARL,2025-06-04,48.8,49.3,49.7,48.1,1304950,64.079,1551,0.8,5856.375,2025-06-04 10:59:30.823,0,49.038614484890836,44.93333333333333,40.828052181775824
