symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SEMLFBSLGF,2025-05-13,6.8,6.3,6.8,6.2,924387,5.924,272,-0.4,488728000.0,2025-05-13 16:36:53.396,0,6.3,6.3,6.3
SEMLFBSLGF,2025-05-14,6.5,6.2,6.6,6.2,476349,3.034,198,-0.1,459550000.0,2025-05-14 11:55:33.931,0,6.35,6.25,6.15
SEMLFBSLGF,2025-05-15,6.5,5.9,6.5,5.7,328474,1.951,161,-0.5,452256000.0,2025-05-15 09:22:00.520,0,6.473267967572852,6.133333333333333,5.793398699093814
SEMLFBSLGF,2025-05-17,6.0,6.2,6.2,5.7,491514,2.94,173,0.3,430.373,2025-05-17 10:14:52.642,0,6.45,6.15,5.8500000000000005
SEMLFBSLGF,2025-05-18,6.3,5.8,6.4,5.8,598859,3.587,143,-0.4,452.256,2025-05-18 11:08:29.832,0,6.467814388593307,6.08,5.6921856114066935
SEMLFBSLGF,2025-05-19,6.1,5.7,6.1,5.7,176989,1.014,89,-0.1,423.078,2025-05-19 11:06:59.076,0,6.470049016957848,6.016666666666667,5.563284316375485
SEMLFBSLGF,2025-05-20,5.6,5.7,5.8,5.5,156395,0.883,72,,415.784,2025-05-20 11:07:48.747,0,6.446092792166747,5.971428571428571,5.496764350690395
SEMLFBSLGF,2025-05-21,5.9,5.9,6.1,5.8,349180,2.073,124,0.2,415.784,2025-05-21 12:03:38.658,0,6.4090142774872945,5.9625,5.515985722512706
SEMLFBSLGF,2025-05-22,5.9,5.7,5.9,5.6,186618,1.073,93,-0.2,430.373,2025-05-22 11:10:40.572,0,6.3854886655416845,5.933333333333334,5.481178001124983
SEMLFBSLGF,2025-05-24,5.7,5.5,5.7,5.4,159575,0.885,98,-0.2,415.784,2025-05-24 12:04:56.927,0,6.391597448159378,5.89,5.388402551840621
SEMLFBSLGF,2025-05-25,5.4,5.4,5.6,5.4,233482,1.268,81,-0.1,401.195,2025-05-25 12:03:16.868,0,6.40052136445359,5.845454545454545,5.290387726455499
SEMLFBSLGF,2025-05-26,5.5,5.4,5.5,5.3,206355,1.112,62,,393.9,2025-05-26 11:07:38.546,0,6.394042779693519,5.808333333333334,5.222623886973148
SEMLFBSLGF,2025-05-27,5.5,5.4,5.5,5.3,169469,0.913,38,,393.9,2025-05-27 11:06:01.871,0,6.380266816957772,5.776923076923078,5.173579336888383
SEMLFBSLGF,2025-05-28,5.4,5.3,5.4,5.3,151370,0.803,40,-0.1,393.9,2025-05-28 12:02:31.780,0,6.3740206295535575,5.742857142857143,5.111693656160728
SEMLFBSLGF,2025-05-29,5.4,5.7,5.8,5.4,594483,3.343,215,0.4,386.606,2025-05-29 12:00:57.698,0,6.35013659672787,5.74,5.129863403272131
SEMLFBSLGF,2025-06-01,5.9,5.8,6.0,5.7,297885,1.756,97,0.1,415.784,2025-06-01 11:08:26.784,0,6.335225908216049,5.74375,5.152274091783951
SEMLFBSLGF,2025-06-02,5.8,5.7,5.8,5.6,85360,0.485,55,-0.1,423.078,2025-06-02 11:06:58.105,0,6.315361616089998,5.741176470588236,5.1669913250864745
SEMLFBSLGF,2025-06-03,5.6,5.7,5.8,5.6,117753,0.669,69,,415.784,2025-06-03 11:07:25.559,0,6.297215312284494,5.738888888888889,5.180562465493284
SEMLFBSLGF,2025-06-04,5.8,5.7,5.8,5.6,84761,0.482,41,,415.784,2025-06-04 11:07:45.170,0,6.1930535770773405,5.705555555555556,5.218057534033771
