symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SHAHJABANK,2025-05-13,18.2,18.3,18.3,18.1,385436,7.052,165,,20367321000.0,2025-05-13 16:33:56.324,0,18.3,18.3,18.3
SHAHJABANK,2025-05-14,18.3,18.3,18.3,18.1,69362,1.266,57,,20367321000.0,2025-05-14 11:51:50.874,0,18.3,18.3,18.3
SHAHJABANK,2025-05-15,18.3,18.1,18.3,17.9,286314,5.174,95,-0.2,20367321000.0,2025-05-15 09:18:05.520,0,18.421895141649745,18.233333333333334,18.044771525016923
SHAHJABANK,2025-05-17,18.0,17.8,18.2,17.7,278086,4.966,109,-0.3,20144.727,2025-05-17 09:53:57.828,0,18.534267638593622,18.125,17.715732361406378
SHAHJABANK,2025-05-18,17.8,17.9,18.0,17.7,36449,0.651,53,0.1,19810.837,2025-05-18 11:04:33.386,0,18.487921561087425,18.080000000000002,17.67207843891258
SHAHJABANK,2025-05-19,18.0,17.8,18.1,17.7,127278,2.272,98,-0.2,19922.133,2025-05-19 11:03:08.262,0,18.460208282495525,18.033333333333335,17.606458384171145
SHAHJABANK,2025-05-20,17.8,17.9,17.9,17.7,39649,0.707,52,0.1,19810.837,2025-05-20 11:03:43.641,0,18.420362011530052,18.014285714285712,17.608209417041373
SHAHJABANK,2025-05-21,17.8,17.6,17.8,17.5,181516,3.193,140,-0.2,19922.133,2025-05-21 11:41:43.895,0,18.430874849879878,17.9625,17.49412515012012
SHAHJABANK,2025-05-24,17.3,16.9,17.3,16.6,43475,0.732,78,-0.6,19588.243,2025-05-24 11:42:49.847,0,18.64506149042897,17.844444444444445,17.04382739845992
SHAHJABANK,2025-05-25,16.8,16.7,16.8,16.6,67300,1.124,124,-0.2,18809.165,2025-05-25 11:42:16.584,0,18.753914058893614,17.73,16.706085941106387
SHAHJABANK,2025-05-26,16.8,16.6,16.8,16.6,21273,0.353,59,,18586.571,2025-05-26 11:04:13.985,0,18.79996476338888,17.62727272727273,16.45458069115658
SHAHJABANK,2025-05-27,16.6,16.6,16.8,16.5,18549,0.309,48,-0.1,18475.275,2025-05-27 11:02:54.175,0,18.79986202334048,17.541666666666668,16.283471309992855
SHAHJABANK,2025-05-28,16.7,16.7,16.8,16.6,21156,0.353,40,0.1,18475.275,2025-05-28 11:41:14.413,0,18.76629703629273,17.476923076923075,16.18754911755342
SHAHJABANK,2025-05-29,16.6,16.1,16.7,16.1,279972,4.597,118,-0.3,18586.571,2025-05-29 11:41:31.032,0,18.80921278610222,17.37857142857143,15.947930071040641
SHAHJABANK,2025-06-01,16.7,16.0,16.7,16.0,81498,1.307,91,-0.1,17918.79,2025-06-01 11:05:18.881,0,18.83045709573691,17.28666666666667,15.742876237596429
SHAHJABANK,2025-06-02,16.1,16.2,16.4,16.0,11204,0.182,23,0.4,17807.494,2025-06-02 11:03:56.220,0,18.803393098618734,17.21875,15.634106901381264
SHAHJABANK,2025-06-03,16.3,16.5,16.5,16.3,27076,0.445,86,0.3,18030.087,2025-06-03 11:04:01.214,0,18.75056889111476,17.176470588235293,15.602372285355827
SHAHJABANK,2025-06-04,16.5,16.8,16.8,16.5,76259,1.277,75,0.3,18363.978,2025-06-04 11:04:29.139,0,18.69499588996604,17.155555555555555,15.61611522114507
