symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SHARPIND,2025-05-13,17.6,16.8,17.7,16.7,103132,1.778,128,-0.4,5219376000.0,2025-05-13 16:34:14.342,0,16.8,16.8,16.8
SHARPIND,2025-05-14,16.6,16.3,17.0,16.0,70343,1.173,106,-0.5,5097995000.0,2025-05-14 11:52:26.934,0,17.05,16.55,16.05
SHARPIND,2025-05-15,16.5,15.9,16.6,15.7,117372,1.892,145,-0.4,4946269000.0,2025-05-15 09:18:41.285,0,17.069690734479153,16.333333333333332,15.596975932187513
SHARPIND,2025-05-17,16.0,16.6,16.8,16.0,74758,1.235,89,0.7,4824.889,2025-05-17 09:55:52.464,0,17.078232998312526,16.4,15.721767001687471
SHARPIND,2025-05-18,17.0,16.0,17.0,16.0,124309,2.037,140,-0.6,5037.305,2025-05-18 11:05:11.322,0,17.00585712797929,16.32,15.634142872020709
SHARPIND,2025-05-19,16.4,17.3,17.6,16.4,613645,10.628,656,1.3,4855.234,2025-05-19 11:03:22.006,0,17.445391312644123,16.483333333333334,15.521275354022546
SHARPIND,2025-05-20,17.6,17.3,18.0,17.1,144272,2.534,234,,5249.721,2025-05-20 11:03:53.063,0,17.658300524425837,16.6,15.541699475574164
SHARPIND,2025-05-21,17.5,16.7,17.7,16.6,336815,5.744,403,-0.5,5249.721,2025-05-21 11:43:20.025,0,17.604656741649222,16.6125,15.620343258350779
SHARPIND,2025-05-22,17.1,17.0,17.7,16.8,209232,3.598,322,0.3,5067.65,2025-05-22 11:04:25.286,0,17.62215836315251,16.655555555555555,15.688952747958597
SHARPIND,2025-05-24,17.1,17.1,17.4,17.0,55324,0.954,113,0.1,5158.686,2025-05-24 11:42:28.700,0,17.654986910905066,16.7,15.745013089094932
SHARPIND,2025-05-25,17.2,16.8,17.4,16.8,172205,2.924,155,-0.3,5189.031,2025-05-25 11:42:15.199,0,17.621448675657774,16.70909090909091,15.796733142524046
SHARPIND,2025-05-26,16.9,17.3,17.6,16.9,294059,5.078,298,0.5,5097.995,2025-05-26 11:04:02.214,0,17.690922322235853,16.758333333333333,15.825744344430813
SHARPIND,2025-05-27,17.6,17.2,17.6,17.0,116914,2.021,167,-0.1,5249.721,2025-05-27 11:02:46.534,0,17.718711951835363,16.792307692307695,15.865903432780026
SHARPIND,2025-05-28,17.3,16.8,17.4,16.7,85195,1.443,117,-0.4,5219.376,2025-05-28 11:41:12.696,0,17.685571417141027,16.79285714285714,15.900142868573255
SHARPIND,2025-05-29,16.8,16.5,16.9,16.4,145053,2.407,190,-0.3,5097.995,2025-05-29 11:41:07.142,0,17.64806503823236,16.773333333333333,15.898601628434308
SHARPIND,2025-06-01,17.0,16.9,17.2,16.7,87947,1.49,132,0.4,5006.96,2025-06-01 11:05:05.650,0,17.63042239121394,16.78125,15.93207760878606
SHARPIND,2025-06-02,17.1,16.8,17.4,16.7,141202,2.4,221,-0.1,5128.341,2025-06-02 11:03:41.882,0,17.606218418824074,16.78235294117647,15.958487463528865
SHARPIND,2025-06-03,17.1,16.6,17.1,16.4,35733,0.593,82,-0.2,5097.995,2025-06-03 11:03:58.577,0,17.57722203051911,16.772222222222222,15.967222413925334
SHARPIND,2025-06-04,16.9,16.8,16.9,16.4,58653,0.977,85,0.2,5037.305,2025-06-04 11:04:22.219,0,17.57722203051911,16.772222222222222,15.967222413925334
