symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SHURWID,2025-05-13,7.2,7.2,7.2,7.2,20400,0.147,22,,413048000.0,2025-05-13 16:36:33.501,0,7.2,7.2,7.2
SHURWID,2025-05-14,7.1,7.1,7.2,7.0,12966,0.092,15,-0.1,413048000.0,2025-05-14 11:55:08.983,0,7.250000000000002,7.15,7.049999999999999
SHURWID,2025-05-15,6.7,6.8,7.2,6.7,16491,0.112,29,-0.3,407311000.0,2025-05-15 09:21:27.400,0,7.373267967572853,7.033333333333334,6.693398699093815
SHURWID,2025-05-17,6.8,6.9,7.0,6.7,2486,0.017,11,0.2,390.101,2025-05-17 10:13:12.438,0,7.316227766016838,7.0,6.683772233983162
SHURWID,2025-05-18,7.1,6.8,7.1,6.8,13106,0.089,27,-0.1,395.837,2025-05-18 11:07:51.010,0,7.284961536185437,6.959999999999999,6.635038463814561
SHURWID,2025-05-19,7.0,6.8,7.0,6.7,6705,0.045,12,0.2,390.101,2025-05-19 11:06:15.145,0,7.253055434887515,6.933333333333334,6.613611231779152
SHURWID,2025-05-20,6.6,6.5,6.9,6.5,84340,0.551,76,,390.101,2025-05-20 11:07:14.088,0,7.295211342119753,6.871428571428572,6.447645800737391
SHURWID,2025-05-21,6.9,6.6,7.0,6.5,55714,0.367,44,0.3,372.89,2025-05-21 12:01:17.755,0,7.272672379638231,6.8375,6.40232762036177
SHURWID,2025-05-22,6.7,6.7,6.7,6.7,7650,0.051,13,0.1,378.627,2025-05-22 11:10:08.538,0,7.24151027253585,6.822222222222222,6.402934171908594
SHURWID,2025-05-24,6.7,6.5,6.7,6.5,34661,0.226,19,,384.364,2025-05-24 12:01:17.600,0,7.232266887749921,6.790000000000001,6.347733112250081
SHURWID,2025-05-25,6.5,6.5,6.6,6.5,21494,0.14,31,,372.89,2025-05-25 12:00:48.398,0,7.2170895968487265,6.763636363636365,6.310183130424003
SHURWID,2025-05-26,6.5,6.5,6.6,6.4,9646,0.063,19,,372.89,2025-05-26 11:07:09.920,0,7.199621055467804,6.741666666666667,6.28371227786553
SHURWID,2025-05-27,6.4,6.4,6.5,6.3,85464,0.545,45,-0.1,372.89,2025-05-27 11:05:36.078,0,7.191562693555144,6.7153846153846155,6.239206537214087
SHURWID,2025-05-28,6.7,6.7,7.0,6.7,241661,1.66,189,0.3,367.154,2025-05-28 11:58:19.052,0,7.17321081154883,6.714285714285714,6.255360617022599
SHURWID,2025-05-29,6.9,6.9,6.9,6.7,26004,0.179,30,,384.364,2025-05-29 11:57:30.845,0,7.179607673372349,6.7266666666666675,6.273725659960986
SHURWID,2025-06-01,6.9,6.7,6.9,6.6,11812,0.079,26,-0.2,395.837,2025-06-01 11:08:07.110,0,7.163748219369606,6.725,6.286251780630393
SHURWID,2025-06-02,6.5,6.7,6.9,6.4,32245,0.214,32,,384.364,2025-06-02 11:06:32.490,0,7.14934026049068,6.723529411764706,6.297718563038732
SHURWID,2025-06-03,6.5,6.4,6.8,6.3,83748,0.537,86,-0.3,384.364,2025-06-03 11:07:01.418,0,7.145112009885612,6.705555555555556,6.2659991012255
SHURWID,2025-06-04,6.6,6.3,6.6,6.2,63784,0.402,37,0.2,367.154,2025-06-04 11:07:22.175,0,7.062289004838292,6.655555555555555,6.248822106272818
