symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SHYAMPSUG,2025-05-13,135.7,135.6,141.0,135.6,1111,0.151,17,-6.4,710000000.0,2025-05-13 16:28:14.356,0,135.6,135.6,135.6
SHYAMPSUG,2025-05-14,136.0,134.2,139.0,132.6,2070,0.278,48,-2.0,678000000.0,2025-05-14 11:46:20.726,0,136.29999999999995,134.89999999999998,133.5
SHYAMPSUG,2025-05-15,132.1,133.1,135.1,132.1,5434,0.721,88,0.9,671000000.0,2025-05-15 09:12:19.147,0,136.34613456709633,134.29999999999998,132.25386543290364
SHYAMPSUG,2025-05-17,133.2,135.3,137.9,133.2,35687,4.819,41,3.9,665.5,2025-05-17 09:17:06.587,0,136.52230829233162,134.55,132.5776917076684
SHYAMPSUG,2025-05-18,135.3,134.3,142.0,133.6,1275,0.171,24,-1.0,676.5,2025-05-18 10:57:22.054,0,136.27538728169378,134.5,132.72461271830622
SHYAMPSUG,2025-05-19,132.8,133.2,137.9,132.8,3647,0.485,41,2.4,671.5,2025-05-19 10:57:10.949,0,136.17160120510246,134.28333333333333,132.3950654615642
SHYAMPSUG,2025-05-20,131.1,133.7,134.9,131.1,3528,0.471,36,-1.1,666.0,2025-05-20 10:56:56.920,0,135.99523177970343,134.2,132.40476822029655
SHYAMPSUG,2025-05-21,134.0,132.9,135.4,131.2,4530,0.601,32,-1.0,668.5,2025-05-21 11:03:26.764,0,135.9241305944726,134.0375,132.1508694055274
SHYAMPSUG,2025-05-22,139.0,135.6,139.0,132.4,1101,0.149,10,2.7,664.5,2025-05-22 10:57:03.412,0,136.24295634678444,134.2111111111111,132.17926587543778
SHYAMPSUG,2025-05-24,142.9,132.7,142.9,132.7,507,0.067,9,-2.9,678.0,2025-05-24 11:03:17.610,0,136.1901643129111,134.06,131.9298356870889
SHYAMPSUG,2025-05-25,131.7,132.4,136.9,131.1,3236,0.426,58,-0.2,663.5,2025-05-25 11:03:30.241,0,136.1532016589986,133.9090909090909,131.66498015918322
SHYAMPSUG,2025-05-26,136.9,132.5,136.9,132.3,2402,0.318,38,0.1,662.0,2025-05-26 10:57:43.078,0,136.07706719076643,133.79166666666666,131.5062661425669
SHYAMPSUG,2025-05-27,133.0,132.5,135.9,132.5,10338,1.375,124,,662.5,2025-05-27 10:56:52.258,0,135.9934265351739,133.69230769230768,131.39118884944145
SHYAMPSUG,2025-05-28,133.0,130.7,135.0,130.0,9240,1.212,98,2.5,662.5,2025-05-28 11:02:20.934,0,136.17902490522897,133.47857142857143,130.77811795191388
SHYAMPSUG,2025-05-29,134.9,134.9,134.9,134.9,51,0.007,2,4.2,653.5,2025-05-29 11:02:51.409,0,136.27687833121215,133.57333333333332,130.8697883354545
SHYAMPSUG,2025-06-01,128.1,128.1,134.8,128.0,6886,0.883,58,-0.2,674.5,2025-06-01 10:57:27.902,0,136.95597733901423,133.23125,129.50652266098575
SHYAMPSUG,2025-06-02,132.0,130.4,132.0,130.0,250,0.033,2,1.9,640.5,2025-06-02 10:57:08.466,0,136.91602570286403,133.06470588235294,129.21338606184185
SHYAMPSUG,2025-06-04,134.0,134.0,134.0,134.0,1,,1,3.6,652.0,2025-06-04 10:57:34.699,0,136.8839232576387,133.11666666666667,129.34941007569464
