symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SIBL,2025-05-13,8.6,8.6,9.2,8.5,456652,4.028,259,,9805334000.0,2025-05-13 16:36:11.979,0,8.6,8.6,8.6
SIBL,2025-05-14,8.7,8.6,8.8,8.4,224462,1.925,173,,9805334000.0,2025-05-14 11:54:37.740,0,8.6,8.6,8.6
SIBL,2025-05-15,8.6,8.4,8.7,8.3,296272,2.521,150,-0.1,9805334000.0,2025-05-15 09:20:51.138,0,8.721895141649746,8.533333333333333,8.34477152501692
SIBL,2025-05-17,8.5,8.5,8.6,8.4,242494,2.059,95,0.1,9577.303,2025-05-17 10:09:23.523,0,8.69083123951777,8.525,8.35916876048223
SIBL,2025-05-18,8.9,8.6,8.9,8.5,206313,1.774,58,0.2,9691.318,2025-05-18 11:07:09.629,0,8.7,8.540000000000001,8.380000000000003
SIBL,2025-05-19,8.7,8.6,8.8,8.4,230300,1.978,76,0.1,9805.334,2025-05-19 11:05:41.916,0,8.702752523165193,8.549999999999999,8.397247476834805
SIBL,2025-05-20,8.8,8.7,8.9,8.5,5326882,46.345,122,0.1,9805.334,2025-05-20 11:06:26.476,0,8.747554685799113,8.571428571428571,8.39530245705803
SIBL,2025-05-21,8.8,8.7,8.8,8.6,5240836,45.595,105,,9919.349,2025-05-21 11:56:51.948,0,8.77290496217739,8.5875,8.40209503782261
SIBL,2025-05-22,8.4,8.7,8.8,8.4,608681,5.294,62,,9919.349,2025-05-22 11:09:07.576,0,8.78856180831641,8.6,8.411438191683589
SIBL,2025-05-24,8.6,8.5,8.8,8.5,43972,0.376,36,,9919.349,2025-05-24 11:56:51.424,0,8.77867962264113,8.59,8.40132037735887
SIBL,2025-05-25,8.7,8.5,8.8,8.4,186329,1.614,59,0.1,9691.318,2025-05-25 11:55:45.848,0,8.769011457108851,8.58181818181818,8.39462490652751
SIBL,2025-05-26,8.4,8.4,8.6,8.2,205969,1.732,138,,9691.318,2025-05-26 11:06:18.287,0,8.772147133432298,8.566666666666666,8.361186199901034
SIBL,2025-05-27,8.6,8.9,9.2,8.4,1567773,14.186,442,0.5,9577.303,2025-05-27 11:04:47.535,0,8.85788733079434,8.592307692307692,8.326728053821045
SIBL,2025-05-28,9.0,8.6,9.0,8.4,183411,1.584,105,-0.3,10147.38,2025-05-28 11:54:21.081,0,8.84880675524527,8.592857142857143,8.336907530469016
SIBL,2025-05-29,8.5,7.8,8.5,7.8,945318,7.41,398,-0.8,9805.334,2025-05-29 11:55:17.208,0,9.006476151587623,8.54,8.073523848412375
SIBL,2025-06-01,7.6,7.5,7.9,7.0,560274,4.139,230,-0.1,8893.21,2025-06-01 11:07:43.092,0,9.151387462923433,8.475,7.798612537076566
SIBL,2025-06-02,7.5,7.2,7.8,7.2,345181,2.543,214,-0.3,8551.163,2025-06-02 11:06:08.741,0,9.289150288361938,8.4,7.510849711638063
SIBL,2025-06-03,7.5,7.2,7.5,7.1,196717,1.406,120,,8209.117,2025-06-03 11:06:29.945,0,9.357486099715814,8.333333333333334,7.309180566950853
SIBL,2025-06-04,7.2,7.2,7.3,7.1,143542,1.03,81,0.1,8209.117,2025-06-04 11:06:59.375,0,9.393237843215129,8.255555555555555,7.117873267895981
