symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SICL,2025-05-13,23.2,22.6,23.5,22.1,193690,4.453,594,-0.6,928000000.0,2025-05-13 16:32:40.065,0,22.6,22.6,22.6
SICL,2025-05-14,22.9,21.5,23.1,21.2,437570,9.667,469,-1.1,904000000.0,2025-05-14 11:51:08.750,0,23.150000000000002,22.05,20.95
SICL,2025-05-15,21.2,21.3,22.0,20.7,117066,2.47,195,-0.2,860000000.0,2025-05-15 09:17:14.934,0,22.943095213298818,21.8,20.656904786701183
SICL,2025-05-17,21.3,21.0,21.6,20.5,262090,5.521,379,-0.3,852.0,2025-05-17 09:49:08.008,0,22.80830459735946,21.6,20.391695402640543
SICL,2025-05-18,21.2,21.1,22.2,21.0,235224,5.072,382,0.1,840.0,2025-05-18 11:03:37.168,0,22.652388823271036,21.5,20.347611176728964
SICL,2025-05-19,21.2,20.8,21.7,20.2,126070,2.617,206,-0.1,844.0,2025-05-19 11:02:17.749,0,22.557594330253906,21.383333333333336,20.209072336412767
SICL,2025-05-20,20.5,21.0,21.2,20.3,170151,3.529,280,0.2,832.0,2025-05-20 11:02:44.766,0,22.448338168129453,21.32857142857143,20.208804689013405
SICL,2025-05-21,21.4,21.1,21.4,20.7,61847,1.303,154,,840.0,2025-05-21 11:36:01.342,0,22.358300524425836,21.3,20.241699475574165
SICL,2025-05-22,21.1,20.8,21.4,20.6,72342,1.522,91,-0.3,844.0,2025-05-22 11:03:11.332,0,22.290542426305766,21.244444444444447,20.198346462583128
SICL,2025-05-24,21.1,20.1,21.1,20.0,83273,1.687,153,-0.7,832.0,2025-05-24 11:37:33.960,0,22.336813987323648,21.130000000000003,19.923186012676357
SICL,2025-05-25,20.2,20.0,20.4,19.9,50746,1.021,137,-0.1,804.0,2025-05-25 11:36:34.849,0,22.34867944077139,21.027272727272727,19.705866013774063
SICL,2025-05-26,20.4,19.8,20.6,19.8,27577,0.555,124,-0.2,800.0,2025-05-26 11:03:17.813,0,22.360560285509923,20.925,19.48943971449008
SICL,2025-05-27,20.5,19.9,20.5,19.8,79855,1.594,110,0.1,792.0,2025-05-27 11:02:01.174,0,22.32963288516033,20.846153846153847,19.362674807147364
SICL,2025-05-28,20.4,19.5,20.4,19.2,68914,1.344,129,-0.4,796.0,2025-05-28 11:35:58.176,0,22.338800086318514,20.75,19.161199913681486
SICL,2025-05-29,20.1,19.7,21.3,18.9,46462,0.929,87,0.2,780.0,2025-05-29 11:36:18.727,0,22.301850794617064,20.68,19.058149205382936
SICL,2025-06-01,20.1,19.8,20.1,19.3,14042,0.276,41,0.1,788.0,2025-06-01 11:04:05.749,0,22.252114009527297,20.625,18.997885990472703
SICL,2025-06-02,19.7,19.5,19.9,19.2,46964,0.913,105,-0.3,792.0,2025-06-02 11:02:54.718,0,22.22376843014913,20.558823529411764,18.8938786286744
SICL,2025-06-03,19.9,19.6,20.8,19.3,52386,1.068,91,0.1,780.0,2025-06-03 11:02:38.262,0,22.182155583684207,20.505555555555556,18.828955527426906
SICL,2025-06-04,20.0,19.9,20.2,19.5,64199,1.274,113,0.3,784.0,2025-06-04 11:03:18.159,0,21.707463215489344,20.355555555555554,19.003647895621764
