symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SILCOPHL,2025-05-13,13.2,13.6,14.2,13.2,120795,1.662,122,-0.5,1463679000.0,2025-05-13 16:34:45.497,0,13.6,13.6,13.6
SILCOPHL,2025-05-14,13.9,13.4,13.9,13.4,57586,0.776,85,-0.2,1411775000.0,2025-05-14 11:52:58.194,0,13.7,13.5,13.3
SILCOPHL,2025-05-15,13.3,13.3,13.7,13.2,99770,1.329,91,-0.1,1391014000.0,2025-05-15 09:19:14.049,0,13.68277715911826,13.433333333333332,13.183889507548404
SILCOPHL,2025-05-17,13.3,13.5,13.6,13.1,123137,1.652,127,0.2,1380.633,2025-05-17 09:59:22.141,0,13.673606797749978,13.45,13.226393202250021
SILCOPHL,2025-05-18,14.1,13.4,14.3,13.3,68876,0.942,82,-0.1,1401.395,2025-05-18 11:05:40.881,0,13.643960780543711,13.440000000000001,13.236039219456291
SILCOPHL,2025-05-19,13.5,13.5,13.7,13.2,29222,0.395,119,0.1,1391.014,2025-05-19 11:04:09.158,0,13.641485421551268,13.450000000000001,13.258514578448734
SILCOPHL,2025-05-20,13.7,13.6,13.8,13.4,67399,0.915,113,0.3,1401.395,2025-05-20 11:04:41.008,0,13.677460072883656,13.471428571428572,13.265397069973487
SILCOPHL,2025-05-21,14.0,13.8,14.0,13.6,202612,2.791,204,0.2,1411.775,2025-05-21 11:46:51.337,0,13.802973750965556,13.5125,13.222026249034442
SILCOPHL,2025-05-22,13.5,13.8,14.2,13.5,440880,6.186,288,,1432.537,2025-05-22 11:07:17.633,0,13.872551623560742,13.544444444444444,13.216337265328146
SILCOPHL,2025-05-24,13.7,13.4,14.0,13.3,66283,0.897,123,-0.4,1432.537,2025-05-24 11:47:40.314,0,13.853109888428072,13.530000000000001,13.20689011157193
SILCOPHL,2025-05-25,13.8,13.3,13.8,13.3,88570,1.189,142,-0.1,1391.014,2025-05-25 11:47:15.721,0,13.844347071174285,13.509090909090908,13.17383474700753
SILCOPHL,2025-05-26,13.4,13.8,14.1,13.4,329841,4.572,409,0.5,1380.633,2025-05-26 11:04:46.097,0,13.892344320475633,13.533333333333333,13.174322346191033
SILCOPHL,2025-05-27,13.9,13.4,13.9,13.3,187077,2.529,141,-0.4,1432.537,2025-05-27 11:03:28.751,0,13.875246865915681,13.523076923076925,13.170906980238168
SILCOPHL,2025-05-28,13.4,13.1,13.6,13.0,166627,2.194,181,-0.3,1391.014,2025-05-28 11:46:05.605,0,13.896159834671233,13.492857142857144,13.089554451043055
SILCOPHL,2025-05-29,13.2,13.3,13.4,13.1,91868,1.219,116,0.2,1359.872,2025-05-29 11:45:49.358,0,13.881331118487797,13.48,13.078668881512204
SILCOPHL,2025-06-01,13.3,13.6,13.7,13.3,92439,1.253,150,0.3,1380.633,2025-06-01 11:05:53.982,0,13.880405841137543,13.4875,13.094594158862458
SILCOPHL,2025-06-02,13.7,13.6,13.8,13.5,168868,2.295,196,,1411.775,2025-06-02 11:04:35.273,0,13.878951229030497,13.494117647058824,13.10928406508715
SILCOPHL,2025-06-03,13.6,13.6,13.7,13.4,235524,3.181,140,,1411.775,2025-06-03 11:04:43.140,0,13.877123616632826,13.5,13.122876383367174
SILCOPHL,2025-06-04,13.5,13.7,13.7,13.5,151594,2.072,88,0.1,1411.775,2025-06-04 11:05:05.179,0,13.891256776837995,13.505555555555556,13.119854334273118
