symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SILVAPHL,2025-05-13,9.9,9.7,10.0,9.7,50119,0.489,60,-0.2,1351350000.0,2025-05-13 16:35:50.319,0,9.7,9.7,9.7
SILVAPHL,2025-05-14,9.6,9.5,9.6,9.2,32034,0.299,49,-0.3,1324050000.0,2025-05-14 11:54:25.483,0,9.799999999999999,9.6,9.4
SILVAPHL,2025-05-15,9.8,9.5,9.8,9.3,38984,0.367,36,,1296750000.0,2025-05-15 09:20:29.624,0,9.755228474983078,9.566666666666666,9.378104858350255
SILVAPHL,2025-05-17,9.3,9.6,9.7,9.2,30253,0.286,42,0.1,1296.75,2025-05-17 10:07:56.058,0,9.74083123951777,9.575,9.40916876048223
SILVAPHL,2025-05-18,9.8,9.5,9.8,9.5,77101,0.737,68,0.1,1310.4,2025-05-18 11:06:56.023,0,9.719999999999997,9.559999999999999,9.4
SILVAPHL,2025-05-19,9.7,9.5,9.7,9.3,36209,0.342,49,,1296.75,2025-05-19 11:05:25.875,0,9.702752523165193,9.549999999999999,9.397247476834805
SILVAPHL,2025-05-20,9.3,9.7,9.8,9.3,67428,0.651,68,0.2,1296.75,2025-05-20 11:06:00.843,0,9.747554685799113,9.571428571428571,9.39530245705803
SILVAPHL,2025-05-21,9.7,9.7,9.8,9.6,59415,0.576,55,0.1,1324.05,2025-05-21 11:54:51.100,0,9.77290496217739,9.5875,9.40209503782261
SILVAPHL,2025-05-22,9.7,9.6,9.9,9.6,24002,0.233,41,0.1,1324.05,2025-05-22 11:08:38.147,0,9.763866841644706,9.588888888888889,9.413910936133071
SILVAPHL,2025-05-24,9.7,9.6,9.9,9.5,26746,0.259,31,-0.1,1310.4,2025-05-24 11:55:19.810,0,9.75613247725836,9.59,9.42386752274164
SILVAPHL,2025-05-25,9.7,9.5,9.8,9.5,50276,0.48,70,-0.1,1310.4,2025-05-25 11:54:13.374,0,9.748457297998392,9.58181818181818,9.415179065637968
SILVAPHL,2025-05-26,9.6,9.9,10.4,9.6,276079,2.745,188,0.4,1296.75,2025-05-26 11:05:59.574,0,9.845796780812915,9.608333333333333,9.37086988585375
SILVAPHL,2025-05-27,10.0,9.8,10.2,9.7,97075,0.967,77,-0.2,1351.35,2025-05-27 11:04:30.101,0,9.873047335527259,9.623076923076923,9.373106510626586
SILVAPHL,2025-05-28,10.1,9.5,10.1,9.4,78721,0.755,52,-0.3,1337.7,2025-05-28 11:52:50.141,0,9.86336565391661,9.614285714285714,9.365205774654818
SILVAPHL,2025-05-29,10.0,9.4,10.0,9.2,155313,1.456,101,-0.1,1296.75,2025-05-29 11:52:43.375,0,9.863312235441754,9.6,9.336687764558246
SILVAPHL,2025-06-01,9.9,9.6,9.9,9.2,46073,0.44,65,0.2,1283.1,2025-06-01 11:07:09.044,0,9.854950975679639,9.6,9.34504902432036
SILVAPHL,2025-06-02,9.6,9.6,9.7,9.5,33846,0.326,40,0.1,1310.4,2025-06-02 11:05:37.455,0,9.847338776960337,9.6,9.352661223039663
SILVAPHL,2025-06-03,9.6,9.6,9.7,9.5,30291,0.29,35,,1310.4,2025-06-03 11:05:48.090,0,9.840370085030933,9.600000000000001,9.35962991496907
SILVAPHL,2025-06-04,9.4,9.5,9.6,9.4,17536,0.167,50,-0.1,1310.4,2025-06-04 11:06:21.417,0,9.828229546983758,9.58888888888889,9.349548230794023
