symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SIMTEX,2025-05-13,15.5,15.2,15.5,15.0,472902,7.178,299,-0.2,1225769000.0,2025-05-13 16:34:28.175,0,15.2,15.2,15.2
SIMTEX,2025-05-14,15.1,14.9,15.3,14.8,196609,2.945,206,-0.3,1209850000.0,2025-05-14 11:52:43.357,0,15.350000000000001,15.05,14.75
SIMTEX,2025-05-15,15.0,14.6,15.1,14.4,579424,8.544,292,-0.3,1185971000.0,2025-05-15 09:18:58.130,0,15.389897948556637,14.9,14.410102051443364
SIMTEX,2025-05-17,14.8,14.6,14.8,14.5,443185,6.485,279,,1162.093,2025-05-17 09:58:34.493,0,15.32249371855331,14.825,14.327506281446688
SIMTEX,2025-05-18,14.6,14.8,15.1,14.6,456452,6.804,243,0.2,1162.093,2025-05-18 11:05:28.273,0,15.2654211490264,14.819999999999999,14.374578850973597
SIMTEX,2025-05-19,14.9,15.4,16.1,14.8,996528,15.399,725,0.6,1178.012,2025-05-19 11:03:48.083,0,15.510149793825494,14.916666666666666,14.323183539507838
SIMTEX,2025-05-20,15.4,15.5,15.5,15.1,630227,9.704,431,0.1,1225.769,2025-05-20 11:04:16.584,0,15.68452277432634,15.0,14.31547722567366
SIMTEX,2025-05-21,15.6,15.8,15.9,15.5,923577,14.521,541,0.3,1233.728,2025-05-21 11:44:50.741,0,15.930662386291806,15.1,14.269337613708194
SIMTEX,2025-05-22,15.7,15.5,16.0,15.4,381908,5.977,311,-0.3,1257.607,2025-05-22 11:06:52.349,0,15.966966912147633,15.144444444444446,14.321921976741258
SIMTEX,2025-05-24,15.6,15.1,15.6,15.1,292328,4.452,249,-0.4,1233.728,2025-05-24 11:44:55.009,0,15.920768851837725,15.14,14.359231148162277
SIMTEX,2025-05-25,15.4,15.0,15.4,14.8,569039,8.549,358,-0.1,1201.89,2025-05-25 11:44:24.064,0,15.876045828435418,15.127272727272727,14.378499626110036
SIMTEX,2025-05-26,15.2,15.0,15.2,14.8,466378,7.026,317,,1193.931,2025-05-26 11:04:30.019,0,15.837006092832477,15.116666666666667,14.396327240500858
SIMTEX,2025-05-27,15.1,14.9,15.3,14.9,312243,4.678,197,-0.1,1193.931,2025-05-27 11:03:11.344,0,15.801646415445624,15.100000000000001,14.398353584554378
SIMTEX,2025-05-28,15.2,14.9,15.3,14.8,399746,5.967,382,,1185.971,2025-05-28 11:43:14.162,0,15.769640525919188,15.085714285714285,14.401788045509383
SIMTEX,2025-05-29,15.1,15.0,15.1,14.8,326342,4.883,228,0.1,1185.971,2025-05-29 11:43:02.487,0,15.742117814289873,15.08,14.417882185710127
SIMTEX,2025-06-01,15.2,15.4,15.4,15.1,331501,5.077,272,0.4,1193.931,2025-06-01 11:05:24.438,0,15.759545297913645,15.1,14.440454702086354
SIMTEX,2025-06-02,15.6,15.5,15.8,15.5,563162,8.814,329,0.1,1225.769,2025-06-02 11:04:06.244,0,15.790495895673336,15.123529411764707,14.456562927856078
SIMTEX,2025-06-03,15.4,15.2,15.5,15.1,227845,3.476,180,-0.1,1233.728,2025-06-03 11:04:14.413,0,15.77689874084349,15.127777777777778,14.478656814712066
SIMTEX,2025-06-04,15.1,15.3,15.4,15.1,527232,8.045,254,0.1,1209.85,2025-06-04 11:04:43.431,0,15.786530598075515,15.133333333333335,14.480136068591154
