symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SINGERBD,2025-05-13,109.8,107.0,112.0,105.5,23137,2.525,120,-1.7,10688144000.0,2025-05-13 16:28:38.436,0,107.0,107.0,107.0
SINGERBD,2025-05-14,106.0,107.0,108.0,106.0,8222,0.88,32,1.0,10668204000.0,2025-05-14 11:46:45.327,0,107.0,107.0,107.0
SINGERBD,2025-05-15,107.0,106.7,107.3,106.7,12481,1.334,66,0.2,10668204000.0,2025-05-15 09:12:36.572,0,107.18284271247461,106.89999999999999,106.61715728752537
SINGERBD,2025-05-17,106.5,107.9,107.9,106.5,3802,0.41,17,0.9,10638.293,2025-05-17 09:19:05.207,0,108.05000000000001,107.15,106.25
SINGERBD,2025-05-18,107.5,105.2,107.5,105.0,8649,0.915,81,-2.7,10757.936,2025-05-18 10:57:47.240,0,108.51544866059933,106.75999999999999,105.00455133940065
SINGERBD,2025-05-19,105.2,104.1,106.0,104.0,4344,0.453,39,-1.2,10488.739,2025-05-19 10:57:39.603,0,108.86595850733319,106.31666666666666,103.76737482600014
SINGERBD,2025-05-20,104.0,105.0,105.2,103.0,17530,1.829,193,1.1,10379.065,2025-05-20 10:57:18.843,0,108.66226277455947,106.12857142857142,103.59488008258337
SINGERBD,2025-05-21,107.0,104.1,107.0,104.0,2852,0.298,41,-0.9,10468.798,2025-05-21 11:06:18.874,0,108.59850876627927,105.875,103.15149123372073
SINGERBD,2025-05-22,104.1,103.3,105.5,103.0,11068,1.148,81,-1.1,10379.065,2025-05-22 10:57:41.015,0,108.62415485848246,105.58888888888889,102.55362291929532
SINGERBD,2025-05-24,106.0,103.3,106.0,103.0,2842,0.293,33,,10299.303,2025-05-24 11:06:11.564,0,108.55023510105444,105.35999999999999,102.16976489894553
SINGERBD,2025-05-25,103.2,104.2,104.9,100.1,12282,1.266,65,-0.1,10299.303,2025-05-25 11:06:17.952,0,108.36857661730612,105.25454545454545,102.14051429178478
SINGERBD,2025-05-26,103.0,101.1,105.0,101.0,10235,1.043,69,-1.2,10389.036,2025-05-26 10:58:12.548,0,108.6717168582422,104.90833333333335,101.14494980842449
SINGERBD,2025-05-27,101.6,101.5,103.0,100.0,20436,2.059,95,0.8,10079.957,2025-05-27 10:57:20.347,0,108.69251242535555,104.64615384615385,100.59979526695216
SINGERBD,2025-05-28,102.8,101.9,103.9,100.3,3386,0.345,61,1.3,10119.838,2025-05-28 11:05:12.147,0,108.59780492722182,104.45,100.30219507277819
SINGERBD,2025-05-29,101.0,100.4,103.9,98.3,12443,1.254,126,-1.5,10159.719,2025-05-29 11:06:03.317,0,108.66773142393049,104.18,99.69226857606952
SINGERBD,2025-06-01,100.4,100.4,102.0,100.0,15699,1.584,109,-0.4,10010.165,2025-06-01 10:58:03.744,0,108.65860352370566,103.94375,99.22889647629432
SINGERBD,2025-06-02,101.9,100.2,101.9,99.5,25726,2.578,177,1.0,10010.165,2025-06-02 10:57:39.868,0,108.62516391070947,103.7235294117647,98.82189491281993
SINGERBD,2025-06-03,102.0,101.0,102.0,100.6,3631,0.367,33,0.8,9990.224,2025-06-03 10:57:38.871,0,108.49645055683038,103.57222222222222,98.64799388761406
SINGERBD,2025-06-04,101.7,102.1,103.0,101.2,7954,0.81,49,2.0,10069.987,2025-06-04 10:58:07.236,0,107.97142614436129,103.30000000000001,98.62857385563873
