symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SINOBANGLA,2025-05-13,39.3,38.8,39.9,38.0,31806,1.241,178,-0.5,1190588000.0,2025-05-13 16:30:52.138,0,38.8,38.8,38.8
SINOBANGLA,2025-05-14,38.1,38.5,39.0,37.9,25470,0.98,103,0.1,1175440000.0,2025-05-14 11:48:49.862,0,38.949999999999996,38.65,38.35
SINOBANGLA,2025-05-15,38.0,37.2,38.4,37.0,68883,2.588,183,-1.3,1166352000.0,2025-05-15 09:15:20.892,0,39.55551111039997,38.166666666666664,36.77782222293336
SINOBANGLA,2025-05-17,37.2,37.9,38.6,37.2,20340,0.77,81,0.7,1126.968,2025-05-17 09:34:59.282,0,39.32474487139159,38.1,36.875255128608416
SINOBANGLA,2025-05-18,38.9,37.9,39.5,37.6,31157,1.204,105,,1148.175,2025-05-18 11:00:57.342,0,39.16706820024784,38.06,36.952931799752164
SINOBANGLA,2025-05-19,37.6,37.7,38.3,37.4,51227,1.938,135,-0.2,1148.175,2025-05-19 11:00:04.682,0,39.04562580942387,38.0,36.95437419057613
SINOBANGLA,2025-05-20,38.0,38.3,38.6,37.6,28983,1.107,83,0.8,1142.116,2025-05-20 10:59:55.951,0,39.03342490419198,38.042857142857144,37.05228938152231
SINOBANGLA,2025-05-21,38.8,40.2,41.8,38.4,303763,12.331,512,1.9,1160.293,2025-05-21 11:21:18.970,0,40.01378627808491,38.3125,36.61121372191509
SINOBANGLA,2025-05-22,41.1,39.8,41.1,39.5,50476,2.044,150,-0.4,1217.853,2025-05-22 11:00:34.083,0,40.33436431770715,38.47777777777778,36.621191237848414
SINOBANGLA,2025-05-24,39.2,39.3,40.3,39.0,156743,6.222,250,-0.5,1205.735,2025-05-24 11:20:30.778,0,40.38909813842779,38.56,36.730901861572214
SINOBANGLA,2025-05-25,40.8,38.8,40.8,38.7,91557,3.584,185,-0.5,1190.588,2025-05-25 11:20:15.411,0,40.33124547889817,38.58181818181818,36.83239088473819
SINOBANGLA,2025-05-26,39.4,38.7,39.6,38.2,110771,4.296,188,-0.1,1175.44,2025-05-26 11:00:35.398,0,40.267889271878225,38.59166666666667,36.91544406145511
SINOBANGLA,2025-05-27,38.6,38.9,39.6,38.6,37111,1.445,116,0.2,1172.411,2025-05-27 10:59:16.786,0,40.23420879236503,38.61538461538461,36.996560438404195
SINOBANGLA,2025-05-28,39.3,38.1,39.3,38.0,88690,3.405,228,-0.8,1178.47,2025-05-28 11:19:56.467,0,40.16093597285963,38.57857142857143,36.996206884283225
SINOBANGLA,2025-05-29,39.7,38.9,39.8,37.9,72612,2.789,164,0.8,1154.234,2025-05-29 11:19:49.937,0,40.13709683060849,38.6,37.06290316939151
SINOBANGLA,2025-06-01,38.8,38.9,39.3,38.5,24902,0.972,90,,1178.47,2025-06-01 11:00:45.370,0,40.114107398751216,38.61875,37.12339260124878
SINOBANGLA,2025-06-02,39.2,39.4,39.8,39.0,95019,3.746,243,0.5,1178.47,2025-06-02 10:59:52.617,0,40.16127635626688,38.66470588235294,37.168135408439
SINOBANGLA,2025-06-03,39.6,39.7,40.0,38.9,94350,3.726,169,-0.2,1193.617,2025-06-03 11:00:04.887,0,40.25200878039962,38.72222222222222,37.19243566404482
SINOBANGLA,2025-06-04,40.8,40.0,40.8,39.2,45896,1.834,139,0.3,1202.706,2025-06-04 11:00:20.186,0,40.427165610717026,38.78888888888889,37.15061216706076
