symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SIPLC,2025-05-13,45.5,44.8,45.6,44.6,56993,2.564,209,0.1,1796000000.0,2025-05-13 16:30:31.024,0,44.8,44.8,44.8
SIPLC,2025-05-14,45.1,43.4,45.3,43.1,44148,1.947,183,-1.4,1792000000.0,2025-05-14 11:48:31.444,0,45.499999999999986,44.099999999999994,42.7
SIPLC,2025-05-15,44.6,42.3,44.6,42.2,36843,1.574,153,-1.1,1736000000.0,2025-05-15 09:14:57.434,0,45.54613456709637,43.5,41.45386543290363
SIPLC,2025-05-17,44.0,42.3,44.0,42.0,69801,2.954,194,0.1,1692.0,2025-05-17 09:32:37.348,0,45.2542638584174,43.199999999999996,41.14573614158259
SIPLC,2025-05-18,43.8,42.7,43.8,42.5,83689,3.612,223,0.4,1692.0,2025-05-18 11:00:31.874,0,44.9804254837669,43.1,41.2195745162331
SIPLC,2025-05-19,43.7,42.6,43.7,41.7,66794,2.828,153,-0.1,1708.0,2025-05-19 10:59:42.143,0,44.77324161683405,43.01666666666667,41.260091716499296
SIPLC,2025-05-20,42.3,42.6,43.2,42.0,41801,1.773,191,,1704.0,2025-05-20 10:59:38.915,0,44.60935226226296,42.957142857142856,41.30493345202275
SIPLC,2025-05-21,42.3,42.1,43.4,42.0,48209,2.035,108,-0.5,1704.0,2025-05-21 11:19:44.108,0,44.496207763315425,42.85,41.20379223668458
SIPLC,2025-05-22,42.9,42.4,42.9,42.1,16068,0.682,78,0.3,1684.0,2025-05-22 11:00:07.997,0,44.377621275493226,42.8,41.22237872450677
SIPLC,2025-05-24,42.8,41.8,42.8,41.7,32969,1.384,80,-0.6,1696.0,2025-05-24 11:18:53.411,0,44.31245154965971,42.7,41.08754845034029
SIPLC,2025-05-25,42.9,41.8,42.9,41.5,28121,1.178,132,,1672.0,2025-05-25 11:18:43.335,0,44.24034240168694,42.61818181818182,40.9960212346767
SIPLC,2025-05-26,41.2,41.4,42.5,41.2,53477,2.229,163,-0.4,1672.0,2025-05-26 11:00:20.053,0,44.209461856745946,42.516666666666666,40.823871476587385
SIPLC,2025-05-27,41.7,41.8,42.5,41.4,24338,1.021,147,0.4,1656.0,2025-05-27 10:59:04.730,0,44.1321688566767,42.46153846153846,40.79090806640022
SIPLC,2025-05-28,40.0,41.2,42.5,40.0,79894,3.299,183,-0.6,1672.0,2025-05-28 11:18:21.054,0,44.10748086068152,42.371428571428574,40.63537628217563
SIPLC,2025-05-29,42.2,42.0,43.0,41.1,51752,2.172,145,0.8,1648.0,2025-05-29 11:18:15.813,0,44.034057815419345,42.34666666666667,40.659275517914
SIPLC,2025-06-01,42.9,42.9,43.1,42.0,46984,2.008,244,1.1,1680.0,2025-06-01 11:00:09.036,0,44.03687488203095,42.38125,40.72562511796905
SIPLC,2025-06-02,44.5,43.3,44.5,42.6,43533,1.872,147,0.3,1716.0,2025-06-02 10:59:38.509,0,44.098658782090915,42.43529411764706,40.77192945320321
SIPLC,2025-06-03,42.5,42.4,43.8,42.0,52464,2.221,76,-0.7,1732.0,2025-06-03 10:59:48.638,0,44.04991408706428,42.43333333333333,40.81675257960238
SIPLC,2025-06-04,42.5,43.0,43.2,42.0,15008,0.642,58,0.6,1696.0,2025-06-04 11:00:08.369,0,43.516549289953254,42.333333333333336,41.15011737671342
