symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SKTRIMS,2025-05-13,10.4,10.3,10.4,10.0,158560,1.597,140,,872410000.0,2025-05-13 16:35:34.794,0,10.3,10.3,10.3
SKTRIMS,2025-05-14,10.3,10.0,10.3,9.9,79398,0.795,77,-0.3,872410000.0,2025-05-14 11:53:52.952,0,10.450000000000001,10.15,9.85
SKTRIMS,2025-05-15,10.0,9.8,10.1,9.8,38584,0.38,56,-0.2,847000000.0,2025-05-15 09:20:23.452,0,10.444294266864597,10.033333333333333,9.62237239980207
SKTRIMS,2025-05-17,9.8,9.9,10.0,9.7,62182,0.615,42,0.1,830.06,2025-05-17 10:06:45.465,0,10.374165738677394,10.0,9.625834261322606
SKTRIMS,2025-05-18,10.0,9.9,10.2,9.9,30771,0.307,56,,838.53,2025-05-18 11:06:44.218,0,10.324093010681706,9.98,9.635906989318295
SKTRIMS,2025-05-19,9.9,9.8,9.9,9.7,20891,0.205,59,,838.53,2025-05-19 11:05:18.036,0,10.291565025531987,9.950000000000001,9.608434974468015
SKTRIMS,2025-05-20,9.9,9.8,10.0,9.7,27062,0.266,59,0.2,830.06,2025-05-20 11:05:53.883,0,10.261768679705446,9.928571428571429,9.595374177437412
SKTRIMS,2025-05-21,9.8,9.9,10.1,9.7,34112,0.339,47,0.1,830.06,2025-05-21 11:54:26.770,0,10.23724989991992,9.925,9.612750100080081
SKTRIMS,2025-05-22,10.0,10.0,10.0,9.8,68885,0.682,57,0.1,838.53,2025-05-22 11:08:33.499,0,10.231475730333305,9.933333333333334,9.635190936333363
SKTRIMS,2025-05-24,10.0,10.0,10.0,9.9,12682,0.126,26,,847.0,2025-05-24 11:54:33.486,0,10.225657137141715,9.940000000000001,9.654342862858288
SKTRIMS,2025-05-25,9.9,9.5,10.0,9.0,120387,1.127,98,-0.5,847.0,2025-05-25 11:54:10.542,0,10.271728150913834,9.9,9.528271849086167
SKTRIMS,2025-05-26,9.5,9.1,9.9,9.0,88128,0.813,188,,804.65,2025-05-26 11:06:06.766,0,10.40097954553088,9.833333333333334,9.265687121135787
SKTRIMS,2025-05-27,9.6,9.4,9.7,9.3,16492,0.156,42,0.3,770.77,2025-05-27 11:04:35.388,0,10.39225774015139,9.8,9.207742259848612
SKTRIMS,2025-05-28,9.5,9.0,9.6,8.9,92097,0.834,87,-0.1,796.18,2025-05-28 11:53:13.565,0,10.446781999700283,9.742857142857144,9.038932286014004
SKTRIMS,2025-05-29,9.3,9.2,9.3,8.8,39270,0.357,70,0.2,762.3,2025-05-29 11:53:06.186,0,10.438665452336577,9.706666666666667,8.974667880996757
SKTRIMS,2025-06-01,9.3,9.2,9.3,8.9,38899,0.352,46,,779.24,2025-06-01 11:07:16.495,0,10.425,9.675,8.925
SKTRIMS,2025-06-02,9.3,9.0,9.3,9.0,26541,0.242,36,,779.24,2025-06-02 11:05:48.300,0,10.429215662061319,9.63529411764706,8.841372573232801
SKTRIMS,2025-06-03,9.3,8.8,9.3,8.7,58345,0.518,56,-0.2,762.3,2025-06-03 11:06:06.828,0,10.450125438892272,9.588888888888889,8.727652338885505
SKTRIMS,2025-06-04,8.7,9.0,9.1,8.7,28557,0.257,32,0.2,745.36,2025-06-04 11:06:33.928,0,10.344649489891616,9.516666666666666,8.688683843441716
