symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SONALIANSH,2025-05-13,169.0,157.1,169.0,155.6,55337,8.81,767,-5.5,1763885000.0,2025-05-13 16:28:01.926,0,157.1,157.1,157.1
SONALIANSH,2025-05-14,159.5,156.4,159.9,155.7,41691,6.566,458,-0.7,1704221000.0,2025-05-14 11:46:13.082,0,157.45,156.75,156.05
SONALIANSH,2025-05-15,158.5,150.1,158.5,148.4,68000,10.358,620,-6.3,1696627000.0,2025-05-15 09:12:00.258,0,160.8290108628416,154.53333333333333,148.23765580382505
SONALIANSH,2025-05-17,150.3,152.0,152.7,145.2,38394,5.745,614,1.9,1628.285,2025-05-17 09:16:21.525,0,159.77707410196606,153.9,148.02292589803395
SONALIANSH,2025-05-18,154.9,150.1,155.0,149.0,42586,6.465,560,-1.9,1648.896,2025-05-18 10:57:14.212,0,159.2123636254757,153.14000000000001,147.06763637452434
SONALIANSH,2025-05-19,150.8,149.1,150.9,148.0,27207,4.068,463,-1.0,1628.285,2025-05-19 10:57:01.292,0,158.77503852916462,152.46666666666667,146.15829480416872
SONALIANSH,2025-05-20,150.0,150.2,152.0,148.7,28944,4.352,269,1.1,1617.437,2025-05-20 10:56:42.647,0,158.1948765393487,152.14285714285714,146.09083774636557
SONALIANSH,2025-05-21,151.1,152.9,154.0,150.6,43818,6.692,550,2.7,1629.37,2025-05-21 11:02:19.175,0,157.92075390951348,152.2375,146.55424609048654
SONALIANSH,2025-05-22,154.9,151.2,154.9,150.7,31247,4.766,470,-1.7,1658.659,2025-05-22 10:56:54.533,0,157.51998124510718,152.1222222222222,146.72446319933724
SONALIANSH,2025-05-24,152.5,150.2,154.0,150.0,33272,5.04,330,-1.0,1640.218,2025-05-24 11:02:06.781,0,157.1790380071019,151.93,146.68096199289812
SONALIANSH,2025-05-25,149.6,146.3,151.3,145.9,72940,10.774,732,-3.9,1629.37,2025-05-25 11:02:39.860,0,157.37854677456016,151.4181818181818,145.45781686180345
SONALIANSH,2025-05-26,146.7,145.8,148.0,145.5,24601,3.607,297,-0.5,1587.062,2025-05-26 10:57:34.983,0,157.44692234831234,150.95000000000002,144.4530776516877
SONALIANSH,2025-05-27,147.4,144.1,147.4,143.8,30207,4.382,485,-1.7,1581.638,2025-05-27 10:56:45.306,0,157.6542716732405,150.42307692307693,143.19188217291338
SONALIANSH,2025-05-28,144.0,138.8,145.8,135.0,55753,7.847,609,-5.3,1563.197,2025-05-28 11:02:16.024,0,158.77963779635652,149.59285714285716,140.4060764893578
SONALIANSH,2025-05-29,139.4,139.6,141.9,137.0,40931,5.717,598,0.8,1505.702,2025-05-29 11:02:30.102,0,159.1062453525565,148.92666666666668,138.74708798077685
SONALIANSH,2025-06-01,140.0,140.8,142.2,139.8,21998,3.096,341,2.2,1514.381,2025-06-01 10:57:23.562,0,159.03129416951938,148.41875,137.8062058304806
SONALIANSH,2025-06-02,142.8,143.5,145.0,141.4,32786,4.698,486,2.7,1527.398,2025-06-02 10:56:58.238,0,158.68208406766138,148.12941176470588,137.57673946175038
SONALIANSH,2025-06-03,143.5,156.7,157.6,143.5,243005,37.484,2558,13.2,1556.688,2025-06-03 10:56:52.250,0,159.58684716593086,148.60555555555555,137.62426394518025
SONALIANSH,2025-06-04,158.5,156.2,158.5,153.1,59881,9.329,814,-0.5,1699.882,2025-06-04 10:57:22.871,0,159.3888831908817,148.55555555555554,137.7222279202294
