symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SONARGAON,2025-05-13,30.8,29.5,30.8,29.1,140342,4.19,385,-0.6,796658000.0,2025-05-13 16:31:31.637,0,29.5,29.5,29.5
SONARGAON,2025-05-14,29.3,27.8,29.9,27.6,116156,3.323,284,-1.7,780778000.0,2025-05-14 11:49:53.316,0,30.349999999999994,28.65,26.950000000000003
SONARGAON,2025-05-15,27.0,25.3,27.8,25.1,272047,7.181,497,-2.5,735784000.0,2025-05-15 09:16:22.862,0,30.98329307544949,27.53333333333333,24.08337359121717
SONARGAON,2025-05-17,24.9,27.8,27.8,24.9,304621,8.229,417,2.5,669.617,2025-05-17 09:40:03.316,0,30.596664812754337,27.6,24.603335187245666
SONARGAON,2025-05-18,29.1,30.5,30.5,29.0,232023,7.063,135,2.7,735.784,2025-05-18 11:01:45.056,0,31.724911846576724,28.18,24.635088153423276
SONARGAON,2025-05-19,32.8,33.5,33.5,32.5,1287904,43.09,846,3.0,807.245,2025-05-19 11:00:22.465,0,34.184826058045125,29.066666666666666,23.948507275288204
SONARGAON,2025-05-20,35.4,34.8,36.0,34.0,620065,21.692,978,1.3,886.646,2025-05-20 11:00:23.613,0,36.09485829980794,29.885714285714283,23.676570271620626
SONARGAON,2025-05-21,34.7,37.6,38.2,34.4,1074903,39.077,1384,2.8,921.054,2025-05-21 11:22:06.321,0,38.581106001084194,30.85,23.118893998915812
SONARGAON,2025-05-22,38.6,41.3,41.3,38.6,1219229,49.407,1409,3.7,995.161,2025-05-22 11:00:24.752,0,41.82287024410814,32.01111111111111,22.199351978114088
SONARGAON,2025-05-24,41.2,40.4,43.7,39.2,1443194,60.208,2177,-0.9,1093.089,2025-05-24 11:19:44.653,0,43.431965790910496,32.85,22.268034209089507
SONARGAON,2025-05-25,40.5,42.8,43.9,37.8,1292044,52.735,2528,2.4,1069.269,2025-05-25 11:18:22.282,0,45.35309195795421,33.75454545454546,22.155998951136702
SONARGAON,2025-05-26,43.6,42.5,44.7,42.0,1015105,44.088,1440,-0.3,1132.79,2025-05-26 11:00:14.712,0,46.59471457394976,34.483333333333334,22.37195209271691
SONARGAON,2025-05-27,42.4,38.6,42.4,38.3,868453,34.788,1675,-3.9,1124.85,2025-05-27 10:59:17.916,0,46.641257729455276,34.8,22.958742270544715
SONARGAON,2025-05-28,38.0,35.6,39.0,34.8,1372541,49.462,1960,-3.0,1021.628,2025-05-28 11:21:40.963,0,46.27510221590602,34.857142857142854,23.43918349837969
SONARGAON,2025-05-29,36.3,37.4,39.0,35.4,1046737,38.763,1651,1.8,942.227,2025-05-29 11:20:39.553,0,46.13017161880777,35.026666666666664,23.923161714525556
SONARGAON,2025-06-01,35.2,36.3,38.0,35.2,679861,24.964,1236,-1.1,989.868,2025-06-01 11:01:02.732,0,45.87483132485426,35.10625,24.337668675145743
SONARGAON,2025-06-02,36.5,34.5,36.7,34.0,759596,26.804,1344,-1.8,960.754,2025-06-02 11:00:19.029,0,45.52154140451886,35.07058823529412,24.619635066069378
SONARGAON,2025-06-03,34.2,32.2,34.8,31.7,1070335,35.249,2140,-2.3,913.113,2025-06-03 11:00:35.340,0,45.15239768152227,34.91111111111111,24.669824540699956
SONARGAON,2025-06-04,32.7,35.3,35.4,32.5,974433,33.78,1509,3.1,852.239,2025-06-04 11:00:46.286,0,45.132603789056596,35.233333333333334,25.334062877610073
