symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SOUTHEASTB,2025-05-13,8.5,8.3,8.6,8.3,548119,4.591,135,-0.2,11367869000.0,2025-05-13 16:36:17.837,0,8.3,8.3,8.3
SOUTHEASTB,2025-05-14,8.3,8.2,8.3,8.1,175314,1.442,92,-0.1,11100390000.0,2025-05-14 11:54:50.945,0,8.350000000000001,8.25,8.149999999999999
SOUTHEASTB,2025-05-15,8.2,8.2,8.3,8.1,68380,0.559,51,,10966650000.0,2025-05-15 09:20:59.149,0,8.32761423749154,8.233333333333333,8.139052429175125
SOUTHEASTB,2025-05-17,8.2,8.2,8.3,8.1,155719,1.27,76,,10966.65,2025-05-17 10:10:31.400,0,8.311602540378445,8.225,8.138397459621554
SOUTHEASTB,2025-05-18,8.2,8.1,8.2,8.1,78283,0.635,60,-0.1,10966.65,2025-05-18 11:07:24.940,0,8.326491106406735,8.2,8.073508893593264
SOUTHEASTB,2025-05-19,8.1,8.1,8.2,8.0,438935,3.543,72,,10832.911,2025-05-19 11:05:53.477,0,8.320770187520587,8.183333333333332,8.045896479146077
SOUTHEASTB,2025-05-20,8.1,8.1,8.2,8.0,44800,0.363,46,,10832.911,2025-05-20 11:06:40.864,0,8.311399413873325,8.17142857142857,8.031457728983817
SOUTHEASTB,2025-05-21,8.1,8.1,8.2,8.0,105424,0.852,65,,10832.911,2025-05-21 11:58:06.467,0,8.30169410907075,8.1625,8.02330589092925
SOUTHEASTB,2025-05-22,8.2,8.1,8.2,8.0,163901,1.327,38,,10832.911,2025-05-22 11:09:26.730,0,8.29254253339931,8.155555555555555,8.0185685777118
SOUTHEASTB,2025-05-24,8.1,8.1,8.1,8.0,184184,1.489,48,,10832.911,2025-05-24 11:58:05.126,0,8.284164078649988,8.15,8.015835921350012
SOUTHEASTB,2025-05-25,8.1,8.1,8.2,8.0,449902,3.622,85,,10832.911,2025-05-25 11:56:54.456,0,8.276565500925962,8.145454545454545,8.014343589983127
SOUTHEASTB,2025-05-26,8.1,8.0,8.1,7.9,47551,0.38,49,-0.2,10832.911,2025-05-26 11:06:35.531,0,8.282404531833318,8.133333333333333,7.984262134833347
SOUTHEASTB,2025-05-27,8.0,7.8,8.0,7.7,182316,1.429,121,-0.2,10699.171,2025-05-27 11:05:01.198,0,8.335883030372173,8.107692307692307,7.879501585012441
SOUTHEASTB,2025-05-28,8.0,7.6,8.0,7.5,133837,1.03,99,-0.2,10431.692,2025-05-28 11:56:46.059,0,8.413093164088611,8.071428571428571,7.729763978768531
SOUTHEASTB,2025-05-29,7.8,7.1,7.8,7.0,160718,1.157,141,-0.5,10164.213,2025-05-29 11:56:25.535,0,8.593030224727894,8.006666666666666,7.420303108605439
SOUTHEASTB,2025-06-01,6.8,6.8,7.0,6.6,638768,4.304,251,-0.3,9495.514,2025-06-01 11:08:02.659,0,8.745862638006555,7.9312499999999995,7.116637361993444
SOUTHEASTB,2025-06-02,6.9,7.2,7.2,6.9,260971,1.833,76,0.2,9094.295,2025-06-02 11:06:21.789,0,8.750195721600667,7.888235294117647,7.026274866634626
SOUTHEASTB,2025-06-03,7.1,6.9,7.1,6.9,365999,2.543,177,-0.3,9629.254,2025-06-03 11:06:48.584,0,8.785523790472379,7.833333333333333,6.8811428761942866
SOUTHEASTB,2025-06-04,6.9,7.0,7.0,6.9,76506,0.534,105,0.1,9228.035,2025-06-04 11:07:04.965,0,8.756966720655852,7.76111111111111,6.76525550156637
