symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SQUARETEXT,2025-05-13,48.7,48.9,49.2,48.6,29668,1.45,65,,9625898000.0,2025-05-13 16:30:13.799,0,48.9,48.9,48.9
SQUARETEXT,2025-05-14,49.4,48.5,49.4,48.4,13608,0.66,59,-0.4,9645623000.0,2025-05-14 11:48:04.684,0,49.10000000000001,48.7,48.3
SQUARETEXT,2025-05-15,48.3,48.1,48.7,48.0,11797,0.568,64,-0.4,9566722000.0,2025-05-15 09:14:28.549,0,49.15319726474218,48.5,47.84680273525782
SQUARETEXT,2025-05-17,48.0,48.0,48.8,48.0,9408,0.453,41,0.7,9487.821,2025-05-17 09:29:13.200,0,49.08739034243875,48.375,47.66260965756125
SQUARETEXT,2025-05-18,48.8,48.2,48.8,48.1,2662,0.128,24,0.2,9468.096,2025-05-18 10:59:46.932,0,48.992380257212,48.339999999999996,47.687619742787994
SQUARETEXT,2025-05-19,48.8,48.4,48.9,48.3,3792,0.184,32,0.1,9507.546,2025-05-19 10:59:15.402,0,48.94721576223897,48.35,47.752784237761034
SQUARETEXT,2025-05-20,48.7,48.4,48.8,48.3,9758,0.474,58,,9546.997,2025-05-20 10:59:02.771,0,48.911163412276146,48.357142857142854,47.80312230200956
SQUARETEXT,2025-05-21,48.5,48.6,48.8,48.3,6118,0.297,20,0.2,9546.997,2025-05-21 11:16:07.691,0,48.93006336035527,48.3875,47.844936639644736
SQUARETEXT,2025-05-22,48.8,47.9,48.8,47.8,11594,0.559,71,-0.6,9586.447,2025-05-22 10:59:35.966,0,48.92961812733328,48.333333333333336,47.737048539333394
SQUARETEXT,2025-05-24,48.7,47.9,48.7,47.8,23062,1.105,73,,9448.371,2025-05-24 11:15:39.590,0,48.912575296650935,48.29,47.66742470334906
SQUARETEXT,2025-05-25,47.9,47.8,48.2,47.7,8642,0.413,38,-0.2,9448.371,2025-05-25 11:15:23.077,0,48.90252039998519,48.24545454545455,47.58838869092391
SQUARETEXT,2025-05-26,47.8,47.4,47.9,47.3,7587,0.36,87,-0.4,9428.646,2025-05-26 10:59:43.759,0,48.95868786303392,48.175000000000004,47.391312136966086
SQUARETEXT,2025-05-27,47.4,46.6,48.5,46.4,33446,1.569,174,-0.8,9349.745,2025-05-27 10:58:36.395,0,49.18144505857285,48.05384615384616,46.92624724911947
SQUARETEXT,2025-05-28,46.3,46.5,47.4,46.2,49056,2.281,149,-0.3,9191.943,2025-05-28 11:14:57.805,0,49.29238464898509,47.94285714285714,46.593329636729194
SQUARETEXT,2025-05-29,46.4,46.3,46.8,46.1,108586,5.03,194,-0.2,9172.218,2025-05-29 11:15:03.577,0,49.3733189032513,47.833333333333336,46.29334776341537
SQUARETEXT,2025-06-01,46.1,46.7,47.0,46.1,40800,1.905,173,0.4,9132.768,2025-06-01 10:59:41.853,0,49.35132818454357,47.7625,46.17367181545644
SQUARETEXT,2025-06-02,46.4,46.4,47.6,46.0,42957,2.002,183,-0.2,9211.668,2025-06-02 10:59:18.246,0,49.351780872947465,47.682352941176475,46.012925009405485
SQUARETEXT,2025-06-03,47.0,45.9,47.0,45.8,52722,2.43,240,0.1,9152.493,2025-06-03 10:59:17.963,0,49.39961769677671,47.583333333333336,45.76704896988996
SQUARETEXT,2025-06-04,46.4,46.1,46.9,45.9,39495,1.823,176,0.2,9053.867,2025-06-04 10:59:53.203,0,49.24596436587478,47.42777777777778,45.60959118968078
