symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SQURPHARMA,2025-05-13,212.4,209.3,212.7,208.0,218706,46.105,1644,-3.1,188282195000.0,2025-05-13 16:27:41.371,0,209.3,209.3,209.3
SQURPHARMA,2025-05-14,209.9,209.1,211.0,208.7,187273,39.254,1374,-0.2,185534196000.0,2025-05-14 11:45:52.564,0,209.39999999999998,209.2,209.0
SQURPHARMA,2025-05-15,209.9,208.7,209.9,208.3,196910,41.167,1307,-0.4,185356906000.0,2025-05-15 09:11:38.003,0,209.5322209849032,209.03333333333333,208.53444568176346
SQURPHARMA,2025-05-17,209.8,209.3,209.9,208.8,73825,15.458,577,0.6,185002.326,2025-05-17 09:13:42.499,0,209.58989794855665,209.1,208.61010205144333
SQURPHARMA,2025-05-18,209.3,209.8,210.0,209.0,98215,20.577,783,0.5,185534.196,2025-05-18 10:56:50.426,0,209.95105555338526,209.24,208.52894444661476
SQURPHARMA,2025-05-19,210.9,209.3,210.9,208.7,121966,25.555,848,-0.5,185977.422,2025-05-19 10:56:32.568,0,209.90064070986477,209.25,208.59935929013523
SQURPHARMA,2025-05-20,209.3,210.0,210.2,208.7,753969,158.311,1222,0.7,185534.196,2025-05-20 10:56:26.454,0,210.1561217973777,209.35714285714286,208.55816391690803
SQURPHARMA,2025-05-21,209.5,209.5,210.0,209.2,325592,68.262,770,-0.5,186154.712,2025-05-21 11:00:16.883,0,210.12832595866598,209.375,208.62167404133402
SQURPHARMA,2025-05-22,209.9,207.6,209.9,207.1,485301,101.031,1723,-1.9,185711.487,2025-05-22 10:56:23.328,0,210.50032675701036,209.17777777777778,207.8552287985452
SQURPHARMA,2025-05-24,208.0,207.4,208.9,206.9,62646,13.035,639,-0.2,184027.23,2025-05-24 10:59:43.899,0,210.64681510801913,209.0,207.35318489198087
SQURPHARMA,2025-05-25,208.0,207.0,209.6,206.0,72787,15.1,884,-0.4,183849.939,2025-05-25 11:00:18.360,0,210.76440086932723,208.8181818181818,206.8719627670364
SQURPHARMA,2025-05-26,207.0,203.5,207.8,202.1,551299,112.711,2338,-3.5,183495.359,2025-05-26 10:57:12.561,0,211.85554114566494,208.375,204.89445885433506
SQURPHARMA,2025-05-27,203.5,200.3,205.8,199.9,529115,106.799,3083,-3.2,180392.781,2025-05-27 10:56:17.078,0,213.20382308230282,207.75384615384615,202.3038692253895
SQURPHARMA,2025-05-28,200.3,200.5,202.0,198.9,285994,57.231,1664,0.2,177556.137,2025-05-28 10:59:43.286,0,213.68091499980366,207.2357142857143,200.79051357162493
SQURPHARMA,2025-05-29,201.1,201.9,204.8,200.2,367775,74.437,1858,1.4,177733.428,2025-05-29 10:59:42.344,0,213.6517845998427,206.88,200.1082154001573
SQURPHARMA,2025-06-01,204.0,203.5,206.6,202.5,255465,52.093,1505,1.6,178974.459,2025-06-01 10:56:47.600,0,213.4266042267498,206.66875,199.9108957732502
SQURPHARMA,2025-06-02,205.0,201.4,205.4,200.3,703575,142.286,2935,-2.1,180392.781,2025-06-02 10:56:31.560,0,213.36808087818378,206.35882352941175,199.34956618063973
SQURPHARMA,2025-06-03,203.5,201.9,203.5,201.5,200894,40.597,1336,0.5,178531.233,2025-06-03 10:56:30.390,0,213.22256943596776,206.11111111111111,198.99965278625447
SQURPHARMA,2025-06-04,202.1,202.8,203.2,202.0,383963,77.823,1288,0.9,178974.459,2025-06-04 10:57:01.838,0,212.8371558313457,205.75,198.6628441686543
