symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
SSSTEEL,2025-05-13,6.6,6.2,6.6,6.1,244270,1.541,135,-0.2,2103252000.0,2025-05-13 16:36:54.937,0,6.2,6.2,6.2
SSSTEEL,2025-05-14,6.3,6.1,6.3,6.0,111802,0.687,108,-0.2,2037526000.0,2025-05-14 11:55:37.758,0,6.250000000000002,6.15,6.049999999999999
SSSTEEL,2025-05-15,6.2,6.0,6.2,5.9,330022,1.983,160,-0.1,2004663000.0,2025-05-15 09:21:52.343,0,6.263299316185547,6.1000000000000005,5.936700683814454
SSSTEEL,2025-05-17,6.1,6.2,6.2,6.0,104637,0.64,83,0.2,1971.799,2025-05-17 10:14:51.244,0,6.290831239517771,6.125,5.959168760482229
SSSTEEL,2025-05-18,6.1,6.1,6.2,6.0,162064,0.988,91,,2037.526,2025-05-18 11:08:10.082,0,6.269666295470959,6.12,5.970333704529041
SSSTEEL,2025-05-19,6.2,6.0,6.2,6.0,126650,0.764,74,-0.1,2004.663,2025-05-19 11:06:45.349,0,6.263299316185546,6.1000000000000005,5.936700683814455
SSSTEEL,2025-05-20,6.0,6.0,6.2,5.9,431357,2.605,141,0.2,1971.799,2025-05-20 11:07:25.303,0,6.252312911281295,6.085714285714286,5.919115660147278
SSSTEEL,2025-05-21,6.2,6.0,6.2,6.0,438086,2.648,129,,1971.799,2025-05-21 12:03:15.268,0,6.24083123951777,6.075,5.90916876048223
SSSTEEL,2025-05-22,6.1,6.0,6.1,6.0,247807,1.487,94,,1971.799,2025-05-22 11:10:22.893,0,6.229965982852212,6.066666666666666,5.903367350481121
SSSTEEL,2025-05-24,5.9,5.8,6.1,5.8,828240,4.815,266,-0.2,1971.799,2025-05-24 12:03:45.675,0,6.262710574513201,6.04,5.817289425486799
SSSTEEL,2025-05-25,5.8,5.6,5.9,5.6,737181,4.166,310,-0.2,1906.073,2025-05-25 12:02:51.298,0,6.330289129537908,6.0,5.669710870462092
SSSTEEL,2025-05-26,5.6,5.5,5.7,5.4,562213,3.122,233,,1840.346,2025-05-26 11:07:27.298,0,6.378320105611805,5.958333333333333,5.538346561054861
SSSTEEL,2025-05-27,5.7,5.6,5.7,5.5,96350,0.537,91,0.1,1807.483,2025-05-27 11:06:00.420,0,6.3771882501091355,5.93076923076923,5.484350211429325
SSSTEEL,2025-05-28,5.7,5.4,5.8,5.3,734345,4.014,238,-0.2,1840.346,2025-05-28 12:02:10.855,0,6.402558936426036,5.892857142857143,5.38315534928825
SSSTEEL,2025-05-29,5.4,5.2,5.4,5.1,762009,3.988,326,-0.2,1774.619,2025-05-29 12:02:09.152,0,6.448294089209519,5.846666666666667,5.245039244123815
SSSTEEL,2025-06-01,5.4,5.1,5.4,5.1,317926,1.63,219,-0.1,1708.893,2025-06-01 11:08:57.557,0,6.485565460040104,5.8,5.114434539959896
SSSTEEL,2025-06-02,5.1,5.2,5.3,5.0,167773,0.873,98,0.1,1676.029,2025-06-02 11:07:05.609,0,6.487254236836898,5.764705882352941,5.0421575278689845
SSSTEEL,2025-06-03,5.2,5.2,5.3,5.1,127335,0.662,67,,1708.893,2025-06-03 11:07:47.388,0,6.4816648106881205,5.733333333333333,4.985001855978546
SSSTEEL,2025-06-04,5.2,5.3,5.3,5.1,202617,1.063,113,0.1,1708.893,2025-06-04 11:07:55.848,0,6.420444812916532,5.683333333333334,4.946221853750135
