symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
STANCERAM,2025-05-13,59.0,58.8,59.0,58.5,1943,0.114,41,-2.2,393454000.0,2025-05-13 16:29:38.304,0,58.8,58.8,58.8
STANCERAM,2025-05-14,58.6,59.4,61.0,58.5,1822,0.108,27,1.0,379886000.0,2025-05-14 11:47:37.405,0,59.7,59.099999999999994,58.499999999999986
STANCERAM,2025-05-15,59.0,59.7,60.0,59.0,351,0.021,6,0.5,383763000.0,2025-05-15 09:13:47.596,0,60.0483314773548,59.300000000000004,58.55166852264521
STANCERAM,2025-05-17,60.2,59.3,61.1,59.0,693,0.041,16,-0.7,385.701,2025-05-17 09:26:05.865,0,59.94807406984079,59.3,58.6519259301592
STANCERAM,2025-05-18,63.4,60.3,63.4,60.0,1294,0.078,9,1.8,383.117,2025-05-18 10:59:01.668,0,60.48792712281828,59.5,58.51207287718172
STANCERAM,2025-05-19,59.3,58.1,60.8,58.0,2797,0.165,46,-2.2,389.577,2025-05-19 10:58:50.329,0,60.64587739103849,59.26666666666667,57.88745594229486
STANCERAM,2025-05-21,58.4,58.1,58.5,57.8,2330,0.135,36,-0.2,375.364,2025-05-21 11:12:49.997,0,60.6156328239857,59.1,57.584367176014304
STANCERAM,2025-05-22,59.1,59.6,60.2,58.7,449,0.027,20,1.5,375.364,2025-05-22 10:58:45.281,0,60.61830733615407,59.1625,57.706692663845935
STANCERAM,2025-05-24,58.1,58.4,60.5,58.1,1768,0.104,32,-1.3,385.055,2025-05-24 11:12:51.001,0,60.531593531892995,59.07777777777778,57.62396202366257
STANCERAM,2025-05-25,58.4,58.4,58.4,58.3,632,0.037,4,-0.1,377.302,2025-05-25 11:12:38.553,0,60.4479151574415,59.010000000000005,57.57208484255851
STANCERAM,2025-05-26,60.2,57.8,60.6,57.2,2916,0.171,43,-0.6,377.302,2025-05-26 10:59:17.319,0,60.43741222957161,58.9,57.362587770428384
STANCERAM,2025-05-27,57.4,57.7,57.8,57.4,409,0.024,13,,373.426,2025-05-27 10:58:11.023,0,60.41451747177498,58.800000000000004,57.18548252822503
STANCERAM,2025-05-28,57.8,58.6,60.7,57.7,6983,0.413,58,0.8,372.78,2025-05-28 11:11:38.449,0,60.33945132223048,58.784615384615385,57.22977944700029
STANCERAM,2025-05-29,57.6,57.9,58.2,57.6,277,0.016,9,-0.4,378.594,2025-05-29 11:11:54.323,0,60.287458258117766,58.721428571428575,57.155398884739384
STANCERAM,2025-06-01,58.6,60.5,60.6,58.6,104,0.006,5,2.4,374.072,2025-06-01 10:59:01.907,0,60.59392892292324,58.84,57.08607107707677
STANCERAM,2025-06-02,61.0,59.5,61.0,59.2,1326,0.079,14,-0.3,390.869,2025-06-02 10:58:32.418,0,60.60928175607395,58.88125,57.153218243926055
STANCERAM,2025-06-03,60.1,60.2,60.2,60.1,100,0.006,2,0.7,384.409,2025-06-03 10:58:32.155,0,60.74643952124447,58.95882352941176,57.17120753757905
