symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
STANDARINS,2025-05-13,39.0,38.4,39.0,38.1,90124,3.479,134,-1.0,1697226000.0,2025-05-13 16:30:57.809,0,38.4,38.4,38.4
STANDARINS,2025-05-14,38.4,38.0,38.9,37.2,25838,0.978,119,-0.4,1662589000.0,2025-05-14 11:48:53.087,0,38.60000000000001,38.2,37.8
STANDARINS,2025-05-15,38.9,37.0,38.9,37.0,19402,0.726,63,-0.2,1645270000.0,2025-05-15 09:15:15.995,0,38.97756811551039,37.800000000000004,36.62243188448962
STANDARINS,2025-05-17,37.9,36.5,37.9,36.0,5265,0.193,35,-0.5,1601.974,2025-05-17 09:35:45.696,0,38.99404575309634,37.475,35.955954246903666
STANDARINS,2025-05-18,38.0,37.5,38.0,36.0,122741,4.599,133,0.1,1580.326,2025-05-18 11:01:11.941,0,38.83882302011705,37.480000000000004,36.12117697988296
STANDARINS,2025-05-19,38.1,36.7,38.1,36.0,69310,2.561,194,0.1,1623.622,2025-05-19 11:00:05.953,0,38.7199148392023,37.35,35.9800851607977
STANDARINS,2025-05-20,37.7,35.6,37.7,35.2,76312,2.719,89,-1.1,1588.985,2025-05-20 11:00:14.312,0,38.86311412806189,37.1,35.336885871938115
STANDARINS,2025-05-21,36.9,36.5,37.8,35.5,100306,3.624,173,0.7,1541.359,2025-05-21 11:22:59.154,0,38.721319545368736,37.025,35.32868045463126
STANDARINS,2025-05-24,35.8,36.0,36.6,35.4,38825,1.396,134,-0.2,1580.326,2025-05-24 11:21:42.363,0,38.63530353255741,36.91111111111111,35.186918689664815
STANDARINS,2025-05-25,35.0,34.8,36.5,34.7,32889,1.15,59,-1.2,1558.677,2025-05-25 11:22:15.182,0,38.76881608655773,36.7,34.63118391344228
STANDARINS,2025-05-26,35.2,38.1,38.2,35.2,749563,28.342,759,3.3,1506.721,2025-05-26 11:00:38.995,0,38.95772877591739,36.82727272727273,34.69681667862807
STANDARINS,2025-05-27,39.1,35.6,40.7,35.4,452476,17.044,588,-2.5,1649.6,2025-05-27 10:59:40.438,0,38.87461236815695,36.725,34.57538763184305
STANDARINS,2025-05-28,36.5,35.0,36.5,34.0,435152,15.408,302,-0.6,1541.359,2025-05-28 11:21:48.204,0,38.85295639221193,36.59230769230769,34.331658992403455
STANDARINS,2025-05-29,35.9,34.8,35.9,33.7,55433,1.915,101,-0.2,1515.381,2025-05-29 11:21:28.081,0,38.83024325871478,36.464285714285715,34.09832816985665
STANDARINS,2025-06-01,34.0,33.8,35.0,33.3,36250,1.228,174,-1.0,1506.721,2025-06-01 11:01:18.668,0,38.930771219986916,36.28666666666666,33.64256211334641
STANDARINS,2025-06-02,34.5,36.0,36.0,34.0,240985,8.63,253,2.2,1463.425,2025-06-02 11:00:04.183,0,38.83265205546156,36.26875,33.704847944538436
STANDARINS,2025-06-03,35.1,36.0,36.3,34.9,1193770,42.71,428,-0.9,1558.677,2025-06-03 11:00:20.800,0,38.743504681863385,36.252941176470586,33.762377671077786
STANDARINS,2025-06-04,36.0,35.9,36.0,35.5,19105,0.685,45,-0.1,1558.677,2025-06-04 11:00:42.684,0,38.659120719821374,36.233333333333334,33.807545946845295
