symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
STANDBANKL,2025-05-13,5.5,5.4,5.5,5.3,323316,1.754,86,,6025548000.0,2025-05-13 16:37:20.464,0,5.4,5.4,5.4
STANDBANKL,2025-05-14,5.4,5.4,5.4,5.3,64719,0.348,37,-0.1,6025548000.0,2025-05-14 11:56:07.850,0,5.4,5.4,5.4
STANDBANKL,2025-05-15,5.4,5.3,5.4,5.2,200611,1.063,67,-0.1,6025548000.0,2025-05-15 09:22:11.098,0,5.4609475708248745,5.366666666666667,5.27238576250846
STANDBANKL,2025-05-17,5.2,5.3,5.3,5.2,211673,1.11,66,,5913.964,2025-05-17 10:17:20.961,0,5.45,5.35,5.249999999999999
STANDBANKL,2025-05-18,5.3,5.3,5.4,5.2,204158,1.082,42,,5913.964,2025-05-18 11:08:40.045,0,5.437979589711328,5.34,5.242020410288672
STANDBANKL,2025-05-19,5.3,5.2,5.4,5.2,249655,1.319,72,,5913.964,2025-05-19 11:07:08.929,0,5.454103520853923,5.316666666666666,5.17922981247941
STANDBANKL,2025-05-20,5.2,5.3,5.3,5.2,72092,0.377,35,0.1,5802.38,2025-05-20 11:07:55.392,0,5.442061027285704,5.314285714285715,5.186510401285726
STANDBANKL,2025-05-21,5.2,5.2,5.3,5.2,178098,0.927,59,-0.1,5913.964,2025-05-21 12:05:39.868,0,5.44142135623731,5.3,5.15857864376269
STANDBANKL,2025-05-22,5.3,5.1,5.3,5.1,75040,0.389,30,-0.1,5802.38,2025-05-22 11:10:53.736,0,5.461026916694119,5.277777777777778,5.094528638861436
STANDBANKL,2025-05-24,5.2,5.1,5.3,5.1,136983,0.709,42,,5690.796,2025-05-24 12:06:11.739,0,5.4639607805437125,5.26,5.056039219456287
STANDBANKL,2025-05-25,5.1,5.0,5.1,5.0,133654,0.679,57,-0.1,5690.796,2025-05-25 12:04:25.961,0,5.481649773876947,5.236363636363636,4.991077498850325
STANDBANKL,2025-05-26,5.0,5.0,5.1,4.9,149448,0.747,57,,5579.212,2025-05-26 11:08:00.002,0,5.4854085916099535,5.216666666666667,4.94792474172338
STANDBANKL,2025-05-27,5.0,5.0,5.1,4.9,304220,1.524,94,,5579.212,2025-05-27 11:06:18.414,0,5.4828427124746195,5.199999999999999,4.917157287525379
STANDBANKL,2025-05-28,5.0,4.8,5.0,4.7,200209,0.975,75,-0.2,5579.212,2025-05-28 12:03:40.842,0,5.513093164088613,5.171428571428572,4.82976397876853
STANDBANKL,2025-05-29,4.9,4.8,4.9,4.6,369345,1.77,128,,5356.043,2025-05-29 12:02:57.267,0,5.525201855108758,5.1466666666666665,4.768131478224575
STANDBANKL,2025-06-01,4.7,5.1,5.2,4.7,782090,3.973,184,0.4,5356.043,2025-06-01 11:08:45.490,0,5.510960770539211,5.14375,4.776539229460789
STANDBANKL,2025-06-02,5.1,5.2,5.2,5.0,234558,1.209,63,0.1,5690.796,2025-06-02 11:07:10.324,0,5.504287681192683,5.147058823529412,4.789829965866141
STANDBANKL,2025-06-03,5.2,5.0,5.4,5.0,263371,1.377,77,-0.1,5802.38,2025-06-03 11:07:54.465,0,5.492529565840881,5.138888888888889,4.7852482119368975
STANDBANKL,2025-06-04,5.1,5.2,5.3,5.0,772093,4.075,88,0.2,5579.212,2025-06-04 11:08:03.367,0,5.459812284388533,5.127777777777777,4.795743271167022
