symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
STYLECRAFT,2025-05-13,51.7,50.1,51.7,49.7,17512,0.884,147,-1.1,710899000.0,2025-05-13 16:30:05.000,0,50.1,50.1,50.1
STYLECRAFT,2025-05-14,50.6,48.6,50.8,48.5,22104,1.097,190,-1.5,695626000.0,2025-05-14 11:48:02.418,0,50.85,49.35,47.85
STYLECRAFT,2025-05-15,48.1,48.1,49.0,47.8,20011,0.965,115,-0.5,674799000.0,2025-05-15 09:14:24.340,0,50.63300650453093,48.93333333333334,47.23366016213574
STYLECRAFT,2025-05-17,49.3,50.1,50.6,48.9,12291,0.612,138,2.4,667.856,2025-05-17 09:27:41.078,0,51.01035710713571,49.225,47.43964289286429
STYLECRAFT,2025-05-18,50.8,50.2,51.2,50.1,12822,0.647,154,0.3,695.626,2025-05-18 10:59:33.300,0,51.19718879132185,49.42,47.642811208678154
STYLECRAFT,2025-05-19,50.5,51.1,51.9,50.5,28350,1.446,210,1.3,697.014,2025-05-19 10:58:59.947,0,51.74939015319192,49.699999999999996,47.650609846808074
STYLECRAFT,2025-05-20,51.8,51.5,52.2,50.5,19505,1.007,189,0.7,709.511,2025-05-20 10:58:49.708,0,52.23462804381481,49.957142857142856,47.6796576704709
STYLECRAFT,2025-05-21,51.5,53.1,53.5,51.5,67056,3.539,450,1.6,715.065,2025-05-21 11:14:25.274,0,53.32657521322744,50.35,47.37342478677256
STYLECRAFT,2025-05-22,53.4,52.5,54.6,52.1,63697,3.414,335,-0.6,737.28,2025-05-22 10:59:06.416,0,53.70364865411344,50.58888888888889,47.47412912366434
STYLECRAFT,2025-05-24,51.1,50.4,53.5,50.2,42904,2.2,277,-2.1,728.949,2025-05-24 11:14:25.632,0,53.52709316728438,50.57,47.61290683271562
STYLECRAFT,2025-05-25,51.9,49.5,51.9,49.0,63144,3.131,205,-1.1,699.791,2025-05-25 11:14:16.112,0,53.358543255131124,50.472727272727276,47.58691129032343
STYLECRAFT,2025-05-26,49.7,49.0,50.5,48.6,47463,2.344,187,-0.5,687.295,2025-05-26 10:59:36.213,0,53.23039349163732,50.35,47.46960650836268
STYLECRAFT,2025-05-27,48.6,48.1,50.4,47.8,46630,2.256,237,-1.1,680.353,2025-05-27 10:58:28.702,0,53.19293557042285,50.176923076923075,47.1609105834233
STYLECRAFT,2025-05-28,48.2,47.4,48.3,46.9,33856,1.604,215,-0.7,667.856,2025-05-28 11:14:08.244,0,53.21777642047791,49.978571428571435,46.73936643666496
STYLECRAFT,2025-05-29,48.3,49.8,51.0,46.8,60822,3.017,367,2.4,658.137,2025-05-29 11:13:51.114,0,53.09730380451719,49.96666666666667,46.83602952881615
STYLECRAFT,2025-06-01,50.2,51.4,52.0,50.2,63428,3.257,295,1.6,691.461,2025-06-01 10:59:28.194,0,53.165887237685446,50.05625,46.94661276231455
STYLECRAFT,2025-06-02,53.9,51.1,53.9,50.5,33874,1.738,212,-0.3,713.676,2025-06-02 10:59:05.317,0,53.174162024765,50.11764705882353,47.061132092882055
STYLECRAFT,2025-06-03,50.6,50.4,51.9,50.0,40560,2.071,270,-0.7,709.511,2025-06-03 10:59:00.998,0,53.106547082797036,50.13333333333333,47.16011958386963
STYLECRAFT,2025-06-04,50.0,50.5,51.6,49.8,12316,0.619,131,0.1,699.791,2025-06-04 10:59:28.363,0,53.13341625091852,50.15555555555555,47.17769486019258
