symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
TAKAFULINS,2025-05-13,34.8,33.7,35.5,33.5,33466,1.139,59,0.2,1426664000.0,2025-05-13 16:31:14.720,0,33.7,33.7,33.7
TAKAFULINS,2025-05-14,34.4,33.5,34.4,33.2,9159,0.309,29,-0.5,1435181000.0,2025-05-14 11:49:23.887,0,33.800000000000004,33.6,33.4
TAKAFULINS,2025-05-15,34.0,32.1,34.0,32.0,8453,0.276,36,-1.4,1426664000.0,2025-05-15 09:15:43.675,0,34.523610433604176,33.1,31.676389566395827
TAKAFULINS,2025-05-17,32.5,32.6,32.7,32.5,410,0.013,6,0.6,1367.042,2025-05-17 09:37:41.832,0,34.2817134345372,32.975,31.668286565462804
TAKAFULINS,2025-05-18,33.0,33.0,33.4,31.2,10284,0.337,77,-1.4,1388.335,2025-05-18 11:01:40.713,0,34.1489311356962,32.980000000000004,31.811068864303806
TAKAFULINS,2025-05-19,33.0,31.3,33.0,31.1,2631,0.083,23,-1.9,1405.37,2025-05-19 11:00:34.313,0,34.345195023900416,32.7,31.054804976099593
TAKAFULINS,2025-05-20,32.8,32.8,32.8,32.8,50,0.002,1,1.5,1332.972,2025-05-20 11:00:30.336,0,34.23904732161444,32.714285714285715,31.18952410695699
TAKAFULINS,2025-05-21,32.9,32.1,32.9,32.1,1960,0.063,18,,1396.853,2025-05-21 11:25:01.391,0,34.12052899499639,32.6375,31.15447100500361
TAKAFULINS,2025-05-22,32.5,31.9,32.5,31.5,1981,0.063,17,-0.6,1367.042,2025-05-22 11:01:11.388,0,34.02860563726014,32.55555555555556,31.082505473850972
TAKAFULINS,2025-05-24,32.8,32.5,32.8,32.2,753,0.024,8,0.3,1358.525,2025-05-24 11:25:00.520,0,33.94785550040052,32.55,31.152144499599473
TAKAFULINS,2025-05-25,32.5,31.3,32.5,31.0,3193,0.1,18,-0.8,1384.077,2025-05-25 11:24:43.324,0,33.950593659175055,32.43636363636364,30.922133613552216
TAKAFULINS,2025-05-26,31.7,31.9,32.0,31.5,2091,0.067,31,0.6,1332.972,2025-05-26 11:01:12.855,0,33.87143766997165,32.391666666666666,30.911895663361683
TAKAFULINS,2025-05-27,31.6,31.7,32.2,31.4,333,0.011,13,0.3,1358.525,2025-05-27 11:00:01.507,0,33.80718879813694,32.33846153846154,30.869734278786137
TAKAFULINS,2025-05-28,32.0,31.3,32.8,31.2,2412,0.076,24,-0.4,1350.007,2025-05-28 11:24:13.285,0,33.777290563408606,32.26428571428571,30.75128086516282
TAKAFULINS,2025-05-29,32.0,30.7,32.0,30.6,4756,0.146,27,-0.6,1332.972,2025-05-29 11:24:34.558,0,33.81698521417663,32.16,30.503014785823357
TAKAFULINS,2025-06-01,31.0,31.0,32.5,30.8,4551,0.141,22,1.8,1307.42,2025-06-01 11:01:38.283,0,33.78731616653096,32.0875,30.38768383346904
TAKAFULINS,2025-06-02,32.0,30.9,32.0,30.8,7700,0.238,44,0.7,1320.196,2025-06-02 11:00:36.444,0,33.758823529411764,32.01764705882353,30.27647058823529
TAKAFULINS,2025-06-03,31.3,30.6,31.3,30.5,2607,0.08,26,0.1,1315.938,2025-06-03 11:00:43.668,0,33.75136281377583,31.938888888888886,30.12641496400195
TAKAFULINS,2025-06-04,31.2,31.7,31.9,31.2,1830,0.058,13,1.3,1303.161,2025-06-04 11:01:06.672,0,33.427507693253865,31.827777777777776,30.22804786230169
