symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
TALLUSPIN,2025-05-13,5.3,5.2,5.4,5.2,22250,0.116,40,,464544000.0,2025-05-13 16:37:22.059,0,5.2,5.2,5.2
TALLUSPIN,2025-05-14,5.3,5.0,5.3,5.0,82369,0.416,43,-0.2,464544000.0,2025-05-14 11:56:16.616,0,5.299999999999999,5.1,4.9
TALLUSPIN,2025-05-15,5.1,4.9,5.1,4.9,63165,0.313,52,-0.1,446677000.0,2025-05-15 09:22:21.727,0,5.282777159118263,5.033333333333334,4.783889507548405
TALLUSPIN,2025-05-17,5.1,5.0,5.1,5.0,24205,0.121,33,0.1,437.743,2025-05-17 10:18:09.048,0,5.242944947177033,5.025,4.807055052822967
TALLUSPIN,2025-05-18,5.1,5.0,5.2,4.9,41983,0.21,37,,446.677,2025-05-18 11:08:54.928,0,5.215959179422654,5.0200000000000005,4.824040820577347
TALLUSPIN,2025-05-19,5.1,5.0,5.2,5.0,43019,0.217,37,,446.677,2025-05-19 11:07:21.398,0,5.196172160237817,5.016666666666667,4.837161173095517
TALLUSPIN,2025-05-20,5.1,5.0,5.1,4.9,34706,0.174,39,,446.677,2025-05-20 11:08:02.689,0,5.180884339852723,5.014285714285714,4.847687088718706
TALLUSPIN,2025-05-22,5.0,5.1,5.2,5.0,79001,0.397,40,0.1,437.743,2025-05-22 11:10:58.170,0,5.19083123951777,5.025,4.8591687604822305
TALLUSPIN,2025-05-24,5.0,5.0,5.1,4.9,9815,0.049,24,-0.1,455.61,2025-05-24 12:06:16.191,0,5.179357062485899,5.022222222222222,4.865087381958546
TALLUSPIN,2025-05-25,5.0,4.9,5.0,4.9,36826,0.181,27,-0.1,446.677,2025-05-25 12:04:56.910,0,5.176132477258361,5.01,4.843867522741639
TALLUSPIN,2025-05-26,5.0,4.9,5.0,4.9,17375,0.085,16,0.1,437.743,2025-05-26 11:07:56.300,0,5.1705605730844875,5.0,4.8294394269155125
TALLUSPIN,2025-05-27,5.0,4.9,5.0,4.8,36888,0.181,47,,437.743,2025-05-27 11:06:23.154,0,5.164068007213142,4.991666666666666,4.81926532612019
TALLUSPIN,2025-05-28,5.0,5.0,5.1,4.8,69212,0.343,66,0.1,437.743,2025-05-28 12:03:18.262,0,5.158005070988754,4.992307692307692,4.826610313626631
TALLUSPIN,2025-05-29,5.0,5.0,5.1,4.9,41025,0.205,47,,446.677,2025-05-29 12:02:52.112,0,5.152576284107127,4.992857142857143,4.833138001607159
TALLUSPIN,2025-06-01,5.0,4.9,5.1,4.9,34607,0.171,22,0.1,446.677,2025-06-01 11:08:47.601,0,5.147773946314594,4.986666666666666,4.825559387018739
TALLUSPIN,2025-06-02,5.0,5.0,5.1,4.9,40305,0.201,34,0.1,437.743,2025-06-02 11:07:17.281,0,5.14362494995996,4.9875,4.83137505004004
TALLUSPIN,2025-06-03,5.0,4.9,5.1,4.9,79288,0.39,38,-0.1,446.677,2025-06-03 11:08:04.101,0,5.139313694872074,4.982352941176471,4.825392187480867
TALLUSPIN,2025-06-04,5.0,5.0,5.1,4.9,16076,0.08,22,0.1,437.743,2025-06-04 11:08:06.670,0,5.136085856498528,4.983333333333333,4.830580810168139
