symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
TAMIJTEX,2025-05-13,95.2,98.9,100.9,95.2,1835,0.18,23,0.2,2919289000.0,2025-05-13 16:28:48.518,0,98.9,98.9,98.9
TAMIJTEX,2025-05-14,104.9,98.2,104.9,97.3,1887,0.19,26,0.9,2973405000.0,2025-05-14 11:46:53.061,0,99.25000000000003,98.55000000000001,97.85
TAMIJTEX,2025-05-15,97.5,96.3,99.5,95.0,2043,0.197,29,,2952360000.0,2025-05-15 09:12:51.264,0,99.99696760710457,97.8,95.60303239289543
TAMIJTEX,2025-05-17,94.1,94.9,98.5,94.1,852,0.081,13,1.7,2895.237,2025-05-17 09:20:35.556,0,100.22579355083765,97.075,93.92420644916236
TAMIJTEX,2025-05-18,99.9,95.7,99.9,94.5,2090,0.2,26,0.3,2853.146,2025-05-18 10:57:56.402,0,99.82522726419026,96.8,93.77477273580973
TAMIJTEX,2025-05-19,95.0,95.2,95.3,95.0,219,0.021,9,-0.4,2877.198,2025-05-19 10:57:51.893,0,99.54147044604763,96.53333333333335,93.52519622061907
TAMIJTEX,2025-05-20,95.2,95.2,95.3,95.1,2159,0.206,32,,2862.166,2025-05-20 10:57:30.371,0,99.28002223449062,96.34285714285714,93.40569205122367
TAMIJTEX,2025-05-21,94.2,96.6,98.6,94.0,2163,0.207,50,3.4,2862.166,2025-05-21 11:07:05.486,0,99.12772592170018,96.375,93.62227407829982
TAMIJTEX,2025-05-22,96.6,97.1,98.3,96.2,2622,0.254,28,-0.2,2904.256,2025-05-22 10:57:49.281,0,99.09055268582787,96.45555555555556,93.82055842528325
TAMIJTEX,2025-05-24,95.4,96.9,99.0,95.2,493,0.048,18,-0.2,2919.289,2025-05-24 11:06:43.044,0,99.01396101799531,96.5,93.98603898200469
TAMIJTEX,2025-05-25,102.9,98.5,106.4,97.0,8038,0.809,70,1.1,2913.276,2025-05-25 11:06:40.200,0,99.34034570566318,96.68181818181819,94.02329065797319
TAMIJTEX,2025-05-26,97.0,97.5,100.9,96.4,1989,0.194,35,,2961.38,2025-05-26 10:58:17.595,0,99.33521436893217,96.75,94.16478563106783
TAMIJTEX,2025-05-27,98.0,98.0,98.0,96.7,276,0.027,10,0.5,2931.315,2025-05-27 10:57:23.687,0,99.41773269026486,96.84615384615384,94.27457500204282
TAMIJTEX,2025-05-28,97.9,96.1,98.0,95.0,1697,0.163,40,-1.9,2946.347,2025-05-28 11:06:00.666,0,99.30051887182674,96.79285714285713,94.28519541388752
TAMIJTEX,2025-05-29,99.0,94.4,99.0,93.7,1835,0.173,37,-0.1,2889.224,2025-05-29 11:06:26.363,0,99.33411511315603,96.63333333333334,93.93255155351065
TAMIJTEX,2025-06-01,96.1,94.0,96.1,94.0,2871,0.271,60,1.2,2838.114,2025-06-01 10:58:05.168,0,99.37797562720735,96.46875,93.55952437279265
TAMIJTEX,2025-06-02,97.8,94.1,97.9,94.0,2332,0.22,42,3.4,2826.088,2025-06-02 10:57:41.205,0,99.36393058953955,96.32941176470588,93.29489293987221
TAMIJTEX,2025-06-03,95.1,95.0,95.1,95.0,800,0.076,7,0.9,2829.095,2025-06-03 10:57:42.816,0,99.2668101646824,96.25555555555555,93.2443009464287
TAMIJTEX,2025-06-04,94.0,94.7,96.8,94.0,813,0.077,25,1.8,2856.153,2025-06-04 10:58:16.595,0,98.82107560296826,96.02222222222221,93.22336884147616
