symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
TILIL,2025-05-13,36.7,37.0,37.8,36.6,56042,2.07,113,-0.2,1476000000.0,2025-05-13 16:31:03.743,0,37.0,37.0,37.0
TILIL,2025-05-14,36.8,36.2,37.3,36.0,42731,1.551,104,-0.1,1480000000.0,2025-05-14 11:49:06.132,0,37.4,36.6,35.800000000000004
TILIL,2025-05-15,37.8,36.7,37.8,36.0,54349,1.973,161,0.5,1448000000.0,2025-05-15 09:15:23.567,0,37.29329966244077,36.63333333333333,35.97336700422589
TILIL,2025-05-17,36.2,37.1,37.6,36.2,7734,0.286,42,0.4,1468.0,2025-05-17 09:35:21.737,0,37.45,36.75,36.05
TILIL,2025-05-18,37.1,36.8,37.3,36.5,25701,0.951,95,-0.3,1484.0,2025-05-18 11:01:05.143,0,37.38737548565433,36.760000000000005,36.13262451434568
TILIL,2025-05-19,36.4,37.9,38.3,36.2,41337,1.542,165,1.1,1472.0,2025-05-19 11:00:02.102,0,37.97469507659596,36.949999999999996,35.925304923404035
TILIL,2025-05-20,37.8,38.2,38.4,37.6,12683,0.481,70,0.3,1516.0,2025-05-20 10:59:57.588,0,38.419038833215566,37.128571428571426,35.838104023927286
TILIL,2025-05-21,37.1,37.6,38.5,37.0,61820,2.305,121,-0.6,1528.0,2025-05-21 11:22:08.247,0,38.43424576397917,37.1875,35.94075423602083
TILIL,2025-05-22,38.0,37.2,38.0,37.1,19594,0.73,87,-0.4,1504.0,2025-05-22 11:00:45.151,0,38.36435832492784,37.18888888888889,36.01341945284994
TILIL,2025-05-24,37.4,37.2,37.5,37.0,7950,0.296,44,,1488.0,2025-05-24 11:21:21.174,0,38.30516814875606,37.190000000000005,36.07483185124395
TILIL,2025-05-25,36.8,36.4,37.2,36.2,25426,0.928,103,-0.8,1488.0,2025-05-25 11:21:26.699,0,38.27440822513343,37.11818181818182,35.96195541123021
TILIL,2025-05-26,36.1,36.6,37.0,36.1,14772,0.541,93,0.2,1456.0,2025-05-26 11:00:46.407,0,38.21845966260293,37.075,35.931540337397074
TILIL,2025-05-27,37.3,36.4,37.4,36.4,7747,0.284,76,-0.1,1464.0,2025-05-27 10:59:33.599,0,38.17907491656426,37.02307692307692,35.86707892958958
TILIL,2025-05-28,36.2,36.4,37.0,35.8,9706,0.352,91,,1456.0,2025-05-28 11:21:15.159,0,38.13782875592392,36.978571428571435,35.81931410121895
TILIL,2025-05-29,36.0,36.0,36.9,35.8,35896,1.298,155,-0.4,1456.0,2025-05-29 11:21:24.301,0,38.135062526821905,36.913333333333334,35.69160413984476
TILIL,2025-06-01,36.0,36.2,36.8,35.9,30837,1.116,106,0.2,1440.0,2025-06-01 11:01:04.432,0,38.10106235894152,36.86875,35.63643764105848
TILIL,2025-06-02,37.4,35.6,37.4,35.5,50180,1.801,214,-0.6,1448.0,2025-06-02 11:00:08.895,0,38.13043495392748,36.794117647058826,35.457800340190175
TILIL,2025-06-03,36.8,36.2,36.8,35.6,24666,0.888,117,0.6,1424.0,2025-06-03 11:00:15.142,0,38.087993654500174,36.76111111111111,35.43422856772205
TILIL,2025-06-04,36.1,36.9,37.2,35.6,130982,4.805,197,0.7,1448.0,2025-06-04 11:00:36.918,0,38.079224232163156,36.75555555555556,35.431886878947964
