symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
TRUSTB1MF,2025-05-13,4.2,4.0,4.3,4.0,1127354,4.565,163,-0.1,1244705000.0,2025-05-13 16:37:57.144,0,4.0,4.0,4.0
TRUSTB1MF,2025-05-14,4.0,3.9,4.1,3.8,1355396,5.36,136,-0.1,1214347000.0,2025-05-14 11:56:40.227,0,4.050000000000001,3.95,3.8499999999999996
TRUSTB1MF,2025-05-15,4.0,3.8,4.0,3.8,470301,1.792,79,-0.1,1183988000.0,2025-05-15 09:22:58.925,0,4.063299316185545,3.9,3.7367006838144543
TRUSTB1MF,2025-05-17,3.9,3.9,4.0,3.7,159659,0.613,45,0.2,1153.629,2025-05-17 10:21:10.090,0,4.04142135623731,3.9,3.7585786437626902
TRUSTB1MF,2025-05-18,3.9,3.7,4.0,3.7,1310292,4.915,105,-0.2,1183.988,2025-05-18 11:09:38.923,0,4.063960780543711,3.8600000000000003,3.656039219456289
TRUSTB1MF,2025-05-19,3.7,3.7,3.8,3.6,373108,1.358,45,,1123.271,2025-05-19 11:08:03.904,0,4.05444165269036,3.8333333333333335,3.6122250139763072
TRUSTB1MF,2025-05-20,3.7,3.5,3.8,3.5,661009,2.348,100,-0.2,1123.271,2025-05-20 11:08:54.878,0,4.0960794426057205,3.7857142857142856,3.475349128822851
TRUSTB1MF,2025-05-21,3.7,3.8,3.8,3.7,1255885,4.752,191,0.3,1062.553,2025-05-21 12:09:36.621,0,4.0779737509655565,3.7875,3.497026249034444
TRUSTB1MF,2025-05-22,3.8,3.7,3.9,3.7,425700,1.582,81,-0.1,1153.629,2025-05-22 11:11:28.456,0,4.057106779777256,3.7777777777777777,3.4984487757782996
TRUSTB1MF,2025-05-24,3.6,3.5,3.7,3.5,606627,2.154,82,-0.1,1123.271,2025-05-24 12:10:07.869,0,4.06304951684997,3.75,3.4369504831500297
TRUSTB1MF,2025-05-25,3.5,3.6,3.7,3.5,582941,2.077,96,0.1,1062.553,2025-05-25 12:08:52.800,0,4.04705468164791,3.7363636363636363,3.425672591079363
TRUSTB1MF,2025-05-26,3.7,3.7,3.8,3.5,543321,1.996,95,0.1,1092.912,2025-05-26 11:08:44.036,0,4.031475730333304,3.733333333333333,3.435190936333361
TRUSTB1MF,2025-05-27,3.7,3.7,3.8,3.6,344467,1.274,57,,1123.271,2025-05-27 11:07:16.284,0,4.01776550932581,3.730769230769231,3.443772952212652
TRUSTB1MF,2025-05-28,3.8,3.6,3.8,3.6,216608,0.79,46,-0.1,1123.271,2025-05-28 12:07:35.339,0,4.006069412073876,3.7214285714285715,3.436787730783268
TRUSTB1MF,2025-05-29,3.6,3.7,3.7,3.6,579844,2.126,50,0.1,1092.912,2025-05-29 12:07:05.052,0,3.995196899207337,3.7199999999999998,3.4448031007926625
TRUSTB1MF,2025-06-01,3.7,3.7,3.8,3.6,93830,0.344,33,,1123.271,2025-06-01 11:09:36.837,0,3.985384112596269,3.71875,3.452115887403731
TRUSTB1MF,2025-06-02,3.7,3.7,3.7,3.6,232761,0.856,20,,1123.271,2025-06-02 11:08:02.633,0,3.976470588235294,3.7176470588235295,3.458823529411765
TRUSTB1MF,2025-06-03,3.6,3.6,3.7,3.6,70187,0.253,17,-0.1,1123.271,2025-06-03 11:08:48.136,0,3.9683519311731157,3.711111111111111,3.453870291049106
TRUSTB1MF,2025-06-04,3.6,3.6,3.7,3.6,13987,0.05,7,,1092.912,2025-06-04 11:09:02.772,0,3.908877665258037,3.688888888888889,3.468900112519741
