symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
TUNGHAI,2025-05-13,2.9,2.7,2.9,2.7,122832,0.334,37,-0.1,298628000.0,2025-05-13 16:38:41.360,0,2.7,2.7,2.7
TUNGHAI,2025-05-14,2.7,2.7,2.8,2.7,10690,0.029,13,,287963000.0,2025-05-14 11:57:24.898,0,2.7,2.7,2.7
TUNGHAI,2025-05-15,2.7,2.7,2.8,2.7,37086,0.1,22,,287963000.0,2025-05-15 09:23:45.767,0,2.7,2.7,2.7
TUNGHAI,2025-05-17,2.8,2.6,2.8,2.6,29388,0.077,14,0.1,287.963,2025-05-17 10:25:55.298,0,2.761602540378444,2.6750000000000003,2.5883974596215564
TUNGHAI,2025-05-18,2.7,2.7,2.7,2.7,20826,0.056,18,0.1,277.298,2025-05-18 11:10:15.429,0,2.7600000000000002,2.68,2.6
TUNGHAI,2025-05-19,2.8,2.7,2.8,2.7,13474,0.036,16,,287.963,2025-05-19 11:08:45.039,0,2.7578689325833268,2.6833333333333336,2.6087977340833404
TUNGHAI,2025-05-20,2.7,2.7,2.8,2.6,14518,0.039,16,,287.963,2025-05-20 11:09:30.347,0,2.7556997069366624,2.685714285714286,2.6157288644919094
TUNGHAI,2025-05-21,2.8,2.6,2.8,2.6,27412,0.072,22,,287.963,2025-05-21 12:13:35.546,0,2.761602540378444,2.6750000000000003,2.5883974596215564
TUNGHAI,2025-05-22,2.8,2.7,2.8,2.7,23292,0.064,22,0.2,277.298,2025-05-22 11:11:59.259,0,2.760925719706088,2.677777777777778,2.594629835849468
TUNGHAI,2025-05-24,2.7,2.7,2.8,2.7,7004,0.019,6,,287.963,2025-05-24 12:13:44.269,0,2.7600000000000002,2.68,2.6
TUNGHAI,2025-05-25,2.6,2.7,2.8,2.6,10502,0.028,9,,287.963,2025-05-25 12:12:23.218,0,2.7589571034021687,2.6818181818181817,2.6046792602341946
TUNGHAI,2025-05-26,2.8,2.8,2.8,2.7,53113,0.148,18,0.1,287.963,2025-05-26 11:09:25.649,0,2.7902679963849937,2.691666666666667,2.59306533694834
TUNGHAI,2025-05-27,2.6,2.8,2.9,2.6,69337,0.194,25,,298.628,2025-05-27 11:07:48.448,0,2.810940039245046,2.7,2.5890599607549545
TUNGHAI,2025-05-28,2.9,2.7,2.9,2.6,32019,0.085,16,-0.1,298.628,2025-05-28 12:11:09.929,0,2.80690449676497,2.7,2.5930955032350305
TUNGHAI,2025-05-29,2.6,2.5,2.7,2.5,123896,0.311,30,,287.963,2025-05-29 12:10:50.212,0,2.830271061523587,2.686666666666667,2.543062271809747
TUNGHAI,2025-06-01,2.7,2.6,2.7,2.5,10943,0.029,14,0.2,266.633,2025-06-01 11:10:28.752,0,2.826486875482778,2.68125,2.536013124517222
TUNGHAI,2025-06-02,2.7,2.5,2.7,2.4,265161,0.659,64,,277.298,2025-06-02 11:08:41.285,0,2.8352941176470585,2.6705882352941175,2.5058823529411764
TUNGHAI,2025-06-03,2.5,2.5,2.6,2.4,140907,0.344,54,,266.633,2025-06-03 11:09:19.747,0,2.839235772687571,2.661111111111111,2.4829864495346508
TUNGHAI,2025-06-04,2.6,2.5,2.6,2.4,18611,0.047,18,0.1,266.633,2025-06-04 11:09:40.157,0,2.8414854215512677,2.65,2.458514578448732
