symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
UNILEVERCL,2025-05-13,2199.9,2152.5,2199.9,2150.0,21,0.045,8,-78.6,42954745000.0,2025-05-13 16:26:59.951,0,2152.5,2152.5,2152.5
UNILEVERCL,2025-05-14,2190.0,2156.1,2190.0,2150.0,5084,10.962,23,3.6,41487969000.0,2025-05-14 11:45:20.303,0,2157.8999999999996,2154.3,2150.7000000000007
UNILEVERCL,2025-05-15,2179.9,2189.7,2190.0,2179.9,158,0.346,32,23.9,41557357000.0,2025-05-15 09:11:02.260,0,2199.6046265461946,2166.1,2132.595373453805
UNILEVERCL,2025-05-17,2170.0,2193.7,2200.0,2170.0,35,0.077,15,10.3,42204.974,2025-05-17 09:10:08.885,0,2210.593084470418,2173.0,2135.406915529582
UNILEVERCL,2025-05-18,2190.1,2172.8,2193.7,2155.0,117,0.255,48,,42282.071,2025-05-18 10:56:02.331,0,2206.5846576190747,2172.96,2139.3353423809253
UNILEVERCL,2025-05-19,2199.9,2162.2,2199.9,2151.1,84,0.182,33,17.2,41879.238,2025-05-19 10:55:53.167,0,2202.8920858478564,2171.1666666666665,2139.4412474854767
UNILEVERCL,2025-05-20,2101.0,2154.6,2170.0,2101.0,33,0.071,16,-12.2,41674.93,2025-05-20 10:55:47.971,0,2200.3775688922187,2168.7999999999997,2137.2224311077807
UNILEVERCL,2025-05-21,2186.1,2186.1,2186.1,2186.1,2,0.004,1,31.5,41528.446,2025-05-21 10:56:24.894,0,2202.6396112161447,2170.9625,2139.2853887838555
UNILEVERCL,2025-05-22,2151.0,2151.3,2160.0,2148.1,21,0.045,14,-34.8,42135.587,2025-05-22 10:55:33.348,0,2201.0993258399576,2168.777777777778,2136.456229715598
UNILEVERCL,2025-05-24,2151.3,2151.3,2151.3,2151.3,45,0.097,1,,41464.84,2025-05-24 10:56:09.870,0,2199.4365487208984,2167.0299999999997,2134.623451279101
UNILEVERCL,2025-05-25,2115.0,2115.0,2115.0,2115.0,2,0.004,2,-36.3,41464.84,2025-05-25 10:56:43.329,0,2205.307314388474,2162.2999999999997,2119.2926856115255
UNILEVERCL,2025-05-26,2115.0,2121.8,2179.9,2101.1,62,0.132,20,6.8,40765.183,2025-05-26 10:56:37.456,0,2205.793761807128,2158.9249999999997,2112.0562381928717
UNILEVERCL,2025-05-27,2103.0,2127.2,2176.8,2103.0,51,0.108,7,26.2,40896.248,2025-05-27 10:55:40.210,0,2204.5841817446526,2156.484615384615,2108.3850490245777
UNILEVERCL,2025-05-28,2159.8,2129.1,2159.8,2127.2,74,0.158,21,,41000.329,2025-05-28 10:56:29.466,0,2202.977214551038,2154.5285714285715,2106.079928306105
UNILEVERCL,2025-05-29,2171.0,2160.8,2171.0,2117.0,48,0.104,9,20.8,41036.95,2025-05-29 10:56:32.694,0,2201.856956464203,2154.9466666666667,2108.0363768691304
UNILEVERCL,2025-06-01,2198.7,2196.1,2198.7,2175.0,53,0.116,19,28.2,41647.946,2025-06-01 10:56:00.990,0,2207.116896071703,2157.51875,2107.920603928297
UNILEVERCL,2025-06-02,2210.1,2206.6,2220.0,2196.0,147,0.324,29,23.9,42328.33,2025-06-02 10:55:52.499,0,2213.7795251361035,2160.4058823529413,2107.032239569779
UNILEVERCL,2025-06-03,2200.0,2241.4,2258.0,2200.0,183,0.41,28,34.8,42530.71,2025-06-03 10:55:54.247,0,2228.680802311373,2164.9055555555556,2101.130308799738
UNILEVERCL,2025-06-04,2242.1,2319.8,2353.0,2242.1,146,0.336,56,111.6,43201.456,2025-06-04 10:56:19.430,0,2269.169234784511,2174.2,2079.2307652154886
