symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
UNIONBANK,2025-05-13,3.2,3.2,3.3,3.2,595754,1.929,197,,3316097000.0,2025-05-13 16:38:32.631,0,3.2,3.2,3.2
UNIONBANK,2025-05-14,3.2,3.2,3.3,3.1,979940,3.09,153,,3316097000.0,2025-05-14 11:57:15.138,0,3.2,3.2,3.2
UNIONBANK,2025-05-15,3.1,3.1,3.1,3.0,373834,1.153,97,-0.1,3316097000.0,2025-05-15 09:23:30.698,0,3.260947570824873,3.1666666666666665,3.07238576250846
UNIONBANK,2025-05-17,3.0,3.1,3.1,3.0,249695,0.762,100,,3212.469,2025-05-17 10:25:29.732,0,3.2500000000000004,3.1500000000000004,3.0500000000000003
UNIONBANK,2025-05-18,3.1,3.0,3.2,3.0,116164,0.352,81,,3212.469,2025-05-18 11:10:11.200,0,3.269666295470958,3.12,2.9703337045290423
UNIONBANK,2025-05-19,3.0,3.0,3.1,3.0,417142,1.255,125,,3108.841,2025-05-19 11:08:36.960,0,3.2632993161855457,3.1,2.9367006838144545
UNIONBANK,2025-05-20,3.0,3.0,3.1,3.0,163026,0.49,172,,3108.841,2025-05-20 11:09:26.116,0,3.2523129112812947,3.085714285714286,2.919115660147277
UNIONBANK,2025-05-21,3.0,3.0,3.1,3.0,138826,0.417,59,,3108.841,2025-05-21 12:13:09.049,0,3.2408312395177705,3.075,2.90916876048223
UNIONBANK,2025-05-22,3.0,3.0,3.1,3.0,60788,0.183,42,,3108.841,2025-05-22 11:11:54.881,0,3.2299659828522125,3.066666666666667,2.9033673504811213
UNIONBANK,2025-05-24,3.0,3.0,3.1,3.0,23075,0.07,26,,3108.841,2025-05-24 12:13:20.874,0,3.22,3.06,2.9
UNIONBANK,2025-05-25,3.0,3.0,3.1,2.9,291303,0.873,112,,3108.841,2025-05-25 12:11:39.394,0,3.2109513684916844,3.0545454545454547,2.898139540599225
UNIONBANK,2025-05-26,2.9,3.0,3.1,2.9,677889,2.008,187,,3108.841,2025-05-26 11:09:17.982,0,3.202752523165195,3.0500000000000003,2.8972474768348055
UNIONBANK,2025-05-27,3.0,3.3,3.3,3.0,2178503,7.114,320,0.3,3108.841,2025-05-27 11:07:35.630,0,3.267447672718848,3.069230769230769,2.87101386574269
UNIONBANK,2025-05-28,3.4,3.1,3.6,3.0,1128268,3.665,278,-0.2,3419.725,2025-05-28 12:10:20.105,0,3.2630915409285537,3.0714285714285716,2.8797656019285895
UNIONBANK,2025-05-29,3.1,3.1,3.2,3.0,183808,0.57,69,0.1,3212.469,2025-05-29 12:09:21.531,0,3.2590451770291216,3.0733333333333333,2.887621489637545
UNIONBANK,2025-06-01,3.1,3.0,3.1,2.9,311990,0.94,178,,3212.469,2025-06-01 11:10:20.578,0,3.25203597873269,3.06875,2.8854640212673104
UNIONBANK,2025-06-02,3.0,3.1,3.1,3.0,284875,0.881,119,0.1,3108.841,2025-06-02 11:08:28.226,0,3.2490088339776837,3.070588235294118,2.892167636610552
UNIONBANK,2025-06-03,3.0,3.0,3.2,2.9,1197453,3.564,132,-0.1,3212.469,2025-06-03 11:09:14.020,0,3.2430500874043062,3.066666666666667,2.8902832459290275
UNIONBANK,2025-06-04,3.1,3.1,3.1,3.0,33727,0.103,32,0.1,3108.841,2025-06-04 11:09:31.351,0,3.226289652747983,3.061111111111111,2.8959325694742386
