symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
UNIONCAP,2025-05-13,4.4,4.2,4.5,4.1,86985,0.367,89,-0.1,742068000.0,2025-05-13 16:37:49.711,0,4.2,4.2,4.2
UNIONCAP,2025-05-14,4.3,4.1,4.3,4.0,73336,0.302,65,,724810000.0,2025-05-14 11:56:33.080,0,4.250000000000002,4.15,4.049999999999999
UNIONCAP,2025-05-15,4.2,4.2,4.3,4.0,45603,0.19,55,0.1,707553000.0,2025-05-15 09:22:40.838,0,4.260947570824874,4.166666666666667,4.07238576250846
UNIONCAP,2025-05-17,4.4,4.2,4.4,4.1,30777,0.129,41,0.1,724.81,2025-05-17 10:20:18.124,0,4.261602540378444,4.175,4.0883974596215555
UNIONCAP,2025-05-18,4.4,4.4,4.5,4.3,232263,1.03,92,0.3,724.81,2025-05-18 11:09:06.694,0,4.4159591794226545,4.220000000000001,4.024040820577347
UNIONCAP,2025-05-19,4.4,4.4,4.6,4.4,82467,0.367,33,,759.325,2025-05-19 11:07:47.092,0,4.473606797749978,4.25,4.026393202250022
UNIONCAP,2025-05-20,4.5,4.4,4.5,4.4,103538,0.456,44,,759.325,2025-05-20 11:08:19.859,0,4.50354395441817,4.271428571428571,4.039313188438973
UNIONCAP,2025-05-21,4.4,4.6,4.8,4.4,262604,1.214,124,0.3,759.325,2025-05-21 12:06:27.631,0,4.619705143186112,4.3125,4.005294856813888
UNIONCAP,2025-05-22,4.8,4.6,4.8,4.5,118923,0.547,49,,793.84,2025-05-22 11:11:04.119,0,4.6858286999052705,4.344444444444445,4.0030601889836195
UNIONCAP,2025-05-24,4.7,4.5,4.7,4.5,44515,0.2,24,,793.84,2025-05-24 12:07:01.908,0,4.697045990927053,4.36,4.022954009072947
UNIONCAP,2025-05-25,4.5,4.4,4.5,4.4,19936,0.089,19,,776.582,2025-05-25 12:05:21.146,0,4.685819002666714,4.363636363636363,4.041453724606012
UNIONCAP,2025-05-26,4.7,4.3,4.7,4.3,101390,0.444,70,-0.1,759.325,2025-05-26 11:08:23.189,0,4.668798933503285,4.358333333333333,4.047867733163382
UNIONCAP,2025-05-27,4.4,4.2,4.4,4.2,131918,0.562,104,,742.068,2025-05-27 11:06:49.118,0,4.656145256609382,4.346153846153846,4.0361624356983095
UNIONCAP,2025-05-28,4.3,4.1,4.4,3.8,371234,1.533,94,-0.1,724.81,2025-05-28 12:06:00.637,0,4.653080476902872,4.328571428571428,4.004062380239985
UNIONCAP,2025-05-29,4.1,4.2,4.3,4.0,97350,0.406,53,0.1,707.553,2025-05-29 12:04:58.391,0,4.639999999999999,4.319999999999999,4.0
UNIONCAP,2025-06-01,4.4,4.1,4.4,4.1,15139,0.063,12,0.1,724.81,2025-06-01 11:09:09.914,0,4.633883560552029,4.30625,3.9786164394479715
UNIONCAP,2025-06-02,4.3,4.1,4.3,4.0,112875,0.463,42,0.1,707.553,2025-06-02 11:07:38.954,0,4.626457573925307,4.294117647058823,3.96177772019234
UNIONCAP,2025-06-03,4.1,4.1,4.2,4.1,48560,0.199,37,,707.553,2025-06-03 11:08:26.793,0,4.618329187370696,4.283333333333333,3.94833747929597
UNIONCAP,2025-06-04,4.2,4.2,4.2,4.1,41711,0.174,26,0.1,707.553,2025-06-04 11:08:35.813,0,4.618329187370696,4.283333333333333,3.94833747929597
