symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
UNIONINS,2025-05-13,29.2,27.8,29.2,27.3,149468,4.234,297,-1.0,1369784000.0,2025-05-13 16:31:55.089,0,27.8,27.8,27.8
UNIONINS,2025-05-14,27.5,26.8,28.2,26.6,47959,1.308,115,-1.0,1345583000.0,2025-05-14 11:50:06.466,0,28.3,27.3,26.3
UNIONINS,2025-05-15,27.6,25.5,27.6,25.0,96192,2.49,208,-1.3,1297181000.0,2025-05-15 09:16:17.417,0,28.583259585576737,26.7,24.81674041442326
UNIONINS,2025-05-17,24.6,25.6,26.0,24.6,87956,2.228,210,,1234.258,2025-05-17 09:42:26.172,0,28.31378267675241,26.425,24.53621732324759
UNIONINS,2025-05-18,25.7,25.6,27.0,25.4,230816,6.017,371,,1239.098,2025-05-18 11:02:20.025,0,28.073725447800744,26.26,24.44627455219926
UNIONINS,2025-05-19,25.6,25.4,25.9,25.2,50573,1.29,120,-0.2,1239.098,2025-05-19 11:01:05.056,0,27.892116531411432,26.116666666666664,24.341216801921895
UNIONINS,2025-05-20,25.2,25.8,25.9,25.2,56550,1.451,254,0.3,1229.417,2025-05-20 11:01:19.210,0,27.73004860270857,26.071428571428573,24.412808540148575
UNIONINS,2025-05-21,25.6,25.9,26.4,25.6,80042,2.079,174,0.1,1248.778,2025-05-21 11:29:14.771,0,27.605634918610406,26.05,24.494365081389596
UNIONINS,2025-05-22,26.4,26.1,26.5,25.9,53200,1.392,108,0.2,1253.619,2025-05-22 11:01:49.132,0,27.522558883919913,26.055555555555557,24.5885522271912
UNIONINS,2025-05-24,25.9,25.7,26.2,25.6,50707,1.313,95,-0.4,1263.299,2025-05-24 11:28:21.433,0,27.427977272543842,26.02,24.612022727456157
UNIONINS,2025-05-25,25.7,25.5,26.0,25.4,49861,1.282,147,-0.2,1243.938,2025-05-25 11:27:55.781,0,27.348070956296542,25.972727272727273,24.597383589158003
UNIONINS,2025-05-26,25.4,25.9,26.1,25.4,61143,1.577,160,0.4,1234.258,2025-05-26 11:01:42.303,0,27.284071523024636,25.96666666666667,24.6492618103087
UNIONINS,2025-05-27,26.0,25.4,26.0,25.3,32932,0.84,108,-0.5,1253.619,2025-05-27 11:00:37.217,0,27.22432802792557,25.923076923076923,24.621825818228277
UNIONINS,2025-05-28,25.9,25.0,26.5,24.2,81831,2.095,170,-0.4,1229.417,2025-05-28 11:27:27.278,0,27.198175051737298,25.857142857142858,24.516110662548417
UNIONINS,2025-05-29,24.3,25.0,25.6,24.3,41202,1.041,75,,1210.057,2025-05-29 11:27:15.499,0,27.164306905843894,25.8,24.435693094156107
UNIONINS,2025-06-01,24.9,25.1,25.5,24.9,59261,1.486,174,0.1,1210.057,2025-06-01 11:02:23.842,0,27.12001088446619,25.75625,24.392489115533813
UNIONINS,2025-06-02,25.1,25.7,25.9,25.0,65181,1.659,166,0.6,1214.897,2025-06-02 11:00:57.459,0,27.076248347354248,25.75294117647059,24.42963400558693
UNIONINS,2025-06-03,25.7,26.7,26.8,25.7,166655,4.381,288,1.0,1243.938,2025-06-03 11:00:57.448,0,27.16279494690555,25.805555555555557,24.448316164205565
UNIONINS,2025-06-04,26.8,27.6,27.9,26.7,147566,4.049,257,0.9,1292.34,2025-06-04 11:01:18.375,0,27.0879705850938,25.794444444444444,24.50091830379509
