symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
UPGDCL,2025-05-13,121.7,122.5,125.5,120.1,169474,20.855,1020,2.8,69389524000.0,2025-05-13 16:28:21.949,0,122.5,122.5,122.5
UPGDCL,2025-05-14,123.3,121.1,123.3,120.0,18327,2.23,194,-1.8,71012671000.0,2025-05-14 11:46:26.495,0,123.2,121.8,120.39999999999999
UPGDCL,2025-05-15,120.5,118.5,121.0,118.1,44667,5.35,311,-2.6,70201097000.0,2025-05-15 09:12:30.573,0,124.01461410524162,120.7,117.38538589475839
UPGDCL,2025-05-17,121.7,118.8,121.7,117.7,8898,1.057,105,0.5,68693.889,2025-05-17 09:18:16.575,0,123.53370065131314,120.225,116.91629934868685
UPGDCL,2025-05-18,120.0,118.3,120.9,117.5,20036,2.373,143,-0.5,68867.798,2025-05-18 10:57:36.452,0,123.17610551391888,119.84,116.50389448608112
UPGDCL,2025-05-19,120.5,120.6,121.0,118.5,15336,1.841,134,2.3,68577.95,2025-05-19 10:57:25.105,0,123.0643360414637,119.96666666666665,116.8689972918696
UPGDCL,2025-05-20,122.0,118.9,123.0,118.5,5614,0.668,57,-1.5,69911.25,2025-05-20 10:57:06.932,0,122.77773654335755,119.81428571428572,116.85083488521389
UPGDCL,2025-05-21,119.1,118.7,119.5,118.0,19866,2.355,166,-0.2,68925.768,2025-05-21 11:04:35.352,0,122.54336190185269,119.675,116.8066380981473
UPGDCL,2025-05-22,119.3,119.1,120.4,118.5,25903,3.082,224,0.4,68809.829,2025-05-22 10:57:21.521,0,122.33947153768307,119.61111111111111,116.88275068453916
UPGDCL,2025-05-24,118.7,117.7,120.0,117.5,23209,2.742,192,-1.4,69041.707,2025-05-24 11:04:28.025,0,122.25097156467527,119.42,116.58902843532474
UPGDCL,2025-05-25,118.3,117.6,118.9,117.4,8925,1.052,100,-0.1,68230.133,2025-05-25 11:04:42.776,0,122.14951116181746,119.25454545454545,116.35957974727344
UPGDCL,2025-05-26,119.8,117.6,119.8,117.5,7159,0.844,67,,68172.164,2025-05-26 10:58:00.045,0,122.03538023412902,119.11666666666667,116.19795309920433
UPGDCL,2025-05-27,118.0,117.0,118.0,116.8,9664,1.133,131,-0.8,68172.164,2025-05-27 10:57:06.540,0,121.97644349298284,118.95384615384616,115.93124881470948
UPGDCL,2025-05-28,117.0,116.3,117.0,116.1,8911,1.038,96,-0.1,67824.347,2025-05-28 11:04:01.289,0,121.98174446558718,118.76428571428572,115.54682696298426
UPGDCL,2025-06-01,117.3,118.9,119.2,117.3,3498,0.415,51,1.3,67998.255,2025-06-01 10:57:36.657,0,121.88243109456387,118.77333333333333,115.66423557210278
UPGDCL,2025-06-02,119.9,117.5,121.0,117.1,28547,3.361,172,-1.4,68925.768,2025-06-02 10:57:18.135,0,121.76658968830134,118.69375,115.62091031169865
UPGDCL,2025-06-03,119.4,117.5,119.5,117.1,14859,1.752,85,,68114.194,2025-06-03 10:57:11.034,0,121.65709024838573,118.62352941176471,115.58996857514369
UPGDCL,2025-06-04,117.5,120.2,120.6,117.5,34087,4.062,335,2.7,68114.194,2025-06-04 10:57:42.355,0,121.74637708070469,118.71111111111112,115.67584514151756
