symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
USMANIAGL,2025-05-13,33.1,32.8,33.5,32.7,5066,0.167,29,,571078000.0,2025-05-13 16:31:20.492,0,32.8,32.8,32.8
USMANIAGL,2025-05-14,32.2,32.4,33.1,32.1,2020,0.065,10,-0.1,571078000.0,2025-05-14 11:49:25.066,0,32.999999999999986,32.599999999999994,32.2
USMANIAGL,2025-05-15,32.2,32.1,32.2,31.9,5315,0.17,20,-0.3,564113000.0,2025-05-15 09:15:42.365,0,33.0068216844695,32.43333333333333,31.859844982197163
USMANIAGL,2025-05-17,31.7,31.6,31.7,31.5,1000,0.032,3,-0.6,558.89,2025-05-17 09:38:03.023,0,33.101070773396756,32.225,31.34892922660325
USMANIAGL,2025-05-18,32.3,32.0,33.6,32.0,2331,0.075,9,0.4,550.184,2025-05-18 11:01:36.599,0,32.98399004968966,32.18,31.376009950310337
USMANIAGL,2025-05-19,32.0,32.0,32.1,31.9,1420,0.045,12,,557.149,2025-05-19 11:00:33.105,0,32.89610097618664,32.15,31.403899023813363
USMANIAGL,2025-05-20,32.0,32.0,32.0,32.0,2100,0.067,5,,557.149,2025-05-20 11:00:38.401,0,32.82725824346499,32.128571428571426,31.429884613677864
USMANIAGL,2025-05-22,34.0,32.6,34.0,32.0,2500,0.081,9,0.6,557.149,2025-05-22 11:01:08.777,0,32.91163741789801,32.1875,31.463362582101993
USMANIAGL,2025-05-24,33.3,32.8,33.5,32.6,1952,0.064,12,0.1,567.595,2025-05-24 11:24:13.219,0,33.03934187060215,32.25555555555556,31.471769240508966
USMANIAGL,2025-05-25,33.0,33.0,33.6,32.8,971,0.032,11,0.2,571.078,2025-05-25 11:23:50.959,0,33.19740993768806,32.33,31.46259006231194
USMANIAGL,2025-05-26,33.0,32.1,33.0,32.0,20584,0.666,45,-1.0,574.56,2025-05-26 11:01:10.028,0,33.14663947682043,32.309090909090905,31.471542341361378
USMANIAGL,2025-05-27,32.2,32.6,33.0,32.2,839,0.027,9,0.2,558.89,2025-05-27 10:59:57.761,0,33.15118960975902,32.333333333333336,31.51547705690765
USMANIAGL,2025-05-28,33.0,32.1,33.0,32.0,1251,0.04,7,-0.1,567.595,2025-05-28 11:23:23.440,0,33.11093436762141,32.315384615384616,31.51983486314782
USMANIAGL,2025-05-29,32.2,32.2,32.2,32.0,4400,0.142,5,0.1,558.89,2025-05-29 11:23:20.449,0,33.07605409375988,32.30714285714286,31.538231620525835
USMANIAGL,2025-06-01,32.2,31.9,32.9,31.7,1280,0.041,9,0.6,560.631,2025-06-01 11:01:30.360,0,33.05010821750366,32.28,31.509891782496343
USMANIAGL,2025-06-02,31.6,32.1,32.6,31.6,5619,0.18,23,0.7,555.408,2025-06-02 11:00:28.300,0,33.01947881255484,32.26875,31.51802118744516
USMANIAGL,2025-06-03,32.1,32.1,32.3,31.7,651,0.021,6,0.2,558.89,2025-06-03 11:00:29.816,0,32.991453998914835,32.258823529411764,31.526193059908696
USMANIAGL,2025-06-04,32.6,32.3,32.6,32.0,1745,0.056,6,-0.1,558.89,2025-06-04 11:01:05.395,0,32.97334980046833,32.26111111111111,31.548872421753902
