symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
VAMLBDMF1,2025-05-13,6.8,6.8,6.9,6.8,66700,0.455,13,-0.1,719808000.0,2025-05-13 16:36:44.588,0,6.8,6.8,6.8
VAMLBDMF1,2025-05-14,6.8,6.8,6.9,6.7,17601,0.12,19,-0.1,709376000.0,2025-05-14 11:55:25.092,0,6.8,6.8,6.8
VAMLBDMF1,2025-05-15,6.9,6.7,6.9,6.6,53275,0.354,22,-0.2,709376000.0,2025-05-15 09:21:35.617,0,6.860947570824873,6.766666666666667,6.67238576250846
VAMLBDMF1,2025-05-17,6.6,6.6,6.6,6.6,19375,0.128,19,-0.1,698.944,2025-05-17 10:14:08.279,0,6.8908312395177695,6.725,6.55916876048223
VAMLBDMF1,2025-05-18,6.8,6.6,6.8,6.6,4280,0.028,8,,688.512,2025-05-18 11:07:58.345,0,6.878885438199983,6.7,6.521114561800017
VAMLBDMF1,2025-05-19,6.8,6.6,6.8,6.3,17100,0.113,10,,688.512,2025-05-19 11:06:25.559,0,6.8628388269044835,6.683333333333334,6.503827839762184
VAMLBDMF1,2025-05-20,6.8,6.5,6.8,6.5,14500,0.094,7,-0.1,688.512,2025-05-20 11:07:19.677,0,6.8670991208099865,6.6571428571428575,6.447186593475728
VAMLBDMF1,2025-05-21,6.6,6.6,6.7,6.6,42870,0.285,11,0.1,678.08,2025-05-21 12:02:01.965,0,6.849999999999999,6.6499999999999995,6.45
VAMLBDMF1,2025-05-22,6.7,6.6,6.7,6.6,102,0.001,2,,688.512,2025-05-22 11:10:10.239,0,6.835607228156502,6.644444444444444,6.453281660732386
VAMLBDMF1,2025-05-24,6.6,6.5,6.6,6.4,40459,0.263,10,-0.2,688.512,2025-05-24 12:02:30.827,0,6.830997512422417,6.63,6.429002487577582
VAMLBDMF1,2025-05-25,6.3,6.5,6.5,6.2,47774,0.308,14,,678.08,2025-05-25 12:00:26.798,0,6.82388560907245,6.618181818181818,6.412478027291186
VAMLBDMF1,2025-05-26,6.6,6.5,6.6,6.5,10198,0.066,4,,678.08,2025-05-26 11:07:08.583,0,6.815831659966479,6.608333333333333,6.400835006700188
VAMLBDMF1,2025-05-27,6.4,6.3,6.4,6.2,15005,0.095,15,-0.3,678.08,2025-05-27 11:05:41.477,0,6.842967009596102,6.584615384615384,6.326263759634666
VAMLBDMF1,2025-05-28,6.5,6.3,6.5,6.3,704,0.004,3,,657.216,2025-05-28 11:59:50.893,0,6.853196405945095,6.564285714285714,6.275375022626333
VAMLBDMF1,2025-05-29,6.5,6.3,6.5,6.3,15710,0.1,10,,657.216,2025-05-29 11:59:03.186,0,6.855355650741073,6.546666666666667,6.237977682592261
VAMLBDMF1,2025-06-01,6.5,6.4,6.5,6.4,1300,0.008,4,0.1,657.216,2025-06-01 11:08:16.244,0,6.844705143186112,6.5375,6.230294856813887
VAMLBDMF1,2025-06-02,6.6,6.4,6.6,6.4,8540,0.055,8,,667.648,2025-06-02 11:06:39.725,0,6.834387797572134,6.529411764705882,6.22443573183963
VAMLBDMF1,2025-06-03,6.3,6.3,6.3,6.3,35673,0.225,5,-0.1,667.648,2025-06-03 11:07:05.768,0,6.831132704401886,6.516666666666667,6.202200628931447
VAMLBDMF1,2025-06-04,6.4,6.3,6.6,6.3,20220,0.127,5,0.3,657.216,2025-06-04 11:07:19.801,0,6.786201959116882,6.488888888888889,6.191575818660896
