symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
YPL,2025-05-13,10.4,10.4,10.5,10.3,13711,0.143,32,,766468000.0,2025-05-13 16:35:33.170,0,10.4,10.4,10.4
YPL,2025-05-14,10.3,10.0,10.4,9.8,113116,1.148,84,-0.4,766468000.0,2025-05-14 11:53:51.778,0,10.599999999999998,10.2,9.8
YPL,2025-05-15,10.3,9.8,10.3,9.7,43118,0.424,57,-0.2,736988000.0,2025-05-15 09:20:18.285,0,10.565554318236526,10.066666666666668,9.56777901509681
YPL,2025-05-17,10.2,10.0,10.2,9.8,15245,0.152,27,0.1,722.248,2025-05-17 10:06:43.855,0,10.485889894354067,10.05,9.614110105645935
YPL,2025-05-18,10.2,10.2,10.4,10.2,59872,0.612,58,0.3,736.988,2025-05-18 11:06:34.814,0,10.487921561087422,10.08,9.672078438912578
YPL,2025-05-19,10.7,10.2,10.7,10.0,11601,0.118,37,0.2,751.728,2025-05-19 11:05:00.623,0,10.482970843102533,10.1,9.717029156897466
YPL,2025-05-20,10.6,10.2,10.6,10.1,5885,0.06,15,-0.1,751.728,2025-05-20 11:05:49.130,0,10.475688875447814,10.114285714285714,9.752882553123614
YPL,2025-05-21,10.6,10.3,10.6,10.0,13262,0.136,26,0.2,751.728,2025-05-21 11:53:16.783,0,10.497187364248452,10.1375,9.777812635751546
YPL,2025-05-22,10.6,10.2,10.6,10.2,46665,0.477,38,-0.1,759.098,2025-05-22 11:08:25.732,0,10.48582869990527,10.144444444444444,9.803060188983618
YPL,2025-05-24,10.7,10.3,10.7,10.1,28621,0.294,33,0.1,751.728,2025-05-24 11:53:20.061,0,10.497045990927054,10.16,9.822954009072946
YPL,2025-05-25,10.5,10.2,10.5,10.2,39309,0.405,30,-0.1,759.098,2025-05-25 11:52:10.926,0,10.485819002666716,10.163636363636364,9.841453724606012
YPL,2025-05-26,10.4,10.4,10.5,10.1,46468,0.476,36,0.1,751.728,2025-05-26 11:05:49.418,0,10.518329187370696,10.183333333333334,9.84833747929597
YPL,2025-05-27,10.5,10.2,10.5,10.2,36961,0.379,42,-0.2,766.468,2025-05-27 11:04:14.052,0,10.506591531330098,10.184615384615386,9.862639237900673
YPL,2025-05-28,10.4,10.2,10.4,10.2,41553,0.424,35,0.1,751.728,2025-05-28 11:50:31.896,0,10.49607944260572,10.185714285714285,9.875349128822851
YPL,2025-05-29,10.2,10.2,10.3,10.2,38781,0.396,20,,751.728,2025-05-29 11:50:50.023,0,10.486592583445386,10.186666666666667,9.886740749887949
YPL,2025-06-01,10.2,10.3,10.3,10.2,27128,0.279,20,0.1,751.728,2025-06-01 11:06:50.927,0,10.489289760438421,10.19375,9.898210239561578
YPL,2025-06-02,10.5,10.3,10.5,10.3,33444,0.345,30,,759.098,2025-06-02 11:05:29.676,0,10.4910427500436,10.200000000000001,9.908957249956401
YPL,2025-06-03,10.5,10.3,10.5,10.2,18239,0.188,50,,759.098,2025-06-03 11:05:34.669,0,10.492084376849503,10.205555555555556,9.919026734261609
YPL,2025-06-04,10.5,10.6,10.7,10.3,50821,0.538,54,0.3,759.098,2025-06-04 11:05:52.389,0,10.544961926726536,10.216666666666667,9.888371406606797
