symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ZAHEENSPIN,2025-05-13,6.2,5.9,6.2,5.9,149715,0.889,93,-0.1,682970000.0,2025-05-13 16:37:08.205,0,5.9,5.9,5.9
ZAHEENSPIN,2025-05-14,5.9,5.8,6.0,5.8,182509,1.063,100,-0.1,671587000.0,2025-05-14 11:55:44.048,0,5.949999999999999,5.85,5.75
ZAHEENSPIN,2025-05-15,5.8,5.8,5.9,5.6,84439,0.489,77,,660205000.0,2025-05-15 09:21:55.581,0,5.9276142374915395,5.833333333333333,5.739052429175127
ZAHEENSPIN,2025-05-17,5.9,6.0,6.2,5.7,293464,1.757,140,0.2,660.205,2025-05-17 10:15:18.055,0,6.04083123951777,5.875,5.70916876048223
ZAHEENSPIN,2025-05-18,6.0,5.9,6.1,5.8,106979,0.636,77,-0.2,682.97,2025-05-18 11:08:26.635,0,6.029666295470958,5.88,5.730333704529042
ZAHEENSPIN,2025-05-19,6.0,6.1,6.2,5.9,352196,2.139,155,0.2,671.587,2025-05-19 11:06:39.713,0,6.130104141247762,5.916666666666667,5.703229192085572
ZAHEENSPIN,2025-05-20,6.2,6.0,6.2,5.9,273073,1.629,112,-0.1,694.353,2025-05-20 11:07:30.661,0,6.134602930026514,5.928571428571429,5.722539927116344
ZAHEENSPIN,2025-05-21,6.1,6.0,6.1,5.9,239126,1.44,113,,682.97,2025-05-21 12:02:51.897,0,6.135931348329844,5.9375,5.739068651670156
ZAHEENSPIN,2025-05-22,6.1,5.9,6.1,5.9,124791,0.74,81,-0.1,682.97,2025-05-22 11:10:26.441,0,6.1218951416497465,5.933333333333334,5.744771525016921
ZAHEENSPIN,2025-05-24,5.9,5.9,6.0,5.8,165191,0.974,55,0.1,671.587,2025-05-24 12:02:53.502,0,6.109999999999999,5.93,5.75
ZAHEENSPIN,2025-05-25,6.0,5.9,6.0,5.8,112807,0.665,59,,671.587,2025-05-25 12:01:59.241,0,6.099760599645548,5.927272727272728,5.754784854899907
ZAHEENSPIN,2025-05-26,6.0,5.8,6.0,5.8,169994,0.992,88,-0.1,671.587,2025-05-26 11:07:17.345,0,6.096172160237817,5.916666666666667,5.737161173095517
ZAHEENSPIN,2025-05-27,5.9,5.8,5.9,5.7,83422,0.486,42,,660.205,2025-05-27 11:05:53.814,0,6.091021158274045,5.907692307692307,5.724363457110569
ZAHEENSPIN,2025-05-28,5.8,5.7,5.8,5.6,63787,0.364,75,-0.1,660.205,2025-05-28 12:00:59.449,0,6.099383318497157,5.892857142857143,5.686330967217129
ZAHEENSPIN,2025-05-29,5.7,5.7,5.8,5.6,212625,1.205,70,0.1,648.822,2025-05-29 12:00:13.072,0,6.101509969677815,5.88,5.658490030322185
ZAHEENSPIN,2025-06-01,5.8,5.7,5.8,5.5,107507,0.609,74,,648.822,2025-06-01 11:08:28.203,0,6.1002532397181515,5.86875,5.637246760281849
ZAHEENSPIN,2025-06-02,5.7,5.8,5.9,5.7,166026,0.96,65,0.1,648.822,2025-06-02 11:06:54.901,0,6.091615312023364,5.864705882352942,5.63779645268252
ZAHEENSPIN,2025-06-03,5.9,5.7,5.9,5.7,122506,0.702,61,-0.1,660.205,2025-06-03 11:07:23.948,0,6.088624188482256,5.855555555555556,5.622486922628856
ZAHEENSPIN,2025-06-04,5.7,5.7,5.8,5.6,66828,0.383,47,,648.822,2025-06-04 11:07:42.614,0,6.086860269214126,5.844444444444444,5.602028619674762
